epoch,lr-Adam,lr-Adam-1,step,test/test-id-domain-acc,test/test-id-domain-acc-africa,test/test-id-domain-acc-americas,test/test-id-domain-acc-asia,test/test-id-domain-acc-europe,test/test-id-domain-acc-oceania,test/test-id-region-africa-task-acc,test/test-id-region-africa-task-loss,test/test-id-region-americas-task-acc,test/test-id-region-americas-task-loss,test/test-id-region-asia-task-acc,test/test-id-region-asia-task-loss,test/test-id-region-europe-task-acc,test/test-id-region-europe-task-loss,test/test-id-region-oceania-task-acc,test/test-id-region-oceania-task-loss,test/test-id-task-acc,test/test-id-task-ece,test/test-id-task-entropy-correct,test/test-id-task-entropy-incorrect,test/test-id-task-loss,test/test-id-worst-group-task-acc,test/test-od-domain-acc,test/test-od-domain-acc-africa,test/test-od-domain-acc-americas,test/test-od-domain-acc-asia,test/test-od-domain-acc-europe,test/test-od-domain-acc-oceania,test/test-od-region-africa-task-acc,test/test-od-region-africa-task-loss,test/test-od-region-americas-task-acc,test/test-od-region-americas-task-loss,test/test-od-region-asia-task-acc,test/test-od-region-asia-task-loss,test/test-od-region-europe-task-acc,test/test-od-region-europe-task-loss,test/test-od-region-oceania-task-acc,test/test-od-region-oceania-task-loss,test/test-od-task-acc,test/test-od-task-ece,test/test-od-task-entropy-correct,test/test-od-task-entropy-incorrect,test/test-od-task-loss,test/test-od-worst-group-task-acc,train/d3g-consistency-loss,train/train-domain-acc,train/train-domain-acc-africa,train/train-domain-acc-americas,train/train-domain-acc-asia,train/train-domain-acc-europe,train/train-domain-acc-oceania,train/train-domain-acc-other,train/train-domain-loss,train/train-task-acc,train/train-task-loss,train/train-total-loss,val/val-id-domain-acc,val/val-id-domain-acc-africa,val/val-id-domain-acc-americas,val/val-id-domain-acc-asia,val/val-id-domain-acc-europe,val/val-id-domain-acc-oceania,val/val-id-region-africa-task-acc,val/val-id-region-africa-task-loss,val/val-id-region-americas-task-acc,val/val-id-region-americas-task-loss,val/val-id-region-asia-task-acc,val/val-id-region-asia-task-loss,val/val-id-region-europe-task-acc,val/val-id-region-europe-task-loss,val/val-id-region-oceania-task-acc,val/val-id-region-oceania-task-loss,val/val-id-task-acc,val/val-id-task-ece,val/val-id-task-entropy-correct,val/val-id-task-entropy-incorrect,val/val-id-task-loss,val/val-id-worst-group-task-acc,val/val-od-domain-acc,val/val-od-domain-acc-africa,val/val-od-domain-acc-americas,val/val-od-domain-acc-asia,val/val-od-domain-acc-europe,val/val-od-domain-acc-oceania,val/val-od-region-africa-task-acc,val/val-od-region-africa-task-loss,val/val-od-region-americas-task-acc,val/val-od-region-americas-task-loss,val/val-od-region-asia-task-acc,val/val-od-region-asia-task-loss,val/val-od-region-europe-task-acc,val/val-od-region-europe-task-loss,val/val-od-region-oceania-task-acc,val/val-od-region-oceania-task-loss,val/val-od-task-acc,val/val-od-task-ece,val/val-od-task-entropy-correct,val/val-od-task-entropy-incorrect,val/val-od-task-loss,val/val-od-worst-group-task-acc
,2e-05,1e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08543063700199127,0.6421052813529968,0.21228869259357452,0.01708132214844227,0.022968867793679237,0.15537849068641663,0.031578946858644485,4.022130966186523,0.01918075419962406,4.1052470207214355,0.02079465240240097,4.133786201477051,0.02277904376387596,4.114319801330566,0.023904383182525635,4.224300861358643,0.021510059013962746,0.017248444259166718,4.020895481109619,4.034107685089111,4.119043350219727,0.01918075419962406,0.11187547445297241,0.5006226897239685,0.21380676329135895,0.008493084460496902,0.03737713396549225,0.1428571492433548,0.01494396012276411,4.154565334320068,0.019963426515460014,4.107271194458008,0.018442125990986824,4.1232523918151855,0.028194516897201538,4.111337184906006,0.020202020183205605,4.129175186157227,0.02264624647796154,0.019189143553376198,4.0056915283203125,4.03352689743042,4.11488151550293,0.01494396012276411
0,,,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.04694366455078,0.08360329270362854,0.6845765113830566,0.20416726171970367,0.008815767243504524,0.018439797684550285,0.159658744931221,0.0,1.8934211730957031,0.06864161044359207,4.01888370513916,12.419736862182617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.6e-05,9.600000000000001e-06,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20038317143917084,0.7894737124443054,0.4307542145252228,0.09803193807601929,0.09908884018659592,0.1593625545501709,0.3842105269432068,3.43052339553833,0.10728218406438828,3.837473154067993,0.07686594873666763,3.9692914485931396,0.04992406815290451,3.9838104248046875,0.06772908568382263,4.077763080596924,0.07750587910413742,0.017284279689192772,3.9006125926971436,3.9793686866760254,3.9361279010772705,0.04992406815290451,0.20120511949062347,0.496886670589447,0.33739712834358215,0.0611502081155777,0.1336006224155426,0.15728715062141418,0.08717310428619385,3.9725356101989746,0.0810728445649147,3.9067423343658447,0.0866294577717781,3.9429030418395996,0.06544231623411179,3.932619333267212,0.09668109565973282,3.9339137077331543,0.07692693918943405,0.014893859624862671,3.866446018218994,3.977032423019409,3.92793345451355,0.06544231623411179
1,,,1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01425313949585,0.10261113941669464,0.6997471451759338,0.23904544115066528,0.021000618115067482,0.032844096422195435,0.15173675119876862,0.0,1.8148775100708008,0.13019268214702606,3.7451300621032715,6.115225791931152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.2000000000000004e-05,9.216000000000001e-06,1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6752590537071228,0.42105263471603394,0.72691810131073,0.4734496772289276,0.7887243628501892,0.03187251091003418,0.43157893419265747,2.3831770420074463,0.19570870697498322,3.373187303543091,0.18603788316249847,3.521235704421997,0.19684889912605286,3.3242242336273193,0.131474107503891,3.8008716106414795,0.1963772475719452,0.06154899671673775,3.240142345428467,3.766395330429077,3.38039231300354,0.131474107503891,0.5582224726676941,0.13075965642929077,0.5574520230293274,0.31108954548835754,0.782074511051178,0.036075036972761154,0.19551680982112885,3.5353310108184814,0.161383718252182,3.4746384620666504,0.17156030237674713,3.5892460346221924,0.23900672793388367,3.187802791595459,0.14862914383411407,3.493213415145874,0.1945769488811493,0.05107928067445755,3.1699984073638916,3.74898099899292,3.390299081802368,0.14862914383411407
2,,,2882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8650972843170166,0.22700996696949005,0.6495996713638306,0.3668685257434845,0.1159900426864624,0.18533624708652496,0.12695510685443878,0.0,1.439200520515442,0.18496546149253845,3.4319961071014404,5.652379989624023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.8e-05,8.847360000000002e-06,2883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,3843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7678307294845581,0.3105263113975525,0.7652795910835266,0.6947641968727112,0.8604783415794373,0.0,0.4578947424888611,2.1893887519836426,0.2808842658996582,2.977416753768921,0.25213515758514404,3.120506763458252,0.27429765462875366,2.933297634124756,0.2031872570514679,3.493055582046509,0.2723155915737152,0.07065732777118683,2.7655293941497803,3.5499720573425293,2.9912707805633545,0.2031872570514679,0.6144614815711975,0.12204234302043915,0.5778725743293762,0.4656636714935303,0.8312209248542786,0.0014430014416575432,0.22042341530323029,3.156924247741699,0.23742760717868805,3.105947732925415,0.23974762856960297,3.233431816101074,0.32061561942100525,2.7947275638580322,0.21212121844291687,3.1839847564697266,0.26864174008369446,0.05706686154007912,2.6601908206939697,3.5287275314331055,3.016608715057373,0.21212121844291687
3,,,3843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.541861057281494,0.3510661721229553,0.5439317226409912,0.4599246680736542,0.24095962941646576,0.3455020785331726,0.09582571685314178,0.0,0.9893972277641296,0.25819966197013855,3.0435526371002197,5.012331962585449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.400000000000001e-05,8.493465600000002e-06,3844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
