metric,value
test/test-id-class-airport-task-acc,0.3913043439388275
test/test-id-class-airport_hangar-task-acc,0.5691056847572327
test/test-id-class-airport_terminal-task-acc,0.631147563457489
test/test-id-class-amusement_park-task-acc,0.8832487463951111
test/test-id-class-aquaculture-task-acc,0.8695651888847351
test/test-id-class-archaeological_site-task-acc,0.41111111640930176
test/test-id-class-barn-task-acc,0.5921052694320679
test/test-id-class-border_checkpoint-task-acc,0.1875
test/test-id-class-burial_site-task-acc,0.4093959629535675
test/test-id-class-car_dealership-task-acc,0.75
test/test-id-class-construction_site-task-acc,0.25
test/test-id-class-crop_field-task-acc,0.9111111164093018
test/test-id-class-dam-task-acc,0.7614678740501404
test/test-id-class-debris_or_rubble-task-acc,0.30000001192092896
test/test-id-class-educational_institution-task-acc,0.2525773048400879
test/test-id-class-electric_substation-task-acc,0.42105263471603394
test/test-id-class-factory_or_powerplant-task-acc,0.3505154550075531
test/test-id-class-fire_station-task-acc,0.22727273404598236
test/test-id-class-flooded_road-task-acc,0.9146341681480408
test/test-id-class-fountain-task-acc,0.38164252042770386
test/test-id-class-gas_station-task-acc,0.5142857432365417
test/test-id-class-golf_course-task-acc,0.6643356680870056
test/test-id-class-ground_transportation_station-task-acc,0.5067567825317383
test/test-id-class-helipad-task-acc,0.3928571343421936
test/test-id-class-hospital-task-acc,0.2947368323802948
test/test-id-class-impoverished_settlement-task-acc,0.8032786846160889
test/test-id-class-interchange-task-acc,0.8556700944900513
test/test-id-class-lake_or_pond-task-acc,0.20000000298023224
test/test-id-class-lighthouse-task-acc,0.834645688533783
test/test-id-class-military_facility-task-acc,0.551980197429657
test/test-id-class-multi-unit_residential-task-acc,0.7605633735656738
test/test-id-class-nuclear_powerplant-task-acc,1.0
test/test-id-class-office_building-task-acc,0.08771929889917374
test/test-id-class-oil_or_gas_facility-task-acc,0.8839285969734192
test/test-id-class-park-task-acc,0.25563910603523254
test/test-id-class-parking_lot_or_garage-task-acc,0.47817838191986084
test/test-id-class-place_of_worship-task-acc,0.5795795917510986
test/test-id-class-police_station-task-acc,0.1355932205915451
test/test-id-class-port-task-acc,0.6964285969734192
test/test-id-class-prison-task-acc,0.2361111044883728
test/test-id-class-race_track-task-acc,0.8724831938743591
test/test-id-class-railway_bridge-task-acc,0.625
test/test-id-class-recreational_facility-task-acc,0.7572706937789917
test/test-id-class-road_bridge-task-acc,0.8564356565475464
test/test-id-class-runway-task-acc,0.790123462677002
test/test-id-class-shipyard-task-acc,0.7142857313156128
test/test-id-class-shopping_mall-task-acc,0.44186046719551086
test/test-id-class-single-unit_residential-task-acc,0.6256157755851746
test/test-id-class-smokestack-task-acc,0.5384615659713745
test/test-id-class-solar_farm-task-acc,0.6991869807243347
test/test-id-class-space_facility-task-acc,0.5
test/test-id-class-stadium-task-acc,0.7818182110786438
test/test-id-class-storage_tank-task-acc,0.6528925895690918
test/test-id-class-surface_mine-task-acc,0.7857142686843872
test/test-id-class-swimming_pool-task-acc,0.800000011920929
test/test-id-class-toll_booth-task-acc,0.8962963223457336
test/test-id-class-tower-task-acc,0.5465116500854492
test/test-id-class-tunnel_opening-task-acc,0.9047619104385376
test/test-id-class-waste_disposal-task-acc,0.21232876181602478
test/test-id-class-water_treatment_facility-task-acc,0.6453900933265686
test/test-id-class-wind_farm-task-acc,0.9285714030265808
test/test-id-class-zoo-task-acc,0.2708333432674408
test/test-id-hr-ablated-task-acc,0.1308378279209137
test/test-id-hr-ablated-worst-group-task-acc,0.08945687115192413
test/test-id-hr-domain-acc,0.7285247445106506
test/test-id-hr-domain-acc-africa,0.30622008442878723
test/test-id-hr-domain-acc-americas,0.6907348036766052
test/test-id-hr-domain-acc-asia,0.695219874382019
test/test-id-hr-domain-acc-europe,0.8128155469894409
test/test-id-hr-domain-acc-oceania,0.10091742873191833
test/test-id-lr-ablated-task-acc,0.43091726303100586
test/test-id-lr-ablated-worst-group-task-acc,0.3082217872142792
test/test-id-lr-domain-acc,0.9873753190040588
test/test-id-lr-domain-acc-africa,0.9186602830886841
test/test-id-lr-domain-acc-americas,0.9811501502990723
test/test-id-lr-domain-acc-asia,0.9889101386070251
test/test-id-lr-domain-acc-europe,0.9953398108482361
test/test-id-lr-domain-acc-oceania,0.9495412707328796
test/test-id-region-africa-class-airport-task-acc,0.3333333432674408
test/test-id-region-africa-class-airport_hangar-task-acc,1.0
test/test-id-region-africa-class-airport_terminal-task-acc,0.6666666865348816
test/test-id-region-africa-class-amusement_park-task-acc,0.3333333432674408
test/test-id-region-africa-class-archaeological_site-task-acc,0.5
test/test-id-region-africa-class-border_checkpoint-task-acc,0.0
test/test-id-region-africa-class-crop_field-task-acc,0.9285714030265808
test/test-id-region-africa-class-dam-task-acc,0.9090909361839294
test/test-id-region-africa-class-educational_institution-task-acc,0.0
test/test-id-region-africa-class-electric_substation-task-acc,0.3333333432674408
test/test-id-region-africa-class-factory_or_powerplant-task-acc,0.0
test/test-id-region-africa-class-flooded_road-task-acc,0.0
test/test-id-region-africa-class-fountain-task-acc,0.25
test/test-id-region-africa-class-ground_transportation_station-task-acc,0.75
test/test-id-region-africa-class-helipad-task-acc,0.0
test/test-id-region-africa-class-hospital-task-acc,0.6666666865348816
test/test-id-region-africa-class-interchange-task-acc,0.0
test/test-id-region-africa-class-military_facility-task-acc,0.0
test/test-id-region-africa-class-multi-unit_residential-task-acc,0.5
test/test-id-region-africa-class-office_building-task-acc,0.0
test/test-id-region-africa-class-parking_lot_or_garage-task-acc,1.0
test/test-id-region-africa-class-place_of_worship-task-acc,0.9135802388191223
test/test-id-region-africa-class-police_station-task-acc,0.0
test/test-id-region-africa-class-port-task-acc,1.0
test/test-id-region-africa-class-prison-task-acc,0.5
test/test-id-region-africa-class-recreational_facility-task-acc,1.0
test/test-id-region-africa-class-runway-task-acc,0.5
test/test-id-region-africa-class-single-unit_residential-task-acc,0.2857142984867096
test/test-id-region-africa-class-stadium-task-acc,1.0
test/test-id-region-africa-class-surface_mine-task-acc,0.1666666716337204
test/test-id-region-africa-class-swimming_pool-task-acc,0.3333333432674408
test/test-id-region-africa-class-toll_booth-task-acc,1.0
test/test-id-region-africa-class-tower-task-acc,0.699999988079071
test/test-id-region-africa-class-wind_farm-task-acc,1.0
test/test-id-region-africa-hr-ablated-task-acc,0.13397128880023956
test/test-id-region-africa-lr-ablated-task-acc,0.4545454680919647
test/test-id-region-africa-task-acc,0.7177033424377441
test/test-id-region-africa-task-loss,1.77803373336792
test/test-id-region-africa-top5-task-acc,0.9282296895980835
test/test-id-region-americas-class-airport-task-acc,0.3333333432674408
test/test-id-region-americas-class-airport_hangar-task-acc,0.6805555820465088
test/test-id-region-americas-class-airport_terminal-task-acc,0.7777777910232544
test/test-id-region-americas-class-amusement_park-task-acc,0.8064516186714172
test/test-id-region-americas-class-aquaculture-task-acc,0.9523809552192688
test/test-id-region-americas-class-archaeological_site-task-acc,0.5
test/test-id-region-americas-class-barn-task-acc,0.375
test/test-id-region-americas-class-burial_site-task-acc,0.3611111044883728
test/test-id-region-americas-class-car_dealership-task-acc,0.8028169274330139
test/test-id-region-americas-class-construction_site-task-acc,0.0555555559694767
test/test-id-region-americas-class-crop_field-task-acc,0.7272727489471436
test/test-id-region-americas-class-dam-task-acc,0.8333333134651184
test/test-id-region-americas-class-debris_or_rubble-task-acc,0.3499999940395355
test/test-id-region-americas-class-educational_institution-task-acc,0.299401193857193
test/test-id-region-americas-class-electric_substation-task-acc,0.4153846204280853
test/test-id-region-americas-class-factory_or_powerplant-task-acc,0.2800000011920929
test/test-id-region-americas-class-fire_station-task-acc,0.2075471729040146
test/test-id-region-americas-class-flooded_road-task-acc,0.807692289352417
test/test-id-region-americas-class-fountain-task-acc,0.5
test/test-id-region-americas-class-gas_station-task-acc,0.6666666865348816
test/test-id-region-americas-class-golf_course-task-acc,0.6835442781448364
test/test-id-region-americas-class-ground_transportation_station-task-acc,0.6034482717514038
test/test-id-region-americas-class-helipad-task-acc,0.4838709533214569
test/test-id-region-americas-class-hospital-task-acc,0.1666666716337204
test/test-id-region-americas-class-impoverished_settlement-task-acc,1.0
test/test-id-region-americas-class-interchange-task-acc,0.9178082346916199
test/test-id-region-americas-class-lake_or_pond-task-acc,0.3333333432674408
test/test-id-region-americas-class-lighthouse-task-acc,0.8771929740905762
test/test-id-region-americas-class-military_facility-task-acc,0.0
test/test-id-region-americas-class-office_building-task-acc,0.0845070406794548
test/test-id-region-americas-class-oil_or_gas_facility-task-acc,0.7954545617103577
test/test-id-region-americas-class-park-task-acc,0.3499999940395355
test/test-id-region-americas-class-parking_lot_or_garage-task-acc,0.5428571701049805
test/test-id-region-americas-class-place_of_worship-task-acc,0.5726495981216431
test/test-id-region-americas-class-police_station-task-acc,0.03125
test/test-id-region-americas-class-port-task-acc,0.6666666865348816
test/test-id-region-americas-class-prison-task-acc,0.42105263471603394
test/test-id-region-americas-class-race_track-task-acc,0.8666666746139526
test/test-id-region-americas-class-railway_bridge-task-acc,0.734375
test/test-id-region-americas-class-recreational_facility-task-acc,0.7861915230751038
test/test-id-region-americas-class-road_bridge-task-acc,0.8867924809455872
test/test-id-region-americas-class-runway-task-acc,0.5
test/test-id-region-americas-class-shipyard-task-acc,0.7777777910232544
test/test-id-region-americas-class-shopping_mall-task-acc,0.5476190447807312
test/test-id-region-americas-class-single-unit_residential-task-acc,0.6666666865348816
test/test-id-region-americas-class-smokestack-task-acc,0.0
