metric,value
test/test-id-class-airport-task-acc,0.3913043439388275
test/test-id-class-airport_hangar-task-acc,0.6585366129875183
test/test-id-class-airport_terminal-task-acc,0.3852458894252777
test/test-id-class-amusement_park-task-acc,0.7868020534515381
test/test-id-class-aquaculture-task-acc,0.739130437374115
test/test-id-class-archaeological_site-task-acc,0.3444444537162781
test/test-id-class-barn-task-acc,0.6798245906829834
test/test-id-class-border_checkpoint-task-acc,0.0
test/test-id-class-burial_site-task-acc,0.5973154306411743
test/test-id-class-car_dealership-task-acc,0.6470588445663452
test/test-id-class-construction_site-task-acc,0.1160714253783226
test/test-id-class-crop_field-task-acc,0.9274073839187622
test/test-id-class-dam-task-acc,0.6697247624397278
test/test-id-class-debris_or_rubble-task-acc,0.14000000059604645
test/test-id-class-educational_institution-task-acc,0.30670103430747986
test/test-id-class-electric_substation-task-acc,0.5730994343757629
test/test-id-class-factory_or_powerplant-task-acc,0.2886597812175751
test/test-id-class-fire_station-task-acc,0.22159090638160706
test/test-id-class-flooded_road-task-acc,0.4146341383457184
test/test-id-class-fountain-task-acc,0.34299516677856445
test/test-id-class-gas_station-task-acc,0.4809523820877075
test/test-id-class-golf_course-task-acc,0.748251736164093
test/test-id-class-ground_transportation_station-task-acc,0.48986485600471497
test/test-id-class-helipad-task-acc,0.25
test/test-id-class-hospital-task-acc,0.2789473831653595
test/test-id-class-impoverished_settlement-task-acc,0.9344262480735779
test/test-id-class-interchange-task-acc,0.8969072103500366
test/test-id-class-lake_or_pond-task-acc,0.02500000037252903
test/test-id-class-lighthouse-task-acc,0.8503937125205994
test/test-id-class-military_facility-task-acc,0.4752475321292877
test/test-id-class-multi-unit_residential-task-acc,0.597183108329773
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.035087719559669495
test/test-id-class-oil_or_gas_facility-task-acc,0.7589285969734192
test/test-id-class-park-task-acc,0.24060150980949402
test/test-id-class-parking_lot_or_garage-task-acc,0.44592031836509705
test/test-id-class-place_of_worship-task-acc,0.49849849939346313
test/test-id-class-police_station-task-acc,0.12429378181695938
test/test-id-class-port-task-acc,0.7142857313156128
test/test-id-class-prison-task-acc,0.3402777910232544
test/test-id-class-race_track-task-acc,0.8523489832878113
test/test-id-class-railway_bridge-task-acc,0.6534090638160706
test/test-id-class-recreational_facility-task-acc,0.8299776315689087
test/test-id-class-road_bridge-task-acc,0.7079207897186279
test/test-id-class-runway-task-acc,0.8271604776382446
test/test-id-class-shipyard-task-acc,0.2857142984867096
test/test-id-class-shopping_mall-task-acc,0.39147287607192993
test/test-id-class-single-unit_residential-task-acc,0.6305418610572815
test/test-id-class-smokestack-task-acc,0.6334841847419739
test/test-id-class-solar_farm-task-acc,0.642276406288147
test/test-id-class-space_facility-task-acc,0.1666666716337204
test/test-id-class-stadium-task-acc,0.7757575511932373
test/test-id-class-storage_tank-task-acc,0.64462810754776
test/test-id-class-surface_mine-task-acc,0.761904776096344
test/test-id-class-swimming_pool-task-acc,0.8111110925674438
test/test-id-class-toll_booth-task-acc,0.9111111164093018
test/test-id-class-tower-task-acc,0.356589138507843
test/test-id-class-tunnel_opening-task-acc,0.8690476417541504
test/test-id-class-waste_disposal-task-acc,0.3287671208381653
test/test-id-class-water_treatment_facility-task-acc,0.6879432797431946
test/test-id-class-wind_farm-task-acc,0.8163265585899353
test/test-id-class-zoo-task-acc,0.3125
test/test-id-hr-domain-acc,0.7611900568008423
test/test-id-hr-domain-acc-africa,0.3349282443523407
test/test-id-hr-domain-acc-americas,0.704792320728302
test/test-id-hr-domain-acc-asia,0.7208412885665894
test/test-id-hr-domain-acc-europe,0.856116533279419
test/test-id-hr-domain-acc-oceania,0.23853211104869843
test/test-id-lr-domain-acc,0.9455283880233765
test/test-id-lr-domain-acc-africa,0.6124401688575745
test/test-id-lr-domain-acc-americas,0.9373801946640015
test/test-id-lr-domain-acc-asia,0.9449330568313599
test/test-id-lr-domain-acc-europe,0.9730097055435181
test/test-id-lr-domain-acc-oceania,0.7614678740501404
test/test-id-region-africa-class-airport-task-acc,0.3333333432674408
test/test-id-region-africa-class-airport_hangar-task-acc,0.6666666865348816
test/test-id-region-africa-class-airport_terminal-task-acc,0.6666666865348816
test/test-id-region-africa-class-amusement_park-task-acc,0.3333333432674408
test/test-id-region-africa-class-archaeological_site-task-acc,0.5
test/test-id-region-africa-class-border_checkpoint-task-acc,0.0
test/test-id-region-africa-class-crop_field-task-acc,0.9285714030265808
test/test-id-region-africa-class-dam-task-acc,0.8181818127632141
test/test-id-region-africa-class-educational_institution-task-acc,0.0
test/test-id-region-africa-class-electric_substation-task-acc,0.0
test/test-id-region-africa-class-factory_or_powerplant-task-acc,1.0
test/test-id-region-africa-class-flooded_road-task-acc,0.0
test/test-id-region-africa-class-fountain-task-acc,0.0
test/test-id-region-africa-class-ground_transportation_station-task-acc,0.25
test/test-id-region-africa-class-helipad-task-acc,0.0
test/test-id-region-africa-class-hospital-task-acc,0.0
test/test-id-region-africa-class-interchange-task-acc,0.0
test/test-id-region-africa-class-military_facility-task-acc,0.0
test/test-id-region-africa-class-multi-unit_residential-task-acc,0.25
test/test-id-region-africa-class-office_building-task-acc,0.0
test/test-id-region-africa-class-parking_lot_or_garage-task-acc,0.6666666865348816
test/test-id-region-africa-class-place_of_worship-task-acc,0.9012345671653748
test/test-id-region-africa-class-police_station-task-acc,0.0
test/test-id-region-africa-class-port-task-acc,1.0
test/test-id-region-africa-class-prison-task-acc,0.0
test/test-id-region-africa-class-recreational_facility-task-acc,0.0
test/test-id-region-africa-class-runway-task-acc,0.75
test/test-id-region-africa-class-single-unit_residential-task-acc,0.5714285969734192
test/test-id-region-africa-class-stadium-task-acc,1.0
test/test-id-region-africa-class-surface_mine-task-acc,0.0
test/test-id-region-africa-class-swimming_pool-task-acc,0.5
test/test-id-region-africa-class-toll_booth-task-acc,1.0
test/test-id-region-africa-class-tower-task-acc,0.10000000149011612
test/test-id-region-africa-class-wind_farm-task-acc,1.0
test/test-id-region-africa-task-acc,0.6267942786216736
test/test-id-region-africa-task-loss,1.345362901687622
test/test-id-region-africa-top5-task-acc,0.8755980730056763
test/test-id-region-americas-class-airport-task-acc,0.3333333432674408
test/test-id-region-americas-class-airport_hangar-task-acc,0.7777777910232544
test/test-id-region-americas-class-airport_terminal-task-acc,0.5833333134651184
test/test-id-region-americas-class-amusement_park-task-acc,0.5161290168762207
test/test-id-region-americas-class-aquaculture-task-acc,0.8095238208770752
test/test-id-region-americas-class-archaeological_site-task-acc,0.5
test/test-id-region-americas-class-barn-task-acc,0.4375
test/test-id-region-americas-class-burial_site-task-acc,0.5277777910232544
test/test-id-region-americas-class-car_dealership-task-acc,0.6619718074798584
test/test-id-region-americas-class-construction_site-task-acc,0.0
test/test-id-region-americas-class-crop_field-task-acc,0.7727272510528564
test/test-id-region-americas-class-dam-task-acc,0.7666666507720947
test/test-id-region-americas-class-debris_or_rubble-task-acc,0.15000000596046448
test/test-id-region-americas-class-educational_institution-task-acc,0.41916167736053467
test/test-id-region-americas-class-electric_substation-task-acc,0.6153846383094788
test/test-id-region-americas-class-factory_or_powerplant-task-acc,0.23999999463558197
test/test-id-region-americas-class-fire_station-task-acc,0.16981132328510284
test/test-id-region-americas-class-flooded_road-task-acc,0.11538461595773697
test/test-id-region-americas-class-fountain-task-acc,0.4000000059604645
test/test-id-region-americas-class-gas_station-task-acc,0.6507936716079712
test/test-id-region-americas-class-golf_course-task-acc,0.7848101258277893
test/test-id-region-americas-class-ground_transportation_station-task-acc,0.5517241358757019
test/test-id-region-americas-class-helipad-task-acc,0.29032257199287415
test/test-id-region-americas-class-hospital-task-acc,0.0833333358168602
test/test-id-region-americas-class-impoverished_settlement-task-acc,1.0
test/test-id-region-americas-class-interchange-task-acc,0.9726027250289917
test/test-id-region-americas-class-lake_or_pond-task-acc,0.06666667014360428
test/test-id-region-americas-class-lighthouse-task-acc,0.8771929740905762
test/test-id-region-americas-class-military_facility-task-acc,0.1111111119389534
test/test-id-region-americas-class-office_building-task-acc,0.0422535203397274
test/test-id-region-americas-class-oil_or_gas_facility-task-acc,0.8181818127632141
test/test-id-region-americas-class-park-task-acc,0.2750000059604645
test/test-id-region-americas-class-parking_lot_or_garage-task-acc,0.49714285135269165
test/test-id-region-americas-class-place_of_worship-task-acc,0.49145299196243286
test/test-id-region-americas-class-police_station-task-acc,0.0625
test/test-id-region-americas-class-port-task-acc,0.8333333134651184
test/test-id-region-americas-class-prison-task-acc,0.42105263471603394
test/test-id-region-americas-class-race_track-task-acc,0.800000011920929
test/test-id-region-americas-class-railway_bridge-task-acc,0.6875
test/test-id-region-americas-class-recreational_facility-task-acc,0.846325159072876
test/test-id-region-americas-class-road_bridge-task-acc,0.7735849022865295
