epoch,lr-Adam,lr-Adam-1,lr-Adam-2,step,test/test-id-hr-domain-acc,test/test-id-hr-domain-acc-africa,test/test-id-hr-domain-acc-americas,test/test-id-hr-domain-acc-asia,test/test-id-hr-domain-acc-europe,test/test-id-hr-domain-acc-oceania,test/test-id-lr-domain-acc,test/test-id-lr-domain-acc-africa,test/test-id-lr-domain-acc-americas,test/test-id-lr-domain-acc-asia,test/test-id-lr-domain-acc-europe,test/test-id-lr-domain-acc-oceania,test/test-id-region-africa-task-acc,test/test-id-region-africa-task-loss,test/test-id-region-americas-task-acc,test/test-id-region-americas-task-loss,test/test-id-region-asia-task-acc,test/test-id-region-asia-task-loss,test/test-id-region-europe-task-acc,test/test-id-region-europe-task-loss,test/test-id-region-oceania-task-acc,test/test-id-region-oceania-task-loss,test/test-id-task-acc,test/test-id-task-ece,test/test-id-task-entropy-correct,test/test-id-task-entropy-incorrect,test/test-id-task-loss,test/test-id-worst-group-task-acc,test/test-od-hr-domain-acc,test/test-od-hr-domain-acc-africa,test/test-od-hr-domain-acc-americas,test/test-od-hr-domain-acc-asia,test/test-od-hr-domain-acc-europe,test/test-od-hr-domain-acc-oceania,test/test-od-lr-domain-acc,test/test-od-lr-domain-acc-africa,test/test-od-lr-domain-acc-americas,test/test-od-lr-domain-acc-asia,test/test-od-lr-domain-acc-europe,test/test-od-lr-domain-acc-oceania,test/test-od-region-africa-task-acc,test/test-od-region-africa-task-loss,test/test-od-region-americas-task-acc,test/test-od-region-americas-task-loss,test/test-od-region-asia-task-acc,test/test-od-region-asia-task-loss,test/test-od-region-europe-task-acc,test/test-od-region-europe-task-loss,test/test-od-region-oceania-task-acc,test/test-od-region-oceania-task-loss,test/test-od-task-acc,test/test-od-task-ece,test/test-od-task-entropy-correct,test/test-od-task-entropy-incorrect,test/test-od-task-loss,test/test-od-worst-group-task-acc,train/d3g-consistency-loss,train/train-hr-domain-acc,train/train-hr-domain-acc-africa,train/train-hr-domain-acc-americas,train/train-hr-domain-acc-asia,train/train-hr-domain-acc-europe,train/train-hr-domain-acc-oceania,train/train-hr-domain-acc-other,train/train-hr-domain-loss,train/train-lr-domain-acc,train/train-lr-domain-acc-africa,train/train-lr-domain-acc-americas,train/train-lr-domain-acc-asia,train/train-lr-domain-acc-europe,train/train-lr-domain-acc-oceania,train/train-lr-domain-acc-other,train/train-lr-domain-loss,train/train-task-acc,train/train-task-loss,val/val-id-hr-domain-acc,val/val-id-hr-domain-acc-africa,val/val-id-hr-domain-acc-americas,val/val-id-hr-domain-acc-asia,val/val-id-hr-domain-acc-europe,val/val-id-hr-domain-acc-oceania,val/val-id-lr-domain-acc,val/val-id-lr-domain-acc-africa,val/val-id-lr-domain-acc-americas,val/val-id-lr-domain-acc-asia,val/val-id-lr-domain-acc-europe,val/val-id-lr-domain-acc-oceania,val/val-id-region-africa-task-acc,val/val-id-region-africa-task-loss,val/val-id-region-americas-task-acc,val/val-id-region-americas-task-loss,val/val-id-region-asia-task-acc,val/val-id-region-asia-task-loss,val/val-id-region-europe-task-acc,val/val-id-region-europe-task-loss,val/val-id-region-oceania-task-acc,val/val-id-region-oceania-task-loss,val/val-id-task-acc,val/val-id-task-ece,val/val-id-task-entropy-correct,val/val-id-task-entropy-incorrect,val/val-id-task-loss,val/val-id-worst-group-task-acc,val/val-od-hr-domain-acc,val/val-od-hr-domain-acc-africa,val/val-od-hr-domain-acc-americas,val/val-od-hr-domain-acc-asia,val/val-od-hr-domain-acc-europe,val/val-od-hr-domain-acc-oceania,val/val-od-lr-domain-acc,val/val-od-lr-domain-acc-africa,val/val-od-lr-domain-acc-americas,val/val-od-lr-domain-acc-asia,val/val-od-lr-domain-acc-europe,val/val-od-lr-domain-acc-oceania,val/val-od-region-africa-task-acc,val/val-od-region-africa-task-loss,val/val-od-region-americas-task-acc,val/val-od-region-americas-task-loss,val/val-od-region-asia-task-acc,val/val-od-region-asia-task-loss,val/val-od-region-europe-task-acc,val/val-od-region-europe-task-loss,val/val-od-region-oceania-task-acc,val/val-od-region-oceania-task-loss,val/val-od-task-acc,val/val-od-task-ece,val/val-od-task-entropy-correct,val/val-od-task-entropy-incorrect,val/val-od-task-loss,val/val-od-worst-group-task-acc
,2e-05,1e-05,1e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4881128668785095,0.0,0.16579973697662354,0.11659859120845795,0.9075550436973572,0.0,0.5571714639663696,0.0,0.365734726190567,0.10545859485864639,0.9470387101173401,0.0,0.010526316240429878,4.276317596435547,0.01625487580895424,4.137233734130859,0.013739324174821377,4.161409854888916,0.011199695989489555,4.111351490020752,0.0039840638637542725,4.252807140350342,0.012975702993571758,0.024814262986183167,4.044809818267822,4.041667938232422,4.136772155761719,0.0039840638637542725,0.43098166584968567,0.0,0.16595549881458282,0.11138073354959488,0.9098551273345947,0.0,0.44845592975616455,0.0,0.22264553606510162,0.08347488194704056,0.9216244220733643,0.0,0.013698630034923553,4.2396345138549805,0.01295336801558733,4.149350643157959,0.01455957256257534,4.161792278289795,0.012545266188681126,4.101846694946289,0.012987012974917889,4.203503608703613,0.013206126168370247,0.025014230981469154,4.041478633880615,4.03986930847168,4.139176368713379,0.012545266188681126
0,,,,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.92401885986328,0.4481480121612549,0.009481668472290039,0.12711581587791443,0.11359424889087677,0.8530848026275635,0.02498476579785347,0.0,1.3346490859985352,0.47295838594436646,0.009481668472290039,0.2190435379743576,0.0630018562078476,0.8794807195663452,0.0012187690008431673,0.0,1.276315689086914,0.015117807313799858,4.154400825500488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,1e-05,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5440216064453125,0.0,0.2851105332374573,0.205718532204628,0.9141989350318909,0.0,0.6627187728881836,0.0,0.5630689263343811,0.363535076379776,0.929954469203949,0.0,0.021052632480859756,4.233392715454102,0.01983094960451126,4.124639987945557,0.021165985614061356,4.1084771156311035,0.02410782128572464,4.059636116027832,0.011952191591262817,4.1785359382629395,0.02194548398256302,0.014206599444150925,4.045413494110107,4.045961856842041,4.095164775848389,0.011952191591262817,0.4772784411907196,0.0,0.25540992617607117,0.1921863555908203,0.9101138114929199,0.0,0.5206628441810608,0.0,0.3730570077896118,0.23052656650543213,0.9015778303146362,0.0,0.02241593971848488,4.1924920082092285,0.022401707246899605,4.123098373413086,0.018927445635199547,4.121070384979248,0.031427834182977676,4.043821811676025,0.020202020183205605,4.17015266418457,0.025156917050480843,0.011227937415242195,4.044792652130127,4.044456958770752,4.0965070724487305,0.018927445635199547
1,,,,1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8338799476623535,0.4808880686759949,0.0047408342361450195,0.18769370019435883,0.1339210569858551,0.879279613494873,0.012492382898926735,0.0,1.1479252576828003,0.5421333909034729,0.0047408342361450195,0.3614170551300049,0.13583019375801086,0.909423828125,0.0006093845004215837,0.0,1.0243514776229858,0.021180542185902596,4.119548797607422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,1e-05,1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,2882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5917443037033081,0.0,0.41547465324401855,0.3026364743709564,0.8925588726997375,0.0,0.703039288520813,0.0,0.5926527976989746,0.5146676301956177,0.9233105778694153,0.0,0.031578946858644485,4.1935319900512695,0.025357607752084732,4.093763828277588,0.03007798083126545,4.062543869018555,0.0721336379647255,3.9935684204101562,0.01593625545501709,4.153038501739502,0.04780980572104454,0.011168736964464188,4.037741184234619,4.041062831878662,4.0445475578308105,0.01593625545501709,0.5189555883407593,0.0,0.34455958008766174,0.2809997498989105,0.8944645524024963,0.0,0.5443133115768433,0.0,0.4110027551651001,0.30696433782577515,0.8895499110221863,0.0,0.02864259108901024,4.164592266082764,0.029106980189681053,4.087027072906494,0.03348701819777489,4.090812683105469,0.08639420568943024,3.964923620223999,0.021645022556185722,4.1352434158325195,0.05197087675333023,0.01511826179921627,4.036062240600586,4.039701461791992,4.045401096343994,0.021645022556185722
2,,,,2882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.120079517364502,0.508098840713501,0.003160556312650442,0.24321746826171875,0.17038202285766602,0.8875229954719543,0.008328255265951157,0.0,1.0796244144439697,0.5879985690116882,0.003160556312650442,0.44171077013015747,0.23121267557144165,0.9136029481887817,0.00040625635301694274,0.0,0.9017969965934753,0.033514175564050674,4.069490909576416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,1e-05,2883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
