metric,value
test/test-id-class-airport-task-acc,0.52173912525177
test/test-id-class-airport_hangar-task-acc,0.642276406288147
test/test-id-class-airport_terminal-task-acc,0.49180328845977783
test/test-id-class-amusement_park-task-acc,0.8578680157661438
test/test-id-class-aquaculture-task-acc,0.8695651888847351
test/test-id-class-archaeological_site-task-acc,0.4444444477558136
test/test-id-class-barn-task-acc,0.6885964870452881
test/test-id-class-border_checkpoint-task-acc,0.125
test/test-id-class-burial_site-task-acc,0.6577181220054626
test/test-id-class-car_dealership-task-acc,0.6397058963775635
test/test-id-class-construction_site-task-acc,0.2678571343421936
test/test-id-class-crop_field-task-acc,0.9214814901351929
test/test-id-class-dam-task-acc,0.7798165082931519
test/test-id-class-debris_or_rubble-task-acc,0.14000000059604645
test/test-id-class-educational_institution-task-acc,0.3530927896499634
test/test-id-class-electric_substation-task-acc,0.5964912176132202
test/test-id-class-factory_or_powerplant-task-acc,0.2886597812175751
test/test-id-class-fire_station-task-acc,0.17613635957241058
test/test-id-class-flooded_road-task-acc,0.9512194991111755
test/test-id-class-fountain-task-acc,0.40096619725227356
test/test-id-class-gas_station-task-acc,0.5761904716491699
test/test-id-class-golf_course-task-acc,0.7622377872467041
test/test-id-class-ground_transportation_station-task-acc,0.4932432472705841
test/test-id-class-helipad-task-acc,0.4285714328289032
test/test-id-class-hospital-task-acc,0.4842105209827423
test/test-id-class-impoverished_settlement-task-acc,0.9508196711540222
test/test-id-class-interchange-task-acc,0.8659793734550476
test/test-id-class-lake_or_pond-task-acc,0.07500000298023224
test/test-id-class-lighthouse-task-acc,0.8425197005271912
test/test-id-class-military_facility-task-acc,0.5618811845779419
test/test-id-class-multi-unit_residential-task-acc,0.6985915303230286
test/test-id-class-nuclear_powerplant-task-acc,1.0
test/test-id-class-office_building-task-acc,0.1111111119389534
test/test-id-class-oil_or_gas_facility-task-acc,0.8571428656578064
test/test-id-class-park-task-acc,0.31578946113586426
test/test-id-class-parking_lot_or_garage-task-acc,0.5218216180801392
test/test-id-class-place_of_worship-task-acc,0.545045018196106
test/test-id-class-police_station-task-acc,0.23163841664791107
test/test-id-class-port-task-acc,0.8035714030265808
test/test-id-class-prison-task-acc,0.3611111044883728
test/test-id-class-race_track-task-acc,0.899328887462616
test/test-id-class-railway_bridge-task-acc,0.6363636255264282
test/test-id-class-recreational_facility-task-acc,0.8098434209823608
test/test-id-class-road_bridge-task-acc,0.7970296740531921
test/test-id-class-runway-task-acc,0.8395061492919922
test/test-id-class-shipyard-task-acc,0.4285714328289032
test/test-id-class-shopping_mall-task-acc,0.3488371968269348
test/test-id-class-single-unit_residential-task-acc,0.6502463221549988
test/test-id-class-smokestack-task-acc,0.5882353186607361
test/test-id-class-solar_farm-task-acc,0.6666666865348816
test/test-id-class-space_facility-task-acc,0.3333333432674408
test/test-id-class-stadium-task-acc,0.7151514887809753
test/test-id-class-storage_tank-task-acc,0.6611570119857788
test/test-id-class-surface_mine-task-acc,0.8035714030265808
test/test-id-class-swimming_pool-task-acc,0.8407407402992249
test/test-id-class-toll_booth-task-acc,0.9037036895751953
test/test-id-class-tower-task-acc,0.38759690523147583
test/test-id-class-tunnel_opening-task-acc,0.9107142686843872
test/test-id-class-waste_disposal-task-acc,0.3493150770664215
test/test-id-class-water_treatment_facility-task-acc,0.73758864402771
test/test-id-class-wind_farm-task-acc,0.9081632494926453
test/test-id-class-zoo-task-acc,0.3541666567325592
test/test-id-hr-ablated-task-acc,0.17180189490318298
test/test-id-hr-ablated-worst-group-task-acc,0.13706070184707642
test/test-id-hr-domain-acc,0.6717577576637268
test/test-id-hr-domain-acc-africa,0.22966507077217102
test/test-id-hr-domain-acc-americas,0.5463258624076843
test/test-id-hr-domain-acc-asia,0.5426385998725891
test/test-id-hr-domain-acc-europe,0.8605825304985046
test/test-id-hr-domain-acc-oceania,0.0
test/test-id-lr-ablated-task-acc,0.027897942811250687
test/test-id-lr-ablated-worst-group-task-acc,0.0
test/test-id-lr-domain-acc,0.975633442401886
test/test-id-lr-domain-acc-africa,0.7511961460113525
test/test-id-lr-domain-acc-americas,0.9750798940658569
test/test-id-lr-domain-acc-asia,0.9766730666160583
test/test-id-lr-domain-acc-europe,0.989902913570404
test/test-id-lr-domain-acc-oceania,0.8715596199035645
test/test-id-region-africa-class-airport-task-acc,0.5
test/test-id-region-africa-class-airport_hangar-task-acc,1.0
test/test-id-region-africa-class-airport_terminal-task-acc,0.6666666865348816
test/test-id-region-africa-class-amusement_park-task-acc,0.3333333432674408
test/test-id-region-africa-class-archaeological_site-task-acc,0.5
test/test-id-region-africa-class-border_checkpoint-task-acc,0.0
test/test-id-region-africa-class-crop_field-task-acc,0.8571428656578064
test/test-id-region-africa-class-dam-task-acc,0.8181818127632141
test/test-id-region-africa-class-educational_institution-task-acc,0.0
test/test-id-region-africa-class-electric_substation-task-acc,1.0
test/test-id-region-africa-class-factory_or_powerplant-task-acc,0.0
test/test-id-region-africa-class-flooded_road-task-acc,1.0
test/test-id-region-africa-class-fountain-task-acc,0.25
test/test-id-region-africa-class-ground_transportation_station-task-acc,0.75
test/test-id-region-africa-class-helipad-task-acc,0.0
test/test-id-region-africa-class-hospital-task-acc,1.0
test/test-id-region-africa-class-interchange-task-acc,0.0
test/test-id-region-africa-class-military_facility-task-acc,1.0
