metric,value
test/test-id-class-airport-task-acc,0.6086956262588501
test/test-id-class-airport_hangar-task-acc,0.6016260385513306
test/test-id-class-airport_terminal-task-acc,0.4754098355770111
test/test-id-class-amusement_park-task-acc,0.796954333782196
test/test-id-class-aquaculture-task-acc,0.782608687877655
test/test-id-class-archaeological_site-task-acc,0.4888888895511627
test/test-id-class-barn-task-acc,0.5657894611358643
test/test-id-class-border_checkpoint-task-acc,0.125
test/test-id-class-burial_site-task-acc,0.536912739276886
test/test-id-class-car_dealership-task-acc,0.6838235259056091
test/test-id-class-construction_site-task-acc,0.125
test/test-id-class-crop_field-task-acc,0.9081481695175171
test/test-id-class-dam-task-acc,0.6513761281967163
test/test-id-class-debris_or_rubble-task-acc,0.11999999731779099
test/test-id-class-educational_institution-task-acc,0.32216495275497437
test/test-id-class-electric_substation-task-acc,0.4093567132949829
test/test-id-class-factory_or_powerplant-task-acc,0.2886597812175751
test/test-id-class-fire_station-task-acc,0.28977271914482117
test/test-id-class-flooded_road-task-acc,0.9024389982223511
test/test-id-class-fountain-task-acc,0.4202898442745209
test/test-id-class-gas_station-task-acc,0.49047619104385376
test/test-id-class-golf_course-task-acc,0.6993007063865662
test/test-id-class-ground_transportation_station-task-acc,0.5608108043670654
test/test-id-class-helipad-task-acc,0.4345238208770752
test/test-id-class-hospital-task-acc,0.3947368562221527
test/test-id-class-impoverished_settlement-task-acc,0.7540983557701111
test/test-id-class-interchange-task-acc,0.907216489315033
test/test-id-class-lake_or_pond-task-acc,0.17499999701976776
test/test-id-class-lighthouse-task-acc,0.874015748500824
test/test-id-class-military_facility-task-acc,0.4529702961444855
test/test-id-class-multi-unit_residential-task-acc,0.6985915303230286
test/test-id-class-nuclear_powerplant-task-acc,1.0
test/test-id-class-office_building-task-acc,0.08187134563922882
test/test-id-class-oil_or_gas_facility-task-acc,0.8214285969734192
test/test-id-class-park-task-acc,0.3458646535873413
test/test-id-class-parking_lot_or_garage-task-acc,0.40607210993766785
test/test-id-class-place_of_worship-task-acc,0.5270270109176636
test/test-id-class-police_station-task-acc,0.16384181380271912
test/test-id-class-port-task-acc,0.7678571343421936
test/test-id-class-prison-task-acc,0.3194444477558136
test/test-id-class-race_track-task-acc,0.8590604066848755
test/test-id-class-railway_bridge-task-acc,0.7386363744735718
test/test-id-class-recreational_facility-task-acc,0.7583892345428467
test/test-id-class-road_bridge-task-acc,0.6633663177490234
test/test-id-class-runway-task-acc,0.790123462677002
test/test-id-class-shipyard-task-acc,0.761904776096344
test/test-id-class-shopping_mall-task-acc,0.356589138507843
test/test-id-class-single-unit_residential-task-acc,0.6354680061340332
test/test-id-class-smokestack-task-acc,0.5248869061470032
test/test-id-class-solar_farm-task-acc,0.7398374080657959
test/test-id-class-space_facility-task-acc,0.6666666865348816
test/test-id-class-stadium-task-acc,0.7454545497894287
test/test-id-class-storage_tank-task-acc,0.5950413346290588
test/test-id-class-surface_mine-task-acc,0.738095223903656
test/test-id-class-swimming_pool-task-acc,0.8296296000480652
test/test-id-class-toll_booth-task-acc,0.8962963223457336
test/test-id-class-tower-task-acc,0.6317829489707947
test/test-id-class-tunnel_opening-task-acc,0.9047619104385376
test/test-id-class-waste_disposal-task-acc,0.31506848335266113
test/test-id-class-water_treatment_facility-task-acc,0.8085106611251831
test/test-id-class-wind_farm-task-acc,0.9081632494926453
test/test-id-class-zoo-task-acc,0.25
test/test-id-hr-ablated-task-acc,0.18698684871196747
test/test-id-hr-ablated-worst-group-task-acc,0.15239617228507996
test/test-id-hr-domain-acc,0.7167829275131226
test/test-id-hr-domain-acc-africa,0.22966507077217102
test/test-id-hr-domain-acc-americas,0.6392971277236938
test/test-id-hr-domain-acc-asia,0.705162525177002
test/test-id-hr-domain-acc-europe,0.8203883767127991
test/test-id-hr-domain-acc-oceania,0.004587155766785145
test/test-id-lr-ablated-task-acc,0.29001501202583313
test/test-id-lr-ablated-worst-group-task-acc,0.27667731046676636
test/test-id-lr-domain-acc,0.9845501780509949
test/test-id-lr-domain-acc-africa,0.8708133697509766
test/test-id-lr-domain-acc-americas,0.9805111885070801
test/test-id-lr-domain-acc-asia,0.9866156578063965
test/test-id-lr-domain-acc-europe,0.9947572946548462
test/test-id-lr-domain-acc-oceania,0.9082568883895874
test/test-id-region-africa-class-airport-task-acc,0.1666666716337204
test/test-id-region-africa-class-airport_hangar-task-acc,0.6666666865348816
test/test-id-region-africa-class-airport_terminal-task-acc,1.0
test/test-id-region-africa-class-amusement_park-task-acc,0.3333333432674408
test/test-id-region-africa-class-archaeological_site-task-acc,0.5
test/test-id-region-africa-class-border_checkpoint-task-acc,0.0
test/test-id-region-africa-class-crop_field-task-acc,0.9285714030265808
test/test-id-region-africa-class-dam-task-acc,0.5454545617103577
test/test-id-region-africa-class-educational_institution-task-acc,0.0
test/test-id-region-africa-class-electric_substation-task-acc,0.6666666865348816
test/test-id-region-africa-class-factory_or_powerplant-task-acc,1.0
test/test-id-region-africa-class-flooded_road-task-acc,0.0
test/test-id-region-africa-class-fountain-task-acc,0.5
test/test-id-region-africa-class-ground_transportation_station-task-acc,0.75
test/test-id-region-africa-class-helipad-task-acc,0.0
test/test-id-region-africa-class-hospital-task-acc,1.0
test/test-id-region-africa-class-interchange-task-acc,1.0
test/test-id-region-africa-class-military_facility-task-acc,0.0
test/test-id-region-africa-class-multi-unit_residential-task-acc,0.25
test/test-id-region-africa-class-office_building-task-acc,0.0
test/test-id-region-africa-class-parking_lot_or_garage-task-acc,1.0
test/test-id-region-africa-class-place_of_worship-task-acc,0.9506173133850098
test/test-id-region-africa-class-police_station-task-acc,0.0
test/test-id-region-africa-class-port-task-acc,1.0
test/test-id-region-africa-class-prison-task-acc,0.5
test/test-id-region-africa-class-recreational_facility-task-acc,0.6666666865348816
test/test-id-region-africa-class-runway-task-acc,0.75
test/test-id-region-africa-class-single-unit_residential-task-acc,0.5714285969734192
test/test-id-region-africa-class-stadium-task-acc,1.0
test/test-id-region-africa-class-surface_mine-task-acc,0.3333333432674408
test/test-id-region-africa-class-swimming_pool-task-acc,0.3333333432674408
test/test-id-region-africa-class-toll_booth-task-acc,1.0
test/test-id-region-africa-class-tower-task-acc,0.699999988079071
test/test-id-region-africa-class-wind_farm-task-acc,1.0
test/test-id-region-africa-hr-ablated-task-acc,0.4354066848754883
test/test-id-region-africa-lr-ablated-task-acc,0.4880382716655731
test/test-id-region-africa-task-acc,0.7368420958518982
test/test-id-region-africa-task-loss,1.6515851020812988
test/test-id-region-africa-top5-task-acc,0.9043062329292297
test/test-id-region-americas-class-airport-task-acc,0.3333333432674408
test/test-id-region-americas-class-airport_hangar-task-acc,0.6944444179534912
test/test-id-region-americas-class-airport_terminal-task-acc,0.75
test/test-id-region-americas-class-amusement_park-task-acc,0.6129032373428345
test/test-id-region-americas-class-aquaculture-task-acc,0.9523809552192688
test/test-id-region-americas-class-archaeological_site-task-acc,1.0
test/test-id-region-americas-class-barn-task-acc,0.28125
