metric,value
test/test-id-class-airport-task-acc,0.47826087474823
test/test-id-class-airport_hangar-task-acc,0.6097561120986938
test/test-id-class-airport_terminal-task-acc,0.4590163826942444
test/test-id-class-amusement_park-task-acc,0.8223350048065186
test/test-id-class-aquaculture-task-acc,0.782608687877655
test/test-id-class-archaeological_site-task-acc,0.42222222685813904
test/test-id-class-barn-task-acc,0.7543859481811523
test/test-id-class-border_checkpoint-task-acc,0.0625
test/test-id-class-burial_site-task-acc,0.6040268540382385
test/test-id-class-car_dealership-task-acc,0.7279411554336548
test/test-id-class-construction_site-task-acc,0.1964285671710968
test/test-id-class-crop_field-task-acc,0.936296284198761
test/test-id-class-dam-task-acc,0.7706422209739685
test/test-id-class-debris_or_rubble-task-acc,0.1599999964237213
test/test-id-class-educational_institution-task-acc,0.32731959223747253
test/test-id-class-electric_substation-task-acc,0.6783625483512878
test/test-id-class-factory_or_powerplant-task-acc,0.24742268025875092
test/test-id-class-fire_station-task-acc,0.15340909361839294
test/test-id-class-flooded_road-task-acc,0.5365853905677795
test/test-id-class-fountain-task-acc,0.3478260934352875
test/test-id-class-gas_station-task-acc,0.5714285969734192
test/test-id-class-golf_course-task-acc,0.748251736164093
test/test-id-class-ground_transportation_station-task-acc,0.4831081032752991
test/test-id-class-helipad-task-acc,0.3392857015132904
test/test-id-class-hospital-task-acc,0.3947368562221527
test/test-id-class-impoverished_settlement-task-acc,0.8852459192276001
test/test-id-class-interchange-task-acc,0.9278350472450256
test/test-id-class-lake_or_pond-task-acc,0.05000000074505806
test/test-id-class-lighthouse-task-acc,0.8582677245140076
test/test-id-class-military_facility-task-acc,0.5099009871482849
test/test-id-class-multi-unit_residential-task-acc,0.594366192817688
test/test-id-class-nuclear_powerplant-task-acc,1.0
test/test-id-class-office_building-task-acc,0.017543859779834747
test/test-id-class-oil_or_gas_facility-task-acc,0.7946428656578064
test/test-id-class-park-task-acc,0.3458646535873413
test/test-id-class-parking_lot_or_garage-task-acc,0.4269449710845947
test/test-id-class-place_of_worship-task-acc,0.5285285115242004
test/test-id-class-police_station-task-acc,0.14689265191555023
test/test-id-class-port-task-acc,0.6785714030265808
test/test-id-class-prison-task-acc,0.4791666567325592
test/test-id-class-race_track-task-acc,0.9060402512550354
test/test-id-class-railway_bridge-task-acc,0.6818181872367859
test/test-id-class-recreational_facility-task-acc,0.8131991028785706
test/test-id-class-road_bridge-task-acc,0.7178217768669128
test/test-id-class-runway-task-acc,0.8395061492919922
test/test-id-class-shipyard-task-acc,0.6190476417541504
test/test-id-class-shopping_mall-task-acc,0.41472867131233215
test/test-id-class-single-unit_residential-task-acc,0.6650246381759644
test/test-id-class-smokestack-task-acc,0.6561086177825928
test/test-id-class-solar_farm-task-acc,0.6585366129875183
test/test-id-class-space_facility-task-acc,0.3333333432674408
test/test-id-class-stadium-task-acc,0.7575757503509521
test/test-id-class-storage_tank-task-acc,0.6528925895690918
test/test-id-class-surface_mine-task-acc,0.7678571343421936
test/test-id-class-swimming_pool-task-acc,0.770370364189148
test/test-id-class-toll_booth-task-acc,0.8888888955116272
test/test-id-class-tower-task-acc,0.39534884691238403
test/test-id-class-tunnel_opening-task-acc,0.9107142686843872
test/test-id-class-waste_disposal-task-acc,0.39726027846336365
test/test-id-class-water_treatment_facility-task-acc,0.6879432797431946
test/test-id-class-wind_farm-task-acc,0.8979591727256775
test/test-id-class-zoo-task-acc,0.4166666567325592
test/test-id-hr-ablated-task-acc,0.06559547781944275
test/test-id-hr-ablated-worst-group-task-acc,0.00917431153357029
test/test-id-hr-domain-acc,0.6846473217010498
test/test-id-hr-domain-acc-africa,0.2918660342693329
test/test-id-hr-domain-acc-americas,0.555271565914154
test/test-id-hr-domain-acc-asia,0.5629063248634338
test/test-id-hr-domain-acc-europe,0.8706796169281006
test/test-id-hr-domain-acc-oceania,0.0
test/test-id-lr-ablated-task-acc,0.5360642671585083
test/test-id-lr-ablated-worst-group-task-acc,0.4959847033023834
test/test-id-lr-domain-acc,0.99161297082901
test/test-id-lr-domain-acc-africa,0.9234449863433838
test/test-id-lr-domain-acc-americas,0.990095853805542
test/test-id-lr-domain-acc-asia,0.9908221960067749
test/test-id-lr-domain-acc-europe,0.9970873594284058
test/test-id-lr-domain-acc-oceania,0.963302731513977
test/test-id-region-africa-class-airport-task-acc,0.3333333432674408
test/test-id-region-africa-class-airport_hangar-task-acc,1.0
test/test-id-region-africa-class-airport_terminal-task-acc,0.6666666865348816
test/test-id-region-africa-class-amusement_park-task-acc,0.6666666865348816
test/test-id-region-africa-class-archaeological_site-task-acc,0.5
test/test-id-region-africa-class-border_checkpoint-task-acc,0.0
test/test-id-region-africa-class-crop_field-task-acc,0.8571428656578064
test/test-id-region-africa-class-dam-task-acc,0.7272727489471436
test/test-id-region-africa-class-educational_institution-task-acc,0.0
test/test-id-region-africa-class-electric_substation-task-acc,1.0
test/test-id-region-africa-class-factory_or_powerplant-task-acc,0.0
test/test-id-region-africa-class-flooded_road-task-acc,0.0
test/test-id-region-africa-class-fountain-task-acc,0.25
test/test-id-region-africa-class-ground_transportation_station-task-acc,0.75
test/test-id-region-africa-class-helipad-task-acc,0.0
test/test-id-region-africa-class-hospital-task-acc,0.6666666865348816
test/test-id-region-africa-class-interchange-task-acc,1.0
test/test-id-region-africa-class-military_facility-task-acc,1.0
test/test-id-region-africa-class-multi-unit_residential-task-acc,0.125
test/test-id-region-africa-class-office_building-task-acc,0.0
test/test-id-region-africa-class-parking_lot_or_garage-task-acc,0.8333333134651184
test/test-id-region-africa-class-place_of_worship-task-acc,0.9259259104728699
test/test-id-region-africa-class-police_station-task-acc,0.0
test/test-id-region-africa-class-port-task-acc,0.6666666865348816
test/test-id-region-africa-class-prison-task-acc,1.0
test/test-id-region-africa-class-recreational_facility-task-acc,0.0
test/test-id-region-africa-class-runway-task-acc,0.75
test/test-id-region-africa-class-single-unit_residential-task-acc,0.4285714328289032
test/test-id-region-africa-class-stadium-task-acc,1.0
test/test-id-region-africa-class-surface_mine-task-acc,0.1666666716337204
test/test-id-region-africa-class-swimming_pool-task-acc,0.1666666716337204
test/test-id-region-africa-class-toll_booth-task-acc,1.0
test/test-id-region-africa-class-tower-task-acc,0.4000000059604645
test/test-id-region-africa-class-wind_farm-task-acc,1.0
test/test-id-region-africa-hr-ablated-task-acc,0.3253588378429413
test/test-id-region-africa-lr-ablated-task-acc,0.6411483287811279
test/test-id-region-africa-task-acc,0.6889952421188354
test/test-id-region-africa-task-loss,1.116775631904602
test/test-id-region-africa-top5-task-acc,0.9186602830886841
test/test-id-region-americas-class-airport-task-acc,0.6666666865348816
test/test-id-region-americas-class-airport_hangar-task-acc,0.7361111044883728
test/test-id-region-americas-class-airport_terminal-task-acc,0.6388888955116272
test/test-id-region-americas-class-amusement_park-task-acc,0.6129032373428345
test/test-id-region-americas-class-aquaculture-task-acc,0.9047619104385376
test/test-id-region-americas-class-archaeological_site-task-acc,1.0
test/test-id-region-americas-class-barn-task-acc,0.46875
test/test-id-region-americas-class-burial_site-task-acc,0.5555555820465088
test/test-id-region-americas-class-car_dealership-task-acc,0.8169013857841492
test/test-id-region-americas-class-construction_site-task-acc,0.0
test/test-id-region-americas-class-crop_field-task-acc,0.7727272510528564
test/test-id-region-americas-class-dam-task-acc,0.8166666626930237
test/test-id-region-americas-class-debris_or_rubble-task-acc,0.20000000298023224
test/test-id-region-americas-class-educational_institution-task-acc,0.4071856141090393
test/test-id-region-americas-class-electric_substation-task-acc,0.6461538672447205
test/test-id-region-americas-class-factory_or_powerplant-task-acc,0.11999999731779099
test/test-id-region-americas-class-fire_station-task-acc,0.15094339847564697
test/test-id-region-americas-class-flooded_road-task-acc,0.19230769574642181
test/test-id-region-americas-class-fountain-task-acc,0.44999998807907104
test/test-id-region-americas-class-gas_station-task-acc,0.5873016119003296
test/test-id-region-americas-class-golf_course-task-acc,0.746835470199585
test/test-id-region-americas-class-ground_transportation_station-task-acc,0.568965494632721
test/test-id-region-americas-class-helipad-task-acc,0.3870967626571655
test/test-id-region-americas-class-hospital-task-acc,0.4583333432674408
test/test-id-region-americas-class-impoverished_settlement-task-acc,0.9677419066429138
test/test-id-region-americas-class-interchange-task-acc,1.0
test/test-id-region-americas-class-lake_or_pond-task-acc,0.06666667014360428
test/test-id-region-americas-class-lighthouse-task-acc,0.9473684430122375
test/test-id-region-americas-class-military_facility-task-acc,0.0
test/test-id-region-americas-class-office_building-task-acc,0.028169013559818268
test/test-id-region-americas-class-oil_or_gas_facility-task-acc,0.8181818127632141
test/test-id-region-americas-class-park-task-acc,0.3499999940395355
test/test-id-region-americas-class-parking_lot_or_garage-task-acc,0.5142857432365417
test/test-id-region-americas-class-place_of_worship-task-acc,0.5427350401878357
test/test-id-region-americas-class-police_station-task-acc,0.0625
test/test-id-region-americas-class-port-task-acc,1.0
test/test-id-region-americas-class-prison-task-acc,0.7105262875556946
