epoch,lr-Adam,lr-Adam-1,step,test/test-id-hr-domain-acc,test/test-id-hr-domain-acc-africa,test/test-id-hr-domain-acc-americas,test/test-id-hr-domain-acc-asia,test/test-id-hr-domain-acc-europe,test/test-id-hr-domain-acc-oceania,test/test-id-region-africa-task-acc,test/test-id-region-africa-task-loss,test/test-id-region-americas-task-acc,test/test-id-region-americas-task-loss,test/test-id-region-asia-task-acc,test/test-id-region-asia-task-loss,test/test-id-region-europe-task-acc,test/test-id-region-europe-task-loss,test/test-id-region-oceania-task-acc,test/test-id-region-oceania-task-loss,test/test-id-task-acc,test/test-id-task-ece,test/test-id-task-entropy-correct,test/test-id-task-entropy-incorrect,test/test-id-task-loss,test/test-id-worst-group-task-acc,test/test-od-hr-domain-acc,test/test-od-hr-domain-acc-africa,test/test-od-hr-domain-acc-americas,test/test-od-hr-domain-acc-asia,test/test-od-hr-domain-acc-europe,test/test-od-hr-domain-acc-oceania,test/test-od-region-africa-task-acc,test/test-od-region-africa-task-loss,test/test-od-region-americas-task-acc,test/test-od-region-americas-task-loss,test/test-od-region-asia-task-acc,test/test-od-region-asia-task-loss,test/test-od-region-europe-task-acc,test/test-od-region-europe-task-loss,test/test-od-region-oceania-task-acc,test/test-od-region-oceania-task-loss,test/test-od-task-acc,test/test-od-task-ece,test/test-od-task-entropy-correct,test/test-od-task-entropy-incorrect,test/test-od-task-loss,test/test-od-worst-group-task-acc,train/train-hr-domain-acc,train/train-hr-domain-acc-africa,train/train-hr-domain-acc-americas,train/train-hr-domain-acc-asia,train/train-hr-domain-acc-europe,train/train-hr-domain-acc-oceania,train/train-hr-domain-acc-other,train/train-hr-domain-loss,train/train-task-acc,train/train-task-loss,val/val-id-hr-domain-acc,val/val-id-hr-domain-acc-africa,val/val-id-hr-domain-acc-americas,val/val-id-hr-domain-acc-asia,val/val-id-hr-domain-acc-europe,val/val-id-hr-domain-acc-oceania,val/val-id-region-africa-task-acc,val/val-id-region-africa-task-loss,val/val-id-region-americas-task-acc,val/val-id-region-americas-task-loss,val/val-id-region-asia-task-acc,val/val-id-region-asia-task-loss,val/val-id-region-europe-task-acc,val/val-id-region-europe-task-loss,val/val-id-region-oceania-task-acc,val/val-id-region-oceania-task-loss,val/val-id-task-acc,val/val-id-task-ece,val/val-id-task-entropy-correct,val/val-id-task-entropy-incorrect,val/val-id-task-loss,val/val-id-worst-group-task-acc,val/val-od-hr-domain-acc,val/val-od-hr-domain-acc-africa,val/val-od-hr-domain-acc-americas,val/val-od-hr-domain-acc-asia,val/val-od-hr-domain-acc-europe,val/val-od-hr-domain-acc-oceania,val/val-od-region-africa-task-acc,val/val-od-region-africa-task-loss,val/val-od-region-americas-task-acc,val/val-od-region-americas-task-loss,val/val-od-region-asia-task-acc,val/val-od-region-asia-task-loss,val/val-od-region-europe-task-acc,val/val-od-region-europe-task-loss,val/val-od-region-oceania-task-acc,val/val-od-region-oceania-task-loss,val/val-od-task-acc,val/val-od-task-ece,val/val-od-task-entropy-correct,val/val-od-task-entropy-incorrect,val/val-od-task-loss,val/val-od-worst-group-task-acc
,2e-05,1e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4882870316505432,0.0,0.1843302994966507,0.17601187527179718,0.8667426109313965,0.0,0.5,2.073930501937866,0.3621586561203003,2.616453170776367,0.3327144384384155,2.69327974319458,0.3208048641681671,2.7169222831726074,0.36653387546539307,2.4705405235290527,0.3386745750904083,0.0899331271648407,2.552058458328247,3.4262990951538086,2.6716387271881104,0.3208048641681671,0.4360029995441437,0.0,0.19003352522850037,0.1875758320093155,0.8617433905601501,0.0,0.28891655802726746,2.6840763092041016,0.336330384016037,2.6744730472564697,0.3307449519634247,2.734758138656616,0.3821779489517212,2.4918901920318604,0.3492063581943512,2.537360906600952,0.35144364833831787,0.08597604930400848,2.460129737854004,3.396320343017578,2.6143035888671875,0.28891655802726746
0,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3945331275463104,0.001896333764307201,0.147618368268013,0.22696389257907867,0.6656135320663452,0.00609384523704648,0.0,1.386370301246643,0.2237357348203659,3.2023985385894775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.591831386089325,0.0,0.41449934244155884,0.3408837616443634,0.8737661242485046,0.0,0.5736842155456543,1.7054787874221802,0.4587126076221466,2.1117327213287354,0.42740437388420105,2.213571548461914,0.4225512444972992,2.26495623588562,0.48207172751426697,1.8495112657546997,0.4372550845146179,0.09410278499126434,2.1214048862457275,3.1194369792938232,2.196810722351074,0.4225512444972992,0.5356765985488892,0.0,0.38463881611824036,0.37636494636535645,0.8526901006698608,0.0,0.3599003851413727,2.2764012813568115,0.43111854791641235,2.23237681388855,0.4159184694290161,2.244396686553955,0.4821521043777466,2.03581166267395,0.47186148166656494,1.9571149349212646,0.4463469684123993,0.08496983349323273,2.0440666675567627,3.0905556678771973,2.153223991394043,0.3599003851413727
1,,,1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4639943838119507,0.0009481668821536005,0.21379868686199188,0.234937384724617,0.7752039432525635,0.00304692261852324,0.0,1.1218081712722778,0.3973042964935303,2.3911893367767334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6310197710990906,0.0,0.4983745217323303,0.4533976912498474,0.8526955246925354,0.0,0.5947368144989014,1.485490322113037,0.536736011505127,1.778609037399292,0.4912736713886261,1.9269189834594727,0.4804479777812958,1.9795130491256714,0.613545835018158,1.4975138902664185,0.5029173493385315,0.0802813470363617,1.7956950664520264,2.8553812503814697,1.8975249528884888,0.4804479777812958,0.572181761264801,0.0,0.4503200352191925,0.502305269241333,0.8238489627838135,0.0,0.41718554496765137,2.0255818367004395,0.4891801178455353,1.9314332008361816,0.481193870306015,1.9731740951538086,0.5381531119346619,1.7727361917495728,0.5194805264472961,1.6806262731552124,0.504694938659668,0.06960458308458328,1.740082859992981,2.8271305561065674,1.8756051063537598,0.41718554496765137
2,,,1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5104406476020813,0.0006321112741716206,0.29124748706817627,0.282572478055954,0.8067842125892639,0.0020312818232923746,0.0,1.011614203453064,0.48866164684295654,1.991979718208313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
