metric,value
test/test-id-class-airport-task-acc,0.0
test/test-id-class-airport_hangar-task-acc,0.04878048598766327
test/test-id-class-airport_terminal-task-acc,0.09836065769195557
test/test-id-class-amusement_park-task-acc,0.10659898817539215
test/test-id-class-aquaculture-task-acc,0.8260869383811951
test/test-id-class-archaeological_site-task-acc,0.12222222238779068
test/test-id-class-barn-task-acc,0.6008771657943726
test/test-id-class-border_checkpoint-task-acc,0.0
test/test-id-class-burial_site-task-acc,0.08053690940141678
test/test-id-class-car_dealership-task-acc,0.029411764815449715
test/test-id-class-construction_site-task-acc,0.1875
test/test-id-class-crop_field-task-acc,0.770370364189148
test/test-id-class-dam-task-acc,0.11926605552434921
test/test-id-class-debris_or_rubble-task-acc,0.18000000715255737
test/test-id-class-educational_institution-task-acc,0.17010308802127838
test/test-id-class-electric_substation-task-acc,0.017543859779834747
test/test-id-class-factory_or_powerplant-task-acc,0.0
test/test-id-class-fire_station-task-acc,0.005681818351149559
test/test-id-class-flooded_road-task-acc,0.9024389982223511
test/test-id-class-fountain-task-acc,0.04830917716026306
test/test-id-class-gas_station-task-acc,0.0
test/test-id-class-golf_course-task-acc,0.0
test/test-id-class-ground_transportation_station-task-acc,0.10135135054588318
test/test-id-class-helipad-task-acc,0.0773809552192688
test/test-id-class-hospital-task-acc,0.07894736528396606
test/test-id-class-impoverished_settlement-task-acc,0.6721311211585999
test/test-id-class-interchange-task-acc,0.05154639109969139
test/test-id-class-lake_or_pond-task-acc,0.0
test/test-id-class-lighthouse-task-acc,0.7165354490280151
test/test-id-class-military_facility-task-acc,0.48762375116348267
test/test-id-class-multi-unit_residential-task-acc,0.7859154939651489
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.0
test/test-id-class-oil_or_gas_facility-task-acc,0.8214285969734192
test/test-id-class-park-task-acc,0.015037594363093376
test/test-id-class-parking_lot_or_garage-task-acc,0.27893736958503723
test/test-id-class-place_of_worship-task-acc,0.4264264404773712
test/test-id-class-police_station-task-acc,0.0
test/test-id-class-port-task-acc,0.0
test/test-id-class-prison-task-acc,0.0
test/test-id-class-race_track-task-acc,0.11409395933151245
test/test-id-class-railway_bridge-task-acc,0.125
test/test-id-class-recreational_facility-task-acc,0.5514541268348694
test/test-id-class-road_bridge-task-acc,0.049504950642585754
test/test-id-class-runway-task-acc,0.07407407462596893
test/test-id-class-shipyard-task-acc,0.0
test/test-id-class-shopping_mall-task-acc,0.08139535039663315
test/test-id-class-single-unit_residential-task-acc,0.517241358757019
test/test-id-class-smokestack-task-acc,0.42081448435783386
test/test-id-class-solar_farm-task-acc,0.1869918704032898
test/test-id-class-space_facility-task-acc,0.0
test/test-id-class-stadium-task-acc,0.145454540848732
test/test-id-class-storage_tank-task-acc,0.13223139941692352
test/test-id-class-surface_mine-task-acc,0.1369047611951828
test/test-id-class-swimming_pool-task-acc,0.7592592835426331
test/test-id-class-toll_booth-task-acc,0.15555556118488312
test/test-id-class-tower-task-acc,0.12403100728988647
test/test-id-class-tunnel_opening-task-acc,0.9464285969734192
test/test-id-class-waste_disposal-task-acc,0.06164383515715599
test/test-id-class-water_treatment_facility-task-acc,0.03546099364757538
test/test-id-class-wind_farm-task-acc,0.7653061151504517
test/test-id-class-zoo-task-acc,0.0
test/test-id-lr-domain-acc,0.25355345010757446
test/test-id-lr-domain-acc-africa,0.019138755276799202
test/test-id-lr-domain-acc-americas,0.6830670833587646
test/test-id-lr-domain-acc-asia,0.0695984736084938
test/test-id-lr-domain-acc-europe,0.0920388326048851
test/test-id-lr-domain-acc-oceania,0.3348623812198639
test/test-id-region-africa-class-airport-task-acc,0.0
test/test-id-region-africa-class-airport_hangar-task-acc,0.3333333432674408
test/test-id-region-africa-class-airport_terminal-task-acc,0.0
test/test-id-region-africa-class-amusement_park-task-acc,0.0
test/test-id-region-africa-class-archaeological_site-task-acc,0.0
test/test-id-region-africa-class-border_checkpoint-task-acc,0.0
test/test-id-region-africa-class-crop_field-task-acc,0.3571428656578064
test/test-id-region-africa-class-dam-task-acc,0.8181818127632141
test/test-id-region-africa-class-educational_institution-task-acc,0.0
test/test-id-region-africa-class-electric_substation-task-acc,0.6666666865348816
test/test-id-region-africa-class-factory_or_powerplant-task-acc,0.0
test/test-id-region-africa-class-flooded_road-task-acc,0.0
test/test-id-region-africa-class-fountain-task-acc,0.0
test/test-id-region-africa-class-ground_transportation_station-task-acc,0.0
test/test-id-region-africa-class-helipad-task-acc,0.0
test/test-id-region-africa-class-hospital-task-acc,0.0
test/test-id-region-africa-class-interchange-task-acc,0.0
test/test-id-region-africa-class-military_facility-task-acc,1.0
test/test-id-region-africa-class-multi-unit_residential-task-acc,0.125
test/test-id-region-africa-class-office_building-task-acc,0.0
test/test-id-region-africa-class-parking_lot_or_garage-task-acc,0.8333333134651184
test/test-id-region-africa-class-place_of_worship-task-acc,0.9629629850387573
test/test-id-region-africa-class-police_station-task-acc,0.0
test/test-id-region-africa-class-port-task-acc,0.0
test/test-id-region-africa-class-prison-task-acc,0.0
test/test-id-region-africa-class-recreational_facility-task-acc,0.0
test/test-id-region-africa-class-runway-task-acc,0.0
test/test-id-region-africa-class-single-unit_residential-task-acc,0.1428571492433548
test/test-id-region-africa-class-stadium-task-acc,0.0
test/test-id-region-africa-class-surface_mine-task-acc,0.6666666865348816
