metric,value
test/test-id-class-airport-task-acc,0.6086956262588501
test/test-id-class-airport_hangar-task-acc,0.6585366129875183
test/test-id-class-airport_terminal-task-acc,0.46721312403678894
test/test-id-class-amusement_park-task-acc,0.8680202960968018
test/test-id-class-aquaculture-task-acc,0.8478260636329651
test/test-id-class-archaeological_site-task-acc,0.47777777910232544
test/test-id-class-barn-task-acc,0.6447368264198303
test/test-id-class-border_checkpoint-task-acc,0.25
test/test-id-class-burial_site-task-acc,0.6308724880218506
test/test-id-class-car_dealership-task-acc,0.625
test/test-id-class-construction_site-task-acc,0.25
test/test-id-class-crop_field-task-acc,0.9066666960716248
test/test-id-class-dam-task-acc,0.7614678740501404
test/test-id-class-debris_or_rubble-task-acc,0.2199999988079071
test/test-id-class-educational_institution-task-acc,0.3015463948249817
test/test-id-class-electric_substation-task-acc,0.5847952961921692
test/test-id-class-factory_or_powerplant-task-acc,0.3298968970775604
test/test-id-class-fire_station-task-acc,0.22727273404598236
test/test-id-class-flooded_road-task-acc,0.45121949911117554
test/test-id-class-fountain-task-acc,0.39613527059555054
test/test-id-class-gas_station-task-acc,0.44285714626312256
test/test-id-class-golf_course-task-acc,0.7972028255462646
test/test-id-class-ground_transportation_station-task-acc,0.5101351141929626
test/test-id-class-helipad-task-acc,0.4523809552192688
test/test-id-class-hospital-task-acc,0.36315789818763733
test/test-id-class-impoverished_settlement-task-acc,0.9016393423080444
test/test-id-class-interchange-task-acc,0.907216489315033
test/test-id-class-lake_or_pond-task-acc,0.25
test/test-id-class-lighthouse-task-acc,0.834645688533783
test/test-id-class-military_facility-task-acc,0.5544554591178894
test/test-id-class-multi-unit_residential-task-acc,0.5464788675308228
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.13450291752815247
test/test-id-class-oil_or_gas_facility-task-acc,0.7678571343421936
test/test-id-class-park-task-acc,0.3233082592487335
test/test-id-class-parking_lot_or_garage-task-acc,0.5275142192840576
test/test-id-class-place_of_worship-task-acc,0.5345345139503479
test/test-id-class-police_station-task-acc,0.2259887009859085
test/test-id-class-port-task-acc,0.6607142686843872
test/test-id-class-prison-task-acc,0.3055555522441864
test/test-id-class-race_track-task-acc,0.8053691387176514
test/test-id-class-railway_bridge-task-acc,0.6420454382896423
test/test-id-class-recreational_facility-task-acc,0.8366890549659729
test/test-id-class-road_bridge-task-acc,0.7772276997566223
test/test-id-class-runway-task-acc,0.8518518805503845
test/test-id-class-shipyard-task-acc,0.6190476417541504
test/test-id-class-shopping_mall-task-acc,0.3255814015865326
test/test-id-class-single-unit_residential-task-acc,0.6256157755851746
test/test-id-class-smokestack-task-acc,0.5972850918769836
test/test-id-class-solar_farm-task-acc,0.6910569071769714
test/test-id-class-space_facility-task-acc,0.3333333432674408
test/test-id-class-stadium-task-acc,0.7515151500701904
test/test-id-class-storage_tank-task-acc,0.6611570119857788
test/test-id-class-surface_mine-task-acc,0.8154761791229248
test/test-id-class-swimming_pool-task-acc,0.7814815044403076
test/test-id-class-toll_booth-task-acc,0.9407407641410828
test/test-id-class-tower-task-acc,0.44573643803596497
test/test-id-class-tunnel_opening-task-acc,0.8392857313156128
test/test-id-class-waste_disposal-task-acc,0.3561643958091736
test/test-id-class-water_treatment_facility-task-acc,0.6808510422706604
test/test-id-class-wind_farm-task-acc,0.8979591727256775
test/test-id-class-zoo-task-acc,0.3541666567325592
test/test-id-hr-domain-acc,0.8060386776924133
test/test-id-hr-domain-acc-africa,0.4114832580089569
test/test-id-hr-domain-acc-americas,0.7821086049079895
test/test-id-hr-domain-acc-asia,0.7418738007545471
test/test-id-hr-domain-acc-europe,0.8933980464935303
test/test-id-hr-domain-acc-oceania,0.25229358673095703
