metric,value
test/test-id-class-airport-task-acc,0.43478259444236755
test/test-id-class-airport_hangar-task-acc,0.5447154641151428
test/test-id-class-airport_terminal-task-acc,0.5819672346115112
test/test-id-class-amusement_park-task-acc,0.8121827244758606
test/test-id-class-aquaculture-task-acc,0.717391312122345
test/test-id-class-archaeological_site-task-acc,0.4000000059604645
test/test-id-class-barn-task-acc,0.5789473652839661
test/test-id-class-border_checkpoint-task-acc,0.1875
test/test-id-class-burial_site-task-acc,0.5704697966575623
test/test-id-class-car_dealership-task-acc,0.6764705777168274
test/test-id-class-construction_site-task-acc,0.1428571492433548
test/test-id-class-crop_field-task-acc,0.8755555748939514
test/test-id-class-dam-task-acc,0.7339449524879456
test/test-id-class-debris_or_rubble-task-acc,0.05999999865889549
test/test-id-class-educational_institution-task-acc,0.2525773048400879
test/test-id-class-electric_substation-task-acc,0.4853801131248474
test/test-id-class-factory_or_powerplant-task-acc,0.3195876181125641
test/test-id-class-fire_station-task-acc,0.2443181872367859
test/test-id-class-flooded_road-task-acc,0.39024388790130615
test/test-id-class-fountain-task-acc,0.45410627126693726
test/test-id-class-gas_station-task-acc,0.5190476179122925
test/test-id-class-golf_course-task-acc,0.7342657446861267
test/test-id-class-ground_transportation_station-task-acc,0.6452702879905701
test/test-id-class-helipad-task-acc,0.3571428656578064
test/test-id-class-hospital-task-acc,0.28947368264198303
test/test-id-class-impoverished_settlement-task-acc,0.7540983557701111
test/test-id-class-interchange-task-acc,0.8969072103500366
test/test-id-class-lake_or_pond-task-acc,0.10000000149011612
test/test-id-class-lighthouse-task-acc,0.7952755689620972
test/test-id-class-military_facility-task-acc,0.3861386179924011
test/test-id-class-multi-unit_residential-task-acc,0.4253521263599396
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.14035087823867798
test/test-id-class-oil_or_gas_facility-task-acc,0.6875
test/test-id-class-park-task-acc,0.24060150980949402
test/test-id-class-parking_lot_or_garage-task-acc,0.36622390151023865
test/test-id-class-place_of_worship-task-acc,0.5840840935707092
test/test-id-class-police_station-task-acc,0.19209039211273193
test/test-id-class-port-task-acc,0.5714285969734192
test/test-id-class-prison-task-acc,0.3055555522441864
test/test-id-class-race_track-task-acc,0.8523489832878113
test/test-id-class-railway_bridge-task-acc,0.5170454382896423
test/test-id-class-recreational_facility-task-acc,0.7606263756752014
test/test-id-class-road_bridge-task-acc,0.8267326951026917
test/test-id-class-runway-task-acc,0.7530864477157593
test/test-id-class-shipyard-task-acc,0.4285714328289032
test/test-id-class-shopping_mall-task-acc,0.38759690523147583
