metric,value
test/test-id-class-airport-task-acc,0.47826087474823
test/test-id-class-airport_hangar-task-acc,0.6341463327407837
test/test-id-class-airport_terminal-task-acc,0.35245901346206665
test/test-id-class-amusement_park-task-acc,0.7614213228225708
test/test-id-class-aquaculture-task-acc,0.8260869383811951
test/test-id-class-archaeological_site-task-acc,0.36666667461395264
test/test-id-class-barn-task-acc,0.6622806787490845
test/test-id-class-border_checkpoint-task-acc,0.0
test/test-id-class-burial_site-task-acc,0.4429530203342438
test/test-id-class-car_dealership-task-acc,0.654411792755127
test/test-id-class-construction_site-task-acc,0.0892857164144516
test/test-id-class-crop_field-task-acc,0.931851863861084
test/test-id-class-dam-task-acc,0.7155963182449341
test/test-id-class-debris_or_rubble-task-acc,0.07999999821186066
test/test-id-class-educational_institution-task-acc,0.2706185579299927
test/test-id-class-electric_substation-task-acc,0.4444444477558136
test/test-id-class-factory_or_powerplant-task-acc,0.24742268025875092
test/test-id-class-fire_station-task-acc,0.14204545319080353
test/test-id-class-flooded_road-task-acc,0.26829269528388977
test/test-id-class-fountain-task-acc,0.36231884360313416
test/test-id-class-gas_station-task-acc,0.4809523820877075
test/test-id-class-golf_course-task-acc,0.6713286638259888
test/test-id-class-ground_transportation_station-task-acc,0.5675675868988037
test/test-id-class-helipad-task-acc,0.1428571492433548
test/test-id-class-hospital-task-acc,0.3368421196937561
test/test-id-class-impoverished_settlement-task-acc,0.8852459192276001
test/test-id-class-interchange-task-acc,0.907216489315033
test/test-id-class-lake_or_pond-task-acc,0.02500000037252903
test/test-id-class-lighthouse-task-acc,0.787401556968689
test/test-id-class-military_facility-task-acc,0.47029703855514526
test/test-id-class-multi-unit_residential-task-acc,0.5154929757118225
test/test-id-class-nuclear_powerplant-task-acc,1.0
test/test-id-class-office_building-task-acc,0.05847953259944916
test/test-id-class-oil_or_gas_facility-task-acc,0.5982142686843872
test/test-id-class-park-task-acc,0.25563910603523254
test/test-id-class-parking_lot_or_garage-task-acc,0.33396583795547485
test/test-id-class-place_of_worship-task-acc,0.575075089931488
test/test-id-class-police_station-task-acc,0.06779661029577255
test/test-id-class-port-task-acc,0.5892857313156128
test/test-id-class-prison-task-acc,0.4027777910232544
test/test-id-class-race_track-task-acc,0.8523489832878113
test/test-id-class-railway_bridge-task-acc,0.5625
test/test-id-class-recreational_facility-task-acc,0.7874720096588135
test/test-id-class-road_bridge-task-acc,0.6732673048973083
test/test-id-class-runway-task-acc,0.790123462677002
test/test-id-class-shipyard-task-acc,0.3333333432674408
test/test-id-class-shopping_mall-task-acc,0.38372093439102173
test/test-id-class-single-unit_residential-task-acc,0.6305418610572815
test/test-id-class-smokestack-task-acc,0.6153846383094788
test/test-id-class-solar_farm-task-acc,0.6260162591934204
test/test-id-class-space_facility-task-acc,0.1666666716337204
test/test-id-class-stadium-task-acc,0.7272727489471436
test/test-id-class-storage_tank-task-acc,0.6528925895690918
test/test-id-class-surface_mine-task-acc,0.7678571343421936
test/test-id-class-swimming_pool-task-acc,0.7185184955596924
test/test-id-class-toll_booth-task-acc,0.8592592477798462
test/test-id-class-tower-task-acc,0.40310078859329224
test/test-id-class-tunnel_opening-task-acc,0.8392857313156128
test/test-id-class-waste_disposal-task-acc,0.267123281955719
test/test-id-class-water_treatment_facility-task-acc,0.6453900933265686
test/test-id-class-wind_farm-task-acc,0.8265306353569031
test/test-id-class-zoo-task-acc,0.1875
test/test-id-hr-domain-acc,0.7279950380325317
test/test-id-hr-domain-acc-africa,0.28229665756225586
test/test-id-hr-domain-acc-americas,0.6354632377624512
test/test-id-hr-domain-acc-asia,0.8057361245155334
test/test-id-hr-domain-acc-europe,0.7877669930458069
test/test-id-hr-domain-acc-oceania,0.15596330165863037
test/test-id-lr-domain-acc,0.9946146607398987
test/test-id-lr-domain-acc-africa,0.9712918400764465
test/test-id-lr-domain-acc-americas,0.9945687055587769
test/test-id-lr-domain-acc-asia,0.9927342534065247
test/test-id-lr-domain-acc-europe,0.9984465837478638
test/test-id-lr-domain-acc-oceania,0.9587156176567078
test/test-id-region-africa-class-airport-task-acc,0.5
test/test-id-region-africa-class-airport_hangar-task-acc,1.0
test/test-id-region-africa-class-airport_terminal-task-acc,0.3333333432674408
test/test-id-region-africa-class-amusement_park-task-acc,0.0
test/test-id-region-africa-class-archaeological_site-task-acc,0.0
test/test-id-region-africa-class-border_checkpoint-task-acc,0.0
test/test-id-region-africa-class-crop_field-task-acc,1.0
test/test-id-region-africa-class-dam-task-acc,0.9090909361839294
test/test-id-region-africa-class-educational_institution-task-acc,0.0
test/test-id-region-africa-class-electric_substation-task-acc,0.3333333432674408
test/test-id-region-africa-class-factory_or_powerplant-task-acc,0.0
test/test-id-region-africa-class-flooded_road-task-acc,0.0
test/test-id-region-africa-class-fountain-task-acc,0.0
test/test-id-region-africa-class-ground_transportation_station-task-acc,0.0
test/test-id-region-africa-class-helipad-task-acc,0.0
test/test-id-region-africa-class-hospital-task-acc,0.0
test/test-id-region-africa-class-interchange-task-acc,0.0
test/test-id-region-africa-class-military_facility-task-acc,0.0
test/test-id-region-africa-class-multi-unit_residential-task-acc,0.625
test/test-id-region-africa-class-office_building-task-acc,0.0
test/test-id-region-africa-class-parking_lot_or_garage-task-acc,0.8333333134651184
test/test-id-region-africa-class-place_of_worship-task-acc,0.9629629850387573
test/test-id-region-africa-class-police_station-task-acc,0.0
test/test-id-region-africa-class-port-task-acc,0.0
test/test-id-region-africa-class-prison-task-acc,0.0
test/test-id-region-africa-class-recreational_facility-task-acc,0.0
test/test-id-region-africa-class-runway-task-acc,0.5
test/test-id-region-africa-class-single-unit_residential-task-acc,0.4285714328289032
test/test-id-region-africa-class-stadium-task-acc,1.0
test/test-id-region-africa-class-surface_mine-task-acc,0.0
test/test-id-region-africa-class-swimming_pool-task-acc,0.0
test/test-id-region-africa-class-toll_booth-task-acc,1.0
test/test-id-region-africa-class-tower-task-acc,0.5
test/test-id-region-africa-class-wind_farm-task-acc,1.0
test/test-id-region-africa-task-acc,0.6507176756858826
test/test-id-region-africa-task-loss,1.3542420864105225
test/test-id-region-africa-top5-task-acc,0.8516746163368225
test/test-id-region-americas-class-airport-task-acc,0.3333333432674408
test/test-id-region-americas-class-airport_hangar-task-acc,0.7777777910232544
test/test-id-region-americas-class-airport_terminal-task-acc,0.6388888955116272
test/test-id-region-americas-class-amusement_park-task-acc,0.3870967626571655
test/test-id-region-americas-class-aquaculture-task-acc,0.9047619104385376
test/test-id-region-americas-class-archaeological_site-task-acc,0.5
test/test-id-region-americas-class-barn-task-acc,0.4375
test/test-id-region-americas-class-burial_site-task-acc,0.4444444477558136
test/test-id-region-americas-class-car_dealership-task-acc,0.7887324094772339
test/test-id-region-americas-class-construction_site-task-acc,0.0
test/test-id-region-americas-class-crop_field-task-acc,0.7727272510528564
test/test-id-region-americas-class-dam-task-acc,0.7666666507720947
test/test-id-region-americas-class-debris_or_rubble-task-acc,0.05000000074505806
test/test-id-region-americas-class-educational_institution-task-acc,0.34730538725852966
test/test-id-region-americas-class-electric_substation-task-acc,0.5230769515037537
test/test-id-region-americas-class-factory_or_powerplant-task-acc,0.36000001430511475
test/test-id-region-americas-class-fire_station-task-acc,0.09433962404727936
test/test-id-region-americas-class-flooded_road-task-acc,0.03846153989434242
test/test-id-region-americas-class-fountain-task-acc,0.44999998807907104
test/test-id-region-americas-class-gas_station-task-acc,0.5873016119003296
test/test-id-region-americas-class-golf_course-task-acc,0.6962025165557861
test/test-id-region-americas-class-ground_transportation_station-task-acc,0.6724137663841248
test/test-id-region-americas-class-helipad-task-acc,0.25806450843811035
test/test-id-region-americas-class-hospital-task-acc,0.2083333283662796
test/test-id-region-americas-class-impoverished_settlement-task-acc,1.0
test/test-id-region-americas-class-interchange-task-acc,1.0
test/test-id-region-americas-class-lake_or_pond-task-acc,0.0
test/test-id-region-americas-class-lighthouse-task-acc,0.8421052694320679
test/test-id-region-americas-class-military_facility-task-acc,0.0
test/test-id-region-americas-class-office_building-task-acc,0.09859155118465424
test/test-id-region-americas-class-oil_or_gas_facility-task-acc,0.6363636255264282
test/test-id-region-americas-class-park-task-acc,0.25
test/test-id-region-americas-class-parking_lot_or_garage-task-acc,0.4171428680419922
test/test-id-region-americas-class-place_of_worship-task-acc,0.5982906222343445
test/test-id-region-americas-class-police_station-task-acc,0.0
test/test-id-region-americas-class-port-task-acc,0.3333333432674408
test/test-id-region-americas-class-prison-task-acc,0.5526315569877625
test/test-id-region-americas-class-race_track-task-acc,0.800000011920929
test/test-id-region-americas-class-railway_bridge-task-acc,0.578125
test/test-id-region-americas-class-recreational_facility-task-acc,0.8307349681854248
test/test-id-region-americas-class-road_bridge-task-acc,0.7924528121948242
test/test-id-region-americas-class-runway-task-acc,0.5833333134651184
test/test-id-region-americas-class-shipyard-task-acc,0.4444444477558136
test/test-id-region-americas-class-shopping_mall-task-acc,0.3095238208770752
test/test-id-region-americas-class-single-unit_residential-task-acc,0.5
test/test-id-region-americas-class-smokestack-task-acc,0.0
test/test-id-region-americas-class-solar_farm-task-acc,0.4516128897666931
test/test-id-region-americas-class-space_facility-task-acc,0.5
test/test-id-region-americas-class-stadium-task-acc,0.7435897588729858
test/test-id-region-americas-class-storage_tank-task-acc,0.44736841320991516
test/test-id-region-americas-class-surface_mine-task-acc,0.8888888955116272
test/test-id-region-americas-class-swimming_pool-task-acc,0.7828282713890076
test/test-id-region-americas-class-toll_booth-task-acc,0.8181818127632141
test/test-id-region-americas-class-tower-task-acc,0.47457626461982727
test/test-id-region-americas-class-waste_disposal-task-acc,0.0
test/test-id-region-americas-class-water_treatment_facility-task-acc,0.37037035822868347
test/test-id-region-americas-class-wind_farm-task-acc,0.6000000238418579
test/test-id-region-americas-class-zoo-task-acc,0.23999999463558197
test/test-id-region-americas-task-acc,0.5833866000175476
test/test-id-region-americas-task-loss,1.5305933952331543
test/test-id-region-americas-top5-task-acc,0.840575098991394
test/test-id-region-asia-class-airport-task-acc,0.5833333134651184
test/test-id-region-asia-class-airport_hangar-task-acc,0.5555555820465088
test/test-id-region-asia-class-airport_terminal-task-acc,0.2916666567325592
test/test-id-region-asia-class-amusement_park-task-acc,0.7333333492279053
test/test-id-region-asia-class-aquaculture-task-acc,0.8636363744735718
test/test-id-region-asia-class-archaeological_site-task-acc,0.4423076808452606
test/test-id-region-asia-class-barn-task-acc,0.0
test/test-id-region-asia-class-border_checkpoint-task-acc,0.0
test/test-id-region-asia-class-burial_site-task-acc,0.3499999940395355
test/test-id-region-asia-class-car_dealership-task-acc,0.0
test/test-id-region-asia-class-construction_site-task-acc,0.05263157933950424
test/test-id-region-asia-class-crop_field-task-acc,0.7710843086242676
test/test-id-region-asia-class-dam-task-acc,0.5714285969734192
test/test-id-region-asia-class-debris_or_rubble-task-acc,0.20000000298023224
test/test-id-region-asia-class-educational_institution-task-acc,0.35779815912246704
test/test-id-region-asia-class-electric_substation-task-acc,0.4516128897666931
test/test-id-region-asia-class-factory_or_powerplant-task-acc,0.0
test/test-id-region-asia-class-fire_station-task-acc,0.0
test/test-id-region-asia-class-fountain-task-acc,0.29411765933036804
test/test-id-region-asia-class-gas_station-task-acc,0.26829269528388977
test/test-id-region-asia-class-golf_course-task-acc,0.4615384638309479
test/test-id-region-asia-class-ground_transportation_station-task-acc,0.5411764979362488
test/test-id-region-asia-class-helipad-task-acc,0.11363636702299118
test/test-id-region-asia-class-hospital-task-acc,0.40740740299224854
test/test-id-region-asia-class-impoverished_settlement-task-acc,0.7666666507720947
test/test-id-region-asia-class-interchange-task-acc,0.5454545617103577
test/test-id-region-asia-class-lake_or_pond-task-acc,0.0
test/test-id-region-asia-class-lighthouse-task-acc,0.949999988079071
test/test-id-region-asia-class-military_facility-task-acc,0.5891719460487366
test/test-id-region-asia-class-multi-unit_residential-task-acc,0.4228571355342865
test/test-id-region-asia-class-office_building-task-acc,0.0
test/test-id-region-asia-class-oil_or_gas_facility-task-acc,0.6226415038108826
test/test-id-region-asia-class-park-task-acc,0.2777777910232544
test/test-id-region-asia-class-parking_lot_or_garage-task-acc,0.2266666740179062
test/test-id-region-asia-class-place_of_worship-task-acc,0.5315789580345154
test/test-id-region-asia-class-police_station-task-acc,0.0
test/test-id-region-asia-class-port-task-acc,0.8888888955116272
test/test-id-region-asia-class-prison-task-acc,0.0
test/test-id-region-asia-class-race_track-task-acc,0.8571428656578064
test/test-id-region-asia-class-railway_bridge-task-acc,0.3214285671710968
test/test-id-region-asia-class-recreational_facility-task-acc,0.7837837934494019
test/test-id-region-asia-class-road_bridge-task-acc,0.7681159377098083
test/test-id-region-asia-class-runway-task-acc,0.9090909361839294
test/test-id-region-asia-class-shipyard-task-acc,0.0
test/test-id-region-asia-class-shopping_mall-task-acc,0.29411765933036804
test/test-id-region-asia-class-single-unit_residential-task-acc,0.4324324429035187
test/test-id-region-asia-class-smokestack-task-acc,0.0
test/test-id-region-asia-class-solar_farm-task-acc,0.0
test/test-id-region-asia-class-stadium-task-acc,0.782608687877655
test/test-id-region-asia-class-storage_tank-task-acc,1.0
test/test-id-region-asia-class-surface_mine-task-acc,0.7234042286872864
test/test-id-region-asia-class-swimming_pool-task-acc,0.517241358757019
test/test-id-region-asia-class-toll_booth-task-acc,0.8888888955116272
test/test-id-region-asia-class-tower-task-acc,0.40625
test/test-id-region-asia-class-tunnel_opening-task-acc,0.8392857313156128
test/test-id-region-asia-class-water_treatment_facility-task-acc,0.4000000059604645
test/test-id-region-asia-class-wind_farm-task-acc,0.862500011920929
test/test-id-region-asia-class-zoo-task-acc,0.1666666716337204
test/test-id-region-asia-task-acc,0.5445506572723389
test/test-id-region-asia-task-loss,1.6334409713745117
test/test-id-region-asia-top5-task-acc,0.8447418808937073
