metric,value
test/test-id-class-airport-task-acc,0.43478259444236755
test/test-id-class-airport_hangar-task-acc,0.6097561120986938
test/test-id-class-airport_terminal-task-acc,0.39344263076782227
test/test-id-class-amusement_park-task-acc,0.8527919054031372
test/test-id-class-aquaculture-task-acc,0.8695651888847351
test/test-id-class-archaeological_site-task-acc,0.3333333432674408
test/test-id-class-barn-task-acc,0.6842105388641357
test/test-id-class-border_checkpoint-task-acc,0.0625
test/test-id-class-burial_site-task-acc,0.5771812200546265
test/test-id-class-car_dealership-task-acc,0.6838235259056091
test/test-id-class-construction_site-task-acc,0.1964285671710968
test/test-id-class-crop_field-task-acc,0.9185185432434082
test/test-id-class-dam-task-acc,0.6972476840019226
test/test-id-class-debris_or_rubble-task-acc,0.07999999821186066
test/test-id-class-educational_institution-task-acc,0.2989690601825714
test/test-id-class-electric_substation-task-acc,0.6081871390342712
test/test-id-class-factory_or_powerplant-task-acc,0.36082473397254944
test/test-id-class-fire_station-task-acc,0.1306818127632141
test/test-id-class-flooded_road-task-acc,0.47560974955558777
test/test-id-class-fountain-task-acc,0.39613527059555054
test/test-id-class-gas_station-task-acc,0.5476190447807312
test/test-id-class-golf_course-task-acc,0.8041958212852478
test/test-id-class-ground_transportation_station-task-acc,0.5067567825317383
test/test-id-class-helipad-task-acc,0.363095223903656
test/test-id-class-hospital-task-acc,0.2947368323802948
test/test-id-class-impoverished_settlement-task-acc,0.8032786846160889
test/test-id-class-interchange-task-acc,0.8865979313850403
test/test-id-class-lake_or_pond-task-acc,0.07500000298023224
test/test-id-class-lighthouse-task-acc,0.8897637724876404
test/test-id-class-military_facility-task-acc,0.5767326951026917
test/test-id-class-multi-unit_residential-task-acc,0.6845070719718933
test/test-id-class-nuclear_powerplant-task-acc,1.0
test/test-id-class-office_building-task-acc,0.035087719559669495
test/test-id-class-oil_or_gas_facility-task-acc,0.7767857313156128
test/test-id-class-park-task-acc,0.29323309659957886
test/test-id-class-parking_lot_or_garage-task-acc,0.43833017349243164
test/test-id-class-place_of_worship-task-acc,0.46846845746040344
test/test-id-class-police_station-task-acc,0.09604519605636597
test/test-id-class-port-task-acc,0.6607142686843872
test/test-id-class-prison-task-acc,0.3333333432674408
test/test-id-class-race_track-task-acc,0.8657718300819397
test/test-id-class-railway_bridge-task-acc,0.7329545617103577
test/test-id-class-recreational_facility-task-acc,0.7885906100273132
test/test-id-class-road_bridge-task-acc,0.6584158539772034
test/test-id-class-runway-task-acc,0.8888888955116272
test/test-id-class-shipyard-task-acc,0.380952388048172
test/test-id-class-shopping_mall-task-acc,0.3682170510292053
test/test-id-class-single-unit_residential-task-acc,0.6206896305084229
test/test-id-class-smokestack-task-acc,0.6334841847419739
test/test-id-class-solar_farm-task-acc,0.6341463327407837
test/test-id-class-space_facility-task-acc,0.1666666716337204
test/test-id-class-stadium-task-acc,0.7454545497894287
test/test-id-class-storage_tank-task-acc,0.6280992031097412
test/test-id-class-surface_mine-task-acc,0.7142857313156128
test/test-id-class-swimming_pool-task-acc,0.7444444298744202
test/test-id-class-toll_booth-task-acc,0.8962963223457336
test/test-id-class-tower-task-acc,0.43410852551460266
test/test-id-class-tunnel_opening-task-acc,0.8928571343421936
test/test-id-class-waste_disposal-task-acc,0.34246575832366943
test/test-id-class-water_treatment_facility-task-acc,0.6382978558540344
test/test-id-class-wind_farm-task-acc,0.8877550959587097
test/test-id-class-zoo-task-acc,0.3125
test/test-id-hr-ablated-task-acc,0.06868544220924377
test/test-id-hr-ablated-worst-group-task-acc,0.03349282220005989
test/test-id-hr-domain-acc,0.6137547492980957
test/test-id-hr-domain-acc-africa,0.0
test/test-id-hr-domain-acc-americas,0.4297124743461609
test/test-id-hr-domain-acc-asia,0.4233269691467285
test/test-id-hr-domain-acc-europe,0.8737863898277283
test/test-id-hr-domain-acc-oceania,0.0
test/test-id-lr-ablated-task-acc,0.03416615352034569
test/test-id-lr-ablated-worst-group-task-acc,0.0
test/test-id-lr-domain-acc,0.9879932999610901
test/test-id-lr-domain-acc-africa,0.9090909361839294
test/test-id-lr-domain-acc-americas,0.9833865761756897
test/test-id-lr-domain-acc-asia,0.9847036600112915
test/test-id-lr-domain-acc-europe,0.9968932271003723
test/test-id-lr-domain-acc-oceania,0.9816513657569885
test/test-id-region-africa-class-airport-task-acc,0.3333333432674408
test/test-id-region-africa-class-airport_hangar-task-acc,1.0
test/test-id-region-africa-class-airport_terminal-task-acc,0.6666666865348816
test/test-id-region-africa-class-amusement_park-task-acc,0.3333333432674408
test/test-id-region-africa-class-archaeological_site-task-acc,0.5
test/test-id-region-africa-class-border_checkpoint-task-acc,0.0
test/test-id-region-africa-class-crop_field-task-acc,0.9285714030265808
test/test-id-region-africa-class-dam-task-acc,0.8181818127632141
test/test-id-region-africa-class-educational_institution-task-acc,0.0
test/test-id-region-africa-class-electric_substation-task-acc,0.6666666865348816
test/test-id-region-africa-class-factory_or_powerplant-task-acc,0.0
test/test-id-region-africa-class-flooded_road-task-acc,0.0
test/test-id-region-africa-class-fountain-task-acc,0.25
test/test-id-region-africa-class-ground_transportation_station-task-acc,0.5
test/test-id-region-africa-class-helipad-task-acc,0.0
test/test-id-region-africa-class-hospital-task-acc,0.6666666865348816
test/test-id-region-africa-class-interchange-task-acc,0.0
test/test-id-region-africa-class-military_facility-task-acc,1.0
test/test-id-region-africa-class-multi-unit_residential-task-acc,0.125
test/test-id-region-africa-class-office_building-task-acc,0.5
test/test-id-region-africa-class-parking_lot_or_garage-task-acc,0.6666666865348816
test/test-id-region-africa-class-place_of_worship-task-acc,0.9135802388191223
test/test-id-region-africa-class-police_station-task-acc,0.0
test/test-id-region-africa-class-port-task-acc,1.0
test/test-id-region-africa-class-prison-task-acc,0.0
test/test-id-region-africa-class-recreational_facility-task-acc,0.3333333432674408
test/test-id-region-africa-class-runway-task-acc,0.75
test/test-id-region-africa-class-single-unit_residential-task-acc,0.8571428656578064
test/test-id-region-africa-class-stadium-task-acc,1.0
test/test-id-region-africa-class-surface_mine-task-acc,0.0
test/test-id-region-africa-class-swimming_pool-task-acc,0.1666666716337204
test/test-id-region-africa-class-toll_booth-task-acc,1.0
test/test-id-region-africa-class-tower-task-acc,0.6000000238418579
test/test-id-region-africa-class-wind_farm-task-acc,1.0
test/test-id-region-africa-hr-ablated-task-acc,0.03349282220005989
test/test-id-region-africa-lr-ablated-task-acc,0.06698564440011978
test/test-id-region-africa-task-acc,0.6937798857688904
test/test-id-region-africa-task-loss,1.2412580251693726
test/test-id-region-africa-top5-task-acc,0.8564593195915222
test/test-id-region-americas-class-airport-task-acc,0.3333333432674408
test/test-id-region-americas-class-airport_hangar-task-acc,0.75
test/test-id-region-americas-class-airport_terminal-task-acc,0.6388888955116272
test/test-id-region-americas-class-amusement_park-task-acc,0.4838709533214569
test/test-id-region-americas-class-aquaculture-task-acc,0.9523809552192688
test/test-id-region-americas-class-archaeological_site-task-acc,0.0
test/test-id-region-americas-class-barn-task-acc,0.375
test/test-id-region-americas-class-burial_site-task-acc,0.5
test/test-id-region-americas-class-car_dealership-task-acc,0.7746478915214539
test/test-id-region-americas-class-construction_site-task-acc,0.0
test/test-id-region-americas-class-crop_field-task-acc,0.5909090638160706
test/test-id-region-americas-class-dam-task-acc,0.7833333611488342
test/test-id-region-americas-class-debris_or_rubble-task-acc,0.10000000149011612
test/test-id-region-americas-class-educational_institution-task-acc,0.359281450510025
test/test-id-region-americas-class-electric_substation-task-acc,0.6000000238418579
test/test-id-region-americas-class-factory_or_powerplant-task-acc,0.4000000059604645
test/test-id-region-americas-class-fire_station-task-acc,0.1320754736661911
test/test-id-region-americas-class-flooded_road-task-acc,0.11538461595773697
test/test-id-region-americas-class-fountain-task-acc,0.38333332538604736
test/test-id-region-americas-class-gas_station-task-acc,0.6507936716079712
test/test-id-region-americas-class-golf_course-task-acc,0.8354430198669434
test/test-id-region-americas-class-ground_transportation_station-task-acc,0.6034482717514038
test/test-id-region-americas-class-helipad-task-acc,0.5
test/test-id-region-americas-class-hospital-task-acc,0.1666666716337204
test/test-id-region-americas-class-impoverished_settlement-task-acc,1.0
test/test-id-region-americas-class-interchange-task-acc,0.9726027250289917
test/test-id-region-americas-class-lake_or_pond-task-acc,0.06666667014360428
test/test-id-region-americas-class-lighthouse-task-acc,0.9473684430122375
test/test-id-region-americas-class-military_facility-task-acc,0.2222222238779068
test/test-id-region-americas-class-office_building-task-acc,0.014084506779909134
test/test-id-region-americas-class-oil_or_gas_facility-task-acc,0.8181818127632141
test/test-id-region-americas-class-park-task-acc,0.30000001192092896
test/test-id-region-americas-class-parking_lot_or_garage-task-acc,0.5199999809265137
test/test-id-region-americas-class-place_of_worship-task-acc,0.5128205418586731
test/test-id-region-americas-class-police_station-task-acc,0.09375
test/test-id-region-americas-class-port-task-acc,0.6666666865348816
test/test-id-region-americas-class-prison-task-acc,0.3947368562221527
test/test-id-region-americas-class-race_track-task-acc,0.8666666746139526
test/test-id-region-americas-class-railway_bridge-task-acc,0.78125
test/test-id-region-americas-class-recreational_facility-task-acc,0.8062360882759094
test/test-id-region-americas-class-road_bridge-task-acc,0.7358490824699402
test/test-id-region-americas-class-runway-task-acc,0.6666666865348816
test/test-id-region-americas-class-shipyard-task-acc,0.5555555820465088
test/test-id-region-americas-class-shopping_mall-task-acc,0.4761904776096344
test/test-id-region-americas-class-single-unit_residential-task-acc,0.5
test/test-id-region-americas-class-smokestack-task-acc,0.0
test/test-id-region-americas-class-solar_farm-task-acc,0.4838709533214569
test/test-id-region-americas-class-space_facility-task-acc,0.5
test/test-id-region-americas-class-stadium-task-acc,0.8717948794364929
test/test-id-region-americas-class-storage_tank-task-acc,0.4736842215061188
test/test-id-region-americas-class-surface_mine-task-acc,0.8611111044883728
test/test-id-region-americas-class-swimming_pool-task-acc,0.7878788113594055
test/test-id-region-americas-class-toll_booth-task-acc,0.8636363744735718
test/test-id-region-americas-class-tower-task-acc,0.5593220591545105
test/test-id-region-americas-class-waste_disposal-task-acc,0.10000000149011612
test/test-id-region-americas-class-water_treatment_facility-task-acc,0.37037035822868347
test/test-id-region-americas-class-wind_farm-task-acc,0.800000011920929
test/test-id-region-americas-class-zoo-task-acc,0.36000001430511475
test/test-id-region-americas-hr-ablated-task-acc,0.04632587730884552
test/test-id-region-americas-lr-ablated-task-acc,0.03226837143301964
test/test-id-region-americas-task-acc,0.6063897609710693
test/test-id-region-americas-task-loss,1.4449130296707153
test/test-id-region-americas-top5-task-acc,0.8587859272956848
test/test-id-region-asia-class-airport-task-acc,0.5833333134651184
test/test-id-region-asia-class-airport_hangar-task-acc,0.4444444477558136
test/test-id-region-asia-class-airport_terminal-task-acc,0.3333333432674408
test/test-id-region-asia-class-amusement_park-task-acc,0.8999999761581421
test/test-id-region-asia-class-aquaculture-task-acc,0.9090909361839294
test/test-id-region-asia-class-archaeological_site-task-acc,0.4423076808452606
test/test-id-region-asia-class-barn-task-acc,0.0
test/test-id-region-asia-class-border_checkpoint-task-acc,0.0833333358168602
test/test-id-region-asia-class-burial_site-task-acc,0.75
test/test-id-region-asia-class-car_dealership-task-acc,0.0
test/test-id-region-asia-class-construction_site-task-acc,0.21052631735801697
test/test-id-region-asia-class-crop_field-task-acc,0.8313252925872803
test/test-id-region-asia-class-dam-task-acc,0.5357142686843872
test/test-id-region-asia-class-debris_or_rubble-task-acc,0.06666667014360428
