metric,value
test/test-id-class-airport-task-acc,0.739130437374115
test/test-id-class-airport_hangar-task-acc,0.707317054271698
test/test-id-class-airport_terminal-task-acc,0.4262295067310333
test/test-id-class-amusement_park-task-acc,0.8578680157661438
test/test-id-class-aquaculture-task-acc,0.804347813129425
test/test-id-class-archaeological_site-task-acc,0.46666666865348816
test/test-id-class-barn-task-acc,0.7061403393745422
test/test-id-class-border_checkpoint-task-acc,0.125
test/test-id-class-burial_site-task-acc,0.48322147130966187
test/test-id-class-car_dealership-task-acc,0.654411792755127
test/test-id-class-construction_site-task-acc,0.3482142984867096
test/test-id-class-crop_field-task-acc,0.9555555582046509
test/test-id-class-dam-task-acc,0.8165137767791748
test/test-id-class-debris_or_rubble-task-acc,0.20000000298023224
test/test-id-class-educational_institution-task-acc,0.3350515365600586
test/test-id-class-electric_substation-task-acc,0.5789473652839661
test/test-id-class-factory_or_powerplant-task-acc,0.2886597812175751
test/test-id-class-fire_station-task-acc,0.19886364042758942
test/test-id-class-flooded_road-task-acc,1.0
test/test-id-class-fountain-task-acc,0.4202898442745209
test/test-id-class-gas_station-task-acc,0.41428571939468384
test/test-id-class-golf_course-task-acc,0.7202796936035156
test/test-id-class-ground_transportation_station-task-acc,0.5709459185600281
test/test-id-class-helipad-task-acc,0.4464285671710968
test/test-id-class-hospital-task-acc,0.37368419766426086
test/test-id-class-impoverished_settlement-task-acc,0.9180327653884888
test/test-id-class-interchange-task-acc,0.9484536051750183
test/test-id-class-lake_or_pond-task-acc,0.375
test/test-id-class-lighthouse-task-acc,0.8267716765403748
test/test-id-class-military_facility-task-acc,0.5495049357414246
test/test-id-class-multi-unit_residential-task-acc,0.6901408433914185
test/test-id-class-nuclear_powerplant-task-acc,1.0
test/test-id-class-office_building-task-acc,0.12280701845884323
test/test-id-class-oil_or_gas_facility-task-acc,0.8571428656578064
test/test-id-class-park-task-acc,0.27819550037384033
test/test-id-class-parking_lot_or_garage-task-acc,0.43074002861976624
test/test-id-class-place_of_worship-task-acc,0.5510510802268982
test/test-id-class-police_station-task-acc,0.12429378181695938
test/test-id-class-port-task-acc,0.7321428656578064
test/test-id-class-prison-task-acc,0.3125
test/test-id-class-race_track-task-acc,0.9060402512550354
test/test-id-class-railway_bridge-task-acc,0.6022727489471436
test/test-id-class-recreational_facility-task-acc,0.7975391745567322
test/test-id-class-road_bridge-task-acc,0.8168317079544067
test/test-id-class-runway-task-acc,0.8395061492919922
test/test-id-class-shipyard-task-acc,0.380952388048172
test/test-id-class-shopping_mall-task-acc,0.38759690523147583
test/test-id-class-single-unit_residential-task-acc,0.6551724076271057
test/test-id-class-smokestack-task-acc,0.5882353186607361
test/test-id-class-solar_farm-task-acc,0.6991869807243347
test/test-id-class-space_facility-task-acc,0.5
test/test-id-class-stadium-task-acc,0.7212121486663818
test/test-id-class-storage_tank-task-acc,0.7603305578231812
test/test-id-class-surface_mine-task-acc,0.7083333134651184
test/test-id-class-swimming_pool-task-acc,0.8592592477798462
test/test-id-class-toll_booth-task-acc,0.8370370268821716
test/test-id-class-tower-task-acc,0.6279069781303406
test/test-id-class-tunnel_opening-task-acc,0.9047619104385376
test/test-id-class-waste_disposal-task-acc,0.4041095972061157
test/test-id-class-water_treatment_facility-task-acc,0.7021276354789734
test/test-id-class-wind_farm-task-acc,0.8979591727256775
test/test-id-class-zoo-task-acc,0.3958333432674408
test/test-id-hr-ablated-task-acc,0.14867131412029266
test/test-id-hr-ablated-worst-group-task-acc,0.1102912649512291
test/test-id-hr-domain-acc,0.7467997074127197
test/test-id-hr-domain-acc-africa,0.32057416439056396
test/test-id-hr-domain-acc-americas,0.6808306574821472
test/test-id-hr-domain-acc-asia,0.6791586875915527
test/test-id-hr-domain-acc-europe,0.8660194277763367
test/test-id-hr-domain-acc-oceania,0.11467889696359634
test/test-id-lr-ablated-task-acc,0.036108411848545074
test/test-id-lr-ablated-worst-group-task-acc,0.014354066923260689
test/test-id-lr-domain-acc,0.989935576915741
test/test-id-lr-domain-acc-africa,0.9473684430122375
test/test-id-lr-domain-acc-americas,0.9894568920135498
test/test-id-lr-domain-acc-asia,0.9889101386070251
test/test-id-lr-domain-acc-europe,0.9955340027809143
test/test-id-lr-domain-acc-oceania,0.9311926364898682
test/test-id-region-africa-class-airport-task-acc,0.5
test/test-id-region-africa-class-airport_hangar-task-acc,0.6666666865348816
test/test-id-region-africa-class-airport_terminal-task-acc,0.6666666865348816
test/test-id-region-africa-class-amusement_park-task-acc,0.3333333432674408
test/test-id-region-africa-class-archaeological_site-task-acc,0.5
test/test-id-region-africa-class-border_checkpoint-task-acc,0.0
test/test-id-region-africa-class-crop_field-task-acc,1.0
test/test-id-region-africa-class-dam-task-acc,0.9090909361839294
test/test-id-region-africa-class-educational_institution-task-acc,0.0
test/test-id-region-africa-class-electric_substation-task-acc,0.6666666865348816
test/test-id-region-africa-class-factory_or_powerplant-task-acc,0.0
