metric,value
test/test-id-class-airport-task-acc,0.47826087474823
test/test-id-class-airport_hangar-task-acc,0.6504064798355103
test/test-id-class-airport_terminal-task-acc,0.5163934230804443
test/test-id-class-amusement_park-task-acc,0.8527919054031372
test/test-id-class-aquaculture-task-acc,0.804347813129425
test/test-id-class-archaeological_site-task-acc,0.41111111640930176
test/test-id-class-barn-task-acc,0.6315789222717285
test/test-id-class-border_checkpoint-task-acc,0.0625
test/test-id-class-burial_site-task-acc,0.5302013158798218
test/test-id-class-car_dealership-task-acc,0.720588207244873
test/test-id-class-construction_site-task-acc,0.1875
test/test-id-class-crop_field-task-acc,0.9451851844787598
test/test-id-class-dam-task-acc,0.8073394298553467
test/test-id-class-debris_or_rubble-task-acc,0.20000000298023224
test/test-id-class-educational_institution-task-acc,0.22680412232875824
test/test-id-class-electric_substation-task-acc,0.5847952961921692
test/test-id-class-factory_or_powerplant-task-acc,0.42268040776252747
test/test-id-class-fire_station-task-acc,0.3011363744735718
test/test-id-class-flooded_road-task-acc,0.9756097793579102
test/test-id-class-fountain-task-acc,0.4202898442745209
test/test-id-class-gas_station-task-acc,0.4761904776096344
test/test-id-class-golf_course-task-acc,0.7412587404251099
test/test-id-class-ground_transportation_station-task-acc,0.5945945978164673
test/test-id-class-helipad-task-acc,0.3392857015132904
test/test-id-class-hospital-task-acc,0.5
test/test-id-class-impoverished_settlement-task-acc,0.9508196711540222
test/test-id-class-interchange-task-acc,0.876288652420044
test/test-id-class-lake_or_pond-task-acc,0.3499999940395355
test/test-id-class-lighthouse-task-acc,0.8425197005271912
test/test-id-class-military_facility-task-acc,0.5495049357414246
test/test-id-class-multi-unit_residential-task-acc,0.6309859156608582
test/test-id-class-nuclear_powerplant-task-acc,1.0
test/test-id-class-office_building-task-acc,0.09941520541906357
test/test-id-class-oil_or_gas_facility-task-acc,0.8839285969734192
test/test-id-class-park-task-acc,0.29323309659957886
test/test-id-class-parking_lot_or_garage-task-acc,0.4231499135494232
test/test-id-class-place_of_worship-task-acc,0.5195195078849792
test/test-id-class-police_station-task-acc,0.18644067645072937
test/test-id-class-port-task-acc,0.6785714030265808
test/test-id-class-prison-task-acc,0.2430555522441864
test/test-id-class-race_track-task-acc,0.8657718300819397
test/test-id-class-railway_bridge-task-acc,0.5909090638160706
test/test-id-class-recreational_facility-task-acc,0.8590604066848755
test/test-id-class-road_bridge-task-acc,0.8168317079544067
test/test-id-class-runway-task-acc,0.8518518805503845
test/test-id-class-shipyard-task-acc,0.380952388048172
test/test-id-class-shopping_mall-task-acc,0.356589138507843
test/test-id-class-single-unit_residential-task-acc,0.7142857313156128
test/test-id-class-smokestack-task-acc,0.6244344115257263
test/test-id-class-solar_farm-task-acc,0.7235772609710693
test/test-id-class-space_facility-task-acc,0.5
test/test-id-class-stadium-task-acc,0.6727272868156433
test/test-id-class-storage_tank-task-acc,0.702479362487793
test/test-id-class-surface_mine-task-acc,0.8571428656578064
test/test-id-class-swimming_pool-task-acc,0.8037037253379822
test/test-id-class-toll_booth-task-acc,0.8962963223457336
test/test-id-class-tower-task-acc,0.6085271239280701
test/test-id-class-tunnel_opening-task-acc,0.9047619104385376
test/test-id-class-waste_disposal-task-acc,0.39726027846336365
test/test-id-class-water_treatment_facility-task-acc,0.695035457611084
test/test-id-class-wind_farm-task-acc,0.918367326259613
test/test-id-class-zoo-task-acc,0.3958333432674408
test/test-id-hr-ablated-task-acc,0.1505252867937088
test/test-id-hr-ablated-worst-group-task-acc,0.10174757242202759
test/test-id-hr-domain-acc,0.7478591203689575
test/test-id-hr-domain-acc-africa,0.2870813310146332
test/test-id-hr-domain-acc-americas,0.6753993630409241
test/test-id-hr-domain-acc-asia,0.6543021202087402
test/test-id-hr-domain-acc-europe,0.8854368925094604
test/test-id-hr-domain-acc-oceania,0.11926605552434921
test/test-id-lr-ablated-task-acc,0.046525999903678894
test/test-id-lr-ablated-worst-group-task-acc,0.018355639651417732
test/test-id-lr-domain-acc,0.9871987104415894
test/test-id-lr-domain-acc-africa,0.8851674795150757
test/test-id-lr-domain-acc-americas,0.9846645593643188
test/test-id-lr-domain-acc-asia,0.9839388132095337
test/test-id-lr-domain-acc-europe,0.9974757432937622
test/test-id-lr-domain-acc-oceania,0.9311926364898682
test/test-id-region-africa-class-airport-task-acc,0.3333333432674408
test/test-id-region-africa-class-airport_hangar-task-acc,0.6666666865348816
test/test-id-region-africa-class-airport_terminal-task-acc,0.6666666865348816
test/test-id-region-africa-class-amusement_park-task-acc,0.3333333432674408
test/test-id-region-africa-class-archaeological_site-task-acc,0.5
test/test-id-region-africa-class-border_checkpoint-task-acc,0.0
test/test-id-region-africa-class-crop_field-task-acc,0.9285714030265808
test/test-id-region-africa-class-dam-task-acc,1.0
test/test-id-region-africa-class-educational_institution-task-acc,0.0
test/test-id-region-africa-class-electric_substation-task-acc,0.6666666865348816
test/test-id-region-africa-class-factory_or_powerplant-task-acc,0.0
test/test-id-region-africa-class-flooded_road-task-acc,1.0
test/test-id-region-africa-class-fountain-task-acc,0.75
test/test-id-region-africa-class-ground_transportation_station-task-acc,0.75
test/test-id-region-africa-class-helipad-task-acc,0.0
test/test-id-region-africa-class-hospital-task-acc,1.0
test/test-id-region-africa-class-interchange-task-acc,0.0
test/test-id-region-africa-class-military_facility-task-acc,1.0
test/test-id-region-africa-class-multi-unit_residential-task-acc,0.125
test/test-id-region-africa-class-office_building-task-acc,0.0
test/test-id-region-africa-class-parking_lot_or_garage-task-acc,1.0
test/test-id-region-africa-class-place_of_worship-task-acc,0.9012345671653748
test/test-id-region-africa-class-police_station-task-acc,0.0
test/test-id-region-africa-class-port-task-acc,0.6666666865348816
test/test-id-region-africa-class-prison-task-acc,0.0
test/test-id-region-africa-class-recreational_facility-task-acc,0.6666666865348816
test/test-id-region-africa-class-runway-task-acc,0.75
test/test-id-region-africa-class-single-unit_residential-task-acc,0.8571428656578064
test/test-id-region-africa-class-stadium-task-acc,0.75
test/test-id-region-africa-class-surface_mine-task-acc,0.6666666865348816
test/test-id-region-africa-class-swimming_pool-task-acc,0.0
test/test-id-region-africa-class-toll_booth-task-acc,1.0
test/test-id-region-africa-class-tower-task-acc,0.5
test/test-id-region-africa-class-wind_farm-task-acc,0.0
test/test-id-region-africa-hr-ablated-task-acc,0.19617225229740143
test/test-id-region-africa-lr-ablated-task-acc,0.023923445492982864
test/test-id-region-africa-task-acc,0.7224880456924438
test/test-id-region-africa-task-loss,2.08974027633667
test/test-id-region-africa-top5-task-acc,0.9043062329292297
test/test-id-region-americas-class-airport-task-acc,0.3333333432674408
test/test-id-region-americas-class-airport_hangar-task-acc,0.7083333134651184
test/test-id-region-americas-class-airport_terminal-task-acc,0.75
test/test-id-region-americas-class-amusement_park-task-acc,0.7096773982048035
test/test-id-region-americas-class-aquaculture-task-acc,0.9523809552192688
test/test-id-region-americas-class-archaeological_site-task-acc,0.5
test/test-id-region-americas-class-barn-task-acc,0.375
test/test-id-region-americas-class-burial_site-task-acc,0.3888888955116272
test/test-id-region-americas-class-car_dealership-task-acc,0.7746478915214539
test/test-id-region-americas-class-construction_site-task-acc,0.0
test/test-id-region-americas-class-crop_field-task-acc,0.9090909361839294
test/test-id-region-americas-class-dam-task-acc,0.8333333134651184
