metric,value
test/test-id-class-airport-task-acc,0.8260869383811951
test/test-id-class-airport_hangar-task-acc,0.6910569071769714
test/test-id-class-airport_terminal-task-acc,0.5
test/test-id-class-amusement_park-task-acc,0.8629441857337952
test/test-id-class-aquaculture-task-acc,0.804347813129425
test/test-id-class-archaeological_site-task-acc,0.4444444477558136
test/test-id-class-barn-task-acc,0.7061403393745422
test/test-id-class-border_checkpoint-task-acc,0.25
test/test-id-class-burial_site-task-acc,0.6107382774353027
test/test-id-class-car_dealership-task-acc,0.7426470518112183
test/test-id-class-construction_site-task-acc,0.2142857164144516
test/test-id-class-crop_field-task-acc,0.9407407641410828
test/test-id-class-dam-task-acc,0.642201840877533
test/test-id-class-debris_or_rubble-task-acc,0.23999999463558197
test/test-id-class-educational_institution-task-acc,0.2010309249162674
test/test-id-class-electric_substation-task-acc,0.6549707651138306
test/test-id-class-factory_or_powerplant-task-acc,0.3505154550075531
test/test-id-class-fire_station-task-acc,0.27272728085517883
test/test-id-class-flooded_road-task-acc,0.9756097793579102
test/test-id-class-fountain-task-acc,0.3719806671142578
test/test-id-class-gas_station-task-acc,0.39047619700431824
test/test-id-class-golf_course-task-acc,0.7692307829856873
test/test-id-class-ground_transportation_station-task-acc,0.5777027010917664
test/test-id-class-helipad-task-acc,0.3333333432674408
test/test-id-class-hospital-task-acc,0.378947377204895
test/test-id-class-impoverished_settlement-task-acc,0.8196721076965332
test/test-id-class-interchange-task-acc,0.8659793734550476
test/test-id-class-lake_or_pond-task-acc,0.375
test/test-id-class-lighthouse-task-acc,0.8503937125205994
test/test-id-class-military_facility-task-acc,0.5445544719696045
test/test-id-class-multi-unit_residential-task-acc,0.6873239278793335
test/test-id-class-nuclear_powerplant-task-acc,1.0
test/test-id-class-office_building-task-acc,0.1461988240480423
test/test-id-class-oil_or_gas_facility-task-acc,0.9107142686843872
test/test-id-class-park-task-acc,0.29323309659957886
test/test-id-class-parking_lot_or_garage-task-acc,0.464895635843277
test/test-id-class-place_of_worship-task-acc,0.5405405163764954
test/test-id-class-police_station-task-acc,0.18644067645072937
test/test-id-class-port-task-acc,0.75
