metric,value
test/test-id-class-airport-task-acc,0.5652173757553101
test/test-id-class-airport_hangar-task-acc,0.6829268336296082
test/test-id-class-airport_terminal-task-acc,0.5
test/test-id-class-amusement_park-task-acc,0.893401026725769
test/test-id-class-aquaculture-task-acc,0.8913043737411499
test/test-id-class-archaeological_site-task-acc,0.47777777910232544
test/test-id-class-barn-task-acc,0.6754385828971863
test/test-id-class-border_checkpoint-task-acc,0.125
test/test-id-class-burial_site-task-acc,0.4966442883014679
test/test-id-class-car_dealership-task-acc,0.6838235259056091
test/test-id-class-construction_site-task-acc,0.1964285671710968
test/test-id-class-crop_field-task-acc,0.9096296429634094
test/test-id-class-dam-task-acc,0.78899085521698
test/test-id-class-debris_or_rubble-task-acc,0.2800000011920929
test/test-id-class-educational_institution-task-acc,0.3195876181125641
test/test-id-class-electric_substation-task-acc,0.5380116701126099
test/test-id-class-factory_or_powerplant-task-acc,0.2886597812175751
test/test-id-class-fire_station-task-acc,0.2613636255264282
test/test-id-class-flooded_road-task-acc,0.9390243887901306
test/test-id-class-fountain-task-acc,0.483091801404953
test/test-id-class-gas_station-task-acc,0.5809524059295654
test/test-id-class-golf_course-task-acc,0.6573426723480225
test/test-id-class-ground_transportation_station-task-acc,0.5844594836235046
test/test-id-class-helipad-task-acc,0.4166666567325592
test/test-id-class-hospital-task-acc,0.47894737124443054
test/test-id-class-impoverished_settlement-task-acc,0.8852459192276001
test/test-id-class-interchange-task-acc,0.8865979313850403
test/test-id-class-lake_or_pond-task-acc,0.15000000596046448
test/test-id-class-lighthouse-task-acc,0.8425197005271912
test/test-id-class-military_facility-task-acc,0.4925742447376251
test/test-id-class-multi-unit_residential-task-acc,0.7070422768592834
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.10526315867900848
test/test-id-class-oil_or_gas_facility-task-acc,0.8303571343421936
test/test-id-class-park-task-acc,0.24060150980949402
test/test-id-class-parking_lot_or_garage-task-acc,0.43074002861976624
test/test-id-class-place_of_worship-task-acc,0.5030030012130737
test/test-id-class-police_station-task-acc,0.09604519605636597
test/test-id-class-port-task-acc,0.8035714030265808
test/test-id-class-prison-task-acc,0.3402777910232544
test/test-id-class-race_track-task-acc,0.9127516746520996
test/test-id-class-railway_bridge-task-acc,0.6761363744735718
test/test-id-class-recreational_facility-task-acc,0.7729306221008301
test/test-id-class-road_bridge-task-acc,0.7772276997566223
test/test-id-class-runway-task-acc,0.8888888955116272
test/test-id-class-shipyard-task-acc,0.523809552192688
test/test-id-class-shopping_mall-task-acc,0.3139534890651703
test/test-id-class-single-unit_residential-task-acc,0.6699507236480713
test/test-id-class-smokestack-task-acc,0.5610859990119934
test/test-id-class-solar_farm-task-acc,0.6910569071769714
test/test-id-class-space_facility-task-acc,0.8333333134651184
