metric,value
test/test-id-class-airport-task-acc,0.3913043439388275
test/test-id-class-airport_hangar-task-acc,0.642276406288147
test/test-id-class-airport_terminal-task-acc,0.4344262182712555
test/test-id-class-amusement_park-task-acc,0.8629441857337952
test/test-id-class-aquaculture-task-acc,0.8913043737411499
test/test-id-class-archaeological_site-task-acc,0.4000000059604645
test/test-id-class-barn-task-acc,0.6885964870452881
test/test-id-class-border_checkpoint-task-acc,0.0
test/test-id-class-burial_site-task-acc,0.5503355860710144
test/test-id-class-car_dealership-task-acc,0.6617646813392639
test/test-id-class-construction_site-task-acc,0.2946428656578064
test/test-id-class-crop_field-task-acc,0.9288889169692993
test/test-id-class-dam-task-acc,0.7339449524879456
test/test-id-class-debris_or_rubble-task-acc,0.23999999463558197
test/test-id-class-educational_institution-task-acc,0.36082473397254944
test/test-id-class-electric_substation-task-acc,0.5906432867050171
test/test-id-class-factory_or_powerplant-task-acc,0.4020618498325348
test/test-id-class-fire_station-task-acc,0.11363636702299118
test/test-id-class-flooded_road-task-acc,0.9146341681480408
test/test-id-class-fountain-task-acc,0.3140096664428711
test/test-id-class-gas_station-task-acc,0.5714285969734192
test/test-id-class-golf_course-task-acc,0.7972028255462646
test/test-id-class-ground_transportation_station-task-acc,0.4932432472705841
test/test-id-class-helipad-task-acc,0.363095223903656
test/test-id-class-hospital-task-acc,0.37368419766426086
test/test-id-class-impoverished_settlement-task-acc,0.8360655903816223
test/test-id-class-interchange-task-acc,0.8969072103500366
test/test-id-class-lake_or_pond-task-acc,0.10000000149011612
test/test-id-class-lighthouse-task-acc,0.8976377844810486
test/test-id-class-military_facility-task-acc,0.5767326951026917
test/test-id-class-multi-unit_residential-task-acc,0.6760563254356384
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.011695906519889832
test/test-id-class-oil_or_gas_facility-task-acc,0.875
test/test-id-class-park-task-acc,0.31578946113586426
test/test-id-class-parking_lot_or_garage-task-acc,0.4117647111415863
test/test-id-class-place_of_worship-task-acc,0.4564564526081085
test/test-id-class-police_station-task-acc,0.11299435049295425
test/test-id-class-port-task-acc,0.6964285969734192
test/test-id-class-prison-task-acc,0.3541666567325592
test/test-id-class-race_track-task-acc,0.8657718300819397
test/test-id-class-railway_bridge-task-acc,0.7272727489471436
test/test-id-class-recreational_facility-task-acc,0.7751677632331848
test/test-id-class-road_bridge-task-acc,0.6633663177490234
test/test-id-class-runway-task-acc,0.8518518805503845
test/test-id-class-shipyard-task-acc,0.2380952388048172
test/test-id-class-shopping_mall-task-acc,0.39534884691238403
test/test-id-class-single-unit_residential-task-acc,0.6798029541969299
test/test-id-class-smokestack-task-acc,0.6244344115257263
