metric,value
test/test-id-class-airport-task-acc,0.0
test/test-id-class-airport_hangar-task-acc,0.642276406288147
test/test-id-class-airport_terminal-task-acc,0.49180328845977783
test/test-id-class-amusement_park-task-acc,0.7664974331855774
test/test-id-class-aquaculture-task-acc,0.8695651888847351
test/test-id-class-archaeological_site-task-acc,0.36666667461395264
test/test-id-class-barn-task-acc,0.6710526347160339
test/test-id-class-border_checkpoint-task-acc,0.0
test/test-id-class-burial_site-task-acc,0.5302013158798218
test/test-id-class-car_dealership-task-acc,0.6470588445663452
test/test-id-class-construction_site-task-acc,0.2857142984867096
test/test-id-class-crop_field-task-acc,0.9422222375869751
test/test-id-class-dam-task-acc,0.6788991093635559
test/test-id-class-debris_or_rubble-task-acc,0.18000000715255737
test/test-id-class-educational_institution-task-acc,0.3350515365600586
test/test-id-class-electric_substation-task-acc,0.09356725215911865
test/test-id-class-factory_or_powerplant-task-acc,0.3298968970775604
test/test-id-class-fire_station-task-acc,0.0625
test/test-id-class-flooded_road-task-acc,0.9268292784690857
test/test-id-class-fountain-task-acc,0.3333333432674408
test/test-id-class-gas_station-task-acc,0.5666666626930237
test/test-id-class-golf_course-task-acc,0.7062937021255493
test/test-id-class-ground_transportation_station-task-acc,0.09459459781646729
test/test-id-class-helipad-task-acc,0.3988095223903656
test/test-id-class-hospital-task-acc,0.5210526585578918
test/test-id-class-impoverished_settlement-task-acc,0.8360655903816223
test/test-id-class-interchange-task-acc,0.8453608155250549
test/test-id-class-lake_or_pond-task-acc,0.15000000596046448
test/test-id-class-lighthouse-task-acc,0.8661417365074158
test/test-id-class-military_facility-task-acc,0.5495049357414246
test/test-id-class-multi-unit_residential-task-acc,0.7690140604972839
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.023391813039779663
test/test-id-class-oil_or_gas_facility-task-acc,0.8482142686843872
test/test-id-class-park-task-acc,0.35338345170021057
test/test-id-class-parking_lot_or_garage-task-acc,0.5085389018058777
test/test-id-class-place_of_worship-task-acc,0.5810810923576355
test/test-id-class-police_station-task-acc,0.07344632595777512
test/test-id-class-port-task-acc,0.75
test/test-id-class-prison-task-acc,0.3472222089767456
test/test-id-class-race_track-task-acc,0.8724831938743591
test/test-id-class-railway_bridge-task-acc,0.6022727489471436
test/test-id-class-recreational_facility-task-acc,0.8232662081718445
test/test-id-class-road_bridge-task-acc,0.8217821717262268
test/test-id-class-runway-task-acc,0.8395061492919922
test/test-id-class-shipyard-task-acc,0.0
test/test-id-class-shopping_mall-task-acc,0.44186046719551086
test/test-id-class-single-unit_residential-task-acc,0.6009852290153503
test/test-id-class-smokestack-task-acc,0.5746606588363647
test/test-id-class-solar_farm-task-acc,0.642276406288147
test/test-id-class-space_facility-task-acc,0.0
test/test-id-class-stadium-task-acc,0.7575757503509521
test/test-id-class-storage_tank-task-acc,0.702479362487793
test/test-id-class-surface_mine-task-acc,0.7976190447807312
test/test-id-class-swimming_pool-task-acc,0.8333333134651184
test/test-id-class-toll_booth-task-acc,0.9111111164093018
test/test-id-class-tower-task-acc,0.5503876209259033
test/test-id-class-tunnel_opening-task-acc,0.9583333134651184
test/test-id-class-waste_disposal-task-acc,0.3561643958091736
test/test-id-class-water_treatment_facility-task-acc,0.673758864402771
test/test-id-class-wind_farm-task-acc,0.9285714030265808
test/test-id-class-zoo-task-acc,0.1458333283662796
test/test-id-hr-ablated-task-acc,0.24154675006866455
test/test-id-hr-ablated-worst-group-task-acc,0.18913738429546356
test/test-id-hr-domain-acc,0.688884973526001
test/test-id-hr-domain-acc-africa,0.2918660342693329
test/test-id-hr-domain-acc-americas,0.6370607018470764
test/test-id-hr-domain-acc-asia,0.6405353546142578
test/test-id-hr-domain-acc-europe,0.7908737659454346
test/test-id-hr-domain-acc-oceania,0.0
test/test-id-lr-ablated-task-acc,0.5055177807807922
test/test-id-lr-ablated-worst-group-task-acc,0.4678899049758911
test/test-id-lr-domain-acc,0.9781054258346558
