metric,value
test/test-id-class-airport-task-acc,0.47826087474823
test/test-id-class-airport_hangar-task-acc,0.6504064798355103
test/test-id-class-airport_terminal-task-acc,0.2540983557701111
test/test-id-class-amusement_park-task-acc,0.700507640838623
test/test-id-class-aquaculture-task-acc,0.8260869383811951
test/test-id-class-archaeological_site-task-acc,0.25555557012557983
test/test-id-class-barn-task-acc,0.35087719559669495
test/test-id-class-border_checkpoint-task-acc,0.125
test/test-id-class-burial_site-task-acc,0.34899330139160156
test/test-id-class-car_dealership-task-acc,0.47058823704719543
test/test-id-class-construction_site-task-acc,0.0535714291036129
test/test-id-class-crop_field-task-acc,0.8118518590927124
test/test-id-class-dam-task-acc,0.5137614607810974
test/test-id-class-debris_or_rubble-task-acc,0.14000000059604645
test/test-id-class-educational_institution-task-acc,0.42525774240493774
test/test-id-class-electric_substation-task-acc,0.46783626079559326
test/test-id-class-factory_or_powerplant-task-acc,0.12371134012937546
test/test-id-class-fire_station-task-acc,0.10227272659540176
test/test-id-class-flooded_road-task-acc,0.2195121943950653
test/test-id-class-fountain-task-acc,0.28502416610717773
test/test-id-class-gas_station-task-acc,0.3047619163990021
test/test-id-class-golf_course-task-acc,0.5524475574493408
test/test-id-class-ground_transportation_station-task-acc,0.6013513803482056
test/test-id-class-helipad-task-acc,0.184523805975914
test/test-id-class-hospital-task-acc,0.33157894015312195
test/test-id-class-impoverished_settlement-task-acc,0.6065573692321777
test/test-id-class-interchange-task-acc,0.7422680258750916
test/test-id-class-lake_or_pond-task-acc,0.05000000074505806
test/test-id-class-lighthouse-task-acc,0.4803149700164795
test/test-id-class-military_facility-task-acc,0.24752475321292877
test/test-id-class-multi-unit_residential-task-acc,0.2732394337654114
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.1111111119389534
test/test-id-class-oil_or_gas_facility-task-acc,0.4821428656578064
test/test-id-class-park-task-acc,0.35338345170021057
test/test-id-class-parking_lot_or_garage-task-acc,0.26944971084594727
test/test-id-class-place_of_worship-task-acc,0.40840840339660645
test/test-id-class-police_station-task-acc,0.06214689090847969
test/test-id-class-port-task-acc,0.25
test/test-id-class-prison-task-acc,0.3333333432674408
test/test-id-class-race_track-task-acc,0.7651006579399109
test/test-id-class-railway_bridge-task-acc,0.3693181872367859
test/test-id-class-recreational_facility-task-acc,0.7740492224693298
test/test-id-class-road_bridge-task-acc,0.7029703259468079
test/test-id-class-runway-task-acc,0.7037037014961243
test/test-id-class-shipyard-task-acc,0.190476194024086
test/test-id-class-shopping_mall-task-acc,0.26744186878204346
test/test-id-class-single-unit_residential-task-acc,0.6502463221549988
test/test-id-class-smokestack-task-acc,0.39819005131721497
test/test-id-class-solar_farm-task-acc,0.5934959053993225
test/test-id-class-space_facility-task-acc,0.1666666716337204
test/test-id-class-stadium-task-acc,0.6727272868156433
test/test-id-class-storage_tank-task-acc,0.5123966932296753
test/test-id-class-surface_mine-task-acc,0.5535714030265808
test/test-id-class-swimming_pool-task-acc,0.7111111283302307
test/test-id-class-toll_booth-task-acc,0.6592592597007751
test/test-id-class-tower-task-acc,0.40697672963142395
test/test-id-class-tunnel_opening-task-acc,0.4345238208770752
test/test-id-class-waste_disposal-task-acc,0.2945205569267273
test/test-id-class-water_treatment_facility-task-acc,0.6666666865348816
test/test-id-class-wind_farm-task-acc,0.8367347121238708
test/test-id-class-zoo-task-acc,0.0625
test/test-id-hr-domain-acc,0.6072216629981995
test/test-id-hr-domain-acc-africa,0.21052631735801697
test/test-id-hr-domain-acc-americas,0.5709265470504761
test/test-id-hr-domain-acc-asia,0.45621415972709656
test/test-id-hr-domain-acc-europe,0.747961163520813
test/test-id-hr-domain-acc-oceania,0.00917431153357029
test/test-id-region-africa-class-airport-task-acc,0.6666666865348816
test/test-id-region-africa-class-airport_hangar-task-acc,0.6666666865348816
test/test-id-region-africa-class-airport_terminal-task-acc,0.0
test/test-id-region-africa-class-amusement_park-task-acc,0.3333333432674408
test/test-id-region-africa-class-archaeological_site-task-acc,0.5
test/test-id-region-africa-class-border_checkpoint-task-acc,0.0
test/test-id-region-africa-class-crop_field-task-acc,0.5
test/test-id-region-africa-class-dam-task-acc,0.4545454680919647
test/test-id-region-africa-class-educational_institution-task-acc,0.0
test/test-id-region-africa-class-electric_substation-task-acc,0.6666666865348816
test/test-id-region-africa-class-factory_or_powerplant-task-acc,0.0
test/test-id-region-africa-class-flooded_road-task-acc,0.0
test/test-id-region-africa-class-fountain-task-acc,0.25
test/test-id-region-africa-class-ground_transportation_station-task-acc,0.75
test/test-id-region-africa-class-helipad-task-acc,0.0
test/test-id-region-africa-class-hospital-task-acc,0.0
test/test-id-region-africa-class-interchange-task-acc,0.0
test/test-id-region-africa-class-military_facility-task-acc,0.0
test/test-id-region-africa-class-multi-unit_residential-task-acc,0.0
test/test-id-region-africa-class-office_building-task-acc,0.0
test/test-id-region-africa-class-parking_lot_or_garage-task-acc,0.5
test/test-id-region-africa-class-place_of_worship-task-acc,0.9259259104728699
test/test-id-region-africa-class-police_station-task-acc,0.0
test/test-id-region-africa-class-port-task-acc,0.0
test/test-id-region-africa-class-prison-task-acc,0.0
test/test-id-region-africa-class-recreational_facility-task-acc,1.0
test/test-id-region-africa-class-runway-task-acc,0.5
test/test-id-region-africa-class-single-unit_residential-task-acc,0.4285714328289032
test/test-id-region-africa-class-stadium-task-acc,1.0
test/test-id-region-africa-class-surface_mine-task-acc,0.0
test/test-id-region-africa-class-swimming_pool-task-acc,0.1666666716337204
test/test-id-region-africa-class-toll_booth-task-acc,1.0
test/test-id-region-africa-class-tower-task-acc,0.6000000238418579
test/test-id-region-africa-class-wind_farm-task-acc,0.0
test/test-id-region-africa-task-acc,0.5933014154434204
test/test-id-region-africa-task-loss,1.6503546237945557
test/test-id-region-africa-top5-task-acc,0.779904305934906
test/test-id-region-americas-class-airport-task-acc,0.3333333432674408
test/test-id-region-americas-class-airport_hangar-task-acc,0.7361111044883728
test/test-id-region-americas-class-airport_terminal-task-acc,0.3333333432674408
test/test-id-region-americas-class-amusement_park-task-acc,0.35483869910240173
test/test-id-region-americas-class-aquaculture-task-acc,0.9523809552192688
test/test-id-region-americas-class-archaeological_site-task-acc,0.0
test/test-id-region-americas-class-barn-task-acc,0.15625
test/test-id-region-americas-class-burial_site-task-acc,0.2222222238779068
test/test-id-region-americas-class-car_dealership-task-acc,0.5633803009986877
test/test-id-region-americas-class-construction_site-task-acc,0.0
test/test-id-region-americas-class-crop_field-task-acc,0.6363636255264282
test/test-id-region-americas-class-dam-task-acc,0.4833333194255829
test/test-id-region-americas-class-debris_or_rubble-task-acc,0.10000000149011612
test/test-id-region-americas-class-educational_institution-task-acc,0.41916167736053467
test/test-id-region-americas-class-electric_substation-task-acc,0.3692307770252228
test/test-id-region-americas-class-factory_or_powerplant-task-acc,0.11999999731779099
test/test-id-region-americas-class-fire_station-task-acc,0.1320754736661911
test/test-id-region-americas-class-flooded_road-task-acc,0.11538461595773697
test/test-id-region-americas-class-fountain-task-acc,0.4000000059604645
test/test-id-region-americas-class-gas_station-task-acc,0.3333333432674408
test/test-id-region-americas-class-golf_course-task-acc,0.5696202516555786
test/test-id-region-americas-class-ground_transportation_station-task-acc,0.7068965435028076
test/test-id-region-americas-class-helipad-task-acc,0.19354838132858276
