epoch,lr-Adam,lr-Adam-1,lr-Adam-2,step,test/test-id-hr-domain-acc,test/test-id-hr-domain-acc-africa,test/test-id-hr-domain-acc-americas,test/test-id-hr-domain-acc-asia,test/test-id-hr-domain-acc-europe,test/test-id-hr-domain-acc-oceania,test/test-id-lr-domain-acc,test/test-id-lr-domain-acc-africa,test/test-id-lr-domain-acc-americas,test/test-id-lr-domain-acc-asia,test/test-id-lr-domain-acc-europe,test/test-id-lr-domain-acc-oceania,test/test-id-region-africa-task-acc,test/test-id-region-africa-task-loss,test/test-id-region-americas-task-acc,test/test-id-region-americas-task-loss,test/test-id-region-asia-task-acc,test/test-id-region-asia-task-loss,test/test-id-region-europe-task-acc,test/test-id-region-europe-task-loss,test/test-id-region-oceania-task-acc,test/test-id-region-oceania-task-loss,test/test-id-task-acc,test/test-id-task-ece,test/test-id-task-entropy-correct,test/test-id-task-entropy-incorrect,test/test-id-task-loss,test/test-id-worst-group-task-acc,test/test-od-hr-domain-acc,test/test-od-hr-domain-acc-africa,test/test-od-hr-domain-acc-americas,test/test-od-hr-domain-acc-asia,test/test-od-hr-domain-acc-europe,test/test-od-hr-domain-acc-oceania,test/test-od-lr-domain-acc,test/test-od-lr-domain-acc-africa,test/test-od-lr-domain-acc-americas,test/test-od-lr-domain-acc-asia,test/test-od-lr-domain-acc-europe,test/test-od-lr-domain-acc-oceania,test/test-od-region-africa-task-acc,test/test-od-region-africa-task-loss,test/test-od-region-americas-task-acc,test/test-od-region-americas-task-loss,test/test-od-region-asia-task-acc,test/test-od-region-asia-task-loss,test/test-od-region-europe-task-acc,test/test-od-region-europe-task-loss,test/test-od-region-oceania-task-acc,test/test-od-region-oceania-task-loss,test/test-od-task-acc,test/test-od-task-ece,test/test-od-task-entropy-correct,test/test-od-task-entropy-incorrect,test/test-od-task-loss,test/test-od-worst-group-task-acc,train/train-hr-domain-acc,train/train-hr-domain-acc-africa,train/train-hr-domain-acc-americas,train/train-hr-domain-acc-asia,train/train-hr-domain-acc-europe,train/train-hr-domain-acc-oceania,train/train-hr-domain-acc-other,train/train-hr-domain-loss,train/train-lr-domain-acc,train/train-lr-domain-acc-africa,train/train-lr-domain-acc-americas,train/train-lr-domain-acc-asia,train/train-lr-domain-acc-europe,train/train-lr-domain-acc-oceania,train/train-lr-domain-acc-other,train/train-lr-domain-loss,train/train-task-acc,train/train-task-loss,val/val-id-hr-domain-acc,val/val-id-hr-domain-acc-africa,val/val-id-hr-domain-acc-americas,val/val-id-hr-domain-acc-asia,val/val-id-hr-domain-acc-europe,val/val-id-hr-domain-acc-oceania,val/val-id-lr-domain-acc,val/val-id-lr-domain-acc-africa,val/val-id-lr-domain-acc-americas,val/val-id-lr-domain-acc-asia,val/val-id-lr-domain-acc-europe,val/val-id-lr-domain-acc-oceania,val/val-id-region-africa-task-acc,val/val-id-region-africa-task-loss,val/val-id-region-americas-task-acc,val/val-id-region-americas-task-loss,val/val-id-region-asia-task-acc,val/val-id-region-asia-task-loss,val/val-id-region-europe-task-acc,val/val-id-region-europe-task-loss,val/val-id-region-oceania-task-acc,val/val-id-region-oceania-task-loss,val/val-id-task-acc,val/val-id-task-ece,val/val-id-task-entropy-correct,val/val-id-task-entropy-incorrect,val/val-id-task-loss,val/val-id-worst-group-task-acc,val/val-od-hr-domain-acc,val/val-od-hr-domain-acc-africa,val/val-od-hr-domain-acc-americas,val/val-od-hr-domain-acc-asia,val/val-od-hr-domain-acc-europe,val/val-od-hr-domain-acc-oceania,val/val-od-lr-domain-acc,val/val-od-lr-domain-acc-africa,val/val-od-lr-domain-acc-americas,val/val-od-lr-domain-acc-asia,val/val-od-lr-domain-acc-europe,val/val-od-lr-domain-acc-oceania,val/val-od-region-africa-task-acc,val/val-od-region-africa-task-loss,val/val-od-region-americas-task-acc,val/val-od-region-americas-task-loss,val/val-od-region-asia-task-acc,val/val-od-region-asia-task-loss,val/val-od-region-europe-task-acc,val/val-od-region-europe-task-loss,val/val-od-region-oceania-task-acc,val/val-od-region-oceania-task-loss,val/val-od-task-acc,val/val-od-task-ece,val/val-od-task-entropy-correct,val/val-od-task-entropy-incorrect,val/val-od-task-loss,val/val-od-worst-group-task-acc
,2e-05,1e-05,1e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49934685230255127,0.0,0.24707412719726562,0.12959524989128113,0.8779422640800476,0.0,0.9748323559761047,0.23157894611358643,1.0,0.9844040274620056,0.9969627857208252,0.6812748908996582,0.4894736707210541,2.0809519290924072,0.38849154114723206,2.348661184310913,0.2788711488246918,2.891775608062744,0.3198557198047638,2.6256229877471924,0.48605579137802124,2.3091745376586914,0.3352782428264618,0.08582331240177155,1.6375809907913208,2.5729598999023438,2.6037240028381348,0.2788711488246918,0.4540296196937561,0.0,0.25388601422309875,0.14268381893634796,0.8779099583625793,0.0,0.9504895806312561,0.30884185433387756,1.0,0.9961174726486206,0.9627522230148315,0.822510838508606,0.2602739632129669,2.720005512237549,0.3497409224510193,2.516988754272461,0.27080807089805603,2.848176956176758,0.3658820390701294,2.428856372833252,0.37662336230278015,2.4573721885681152,0.336931973695755,0.07193467766046524,1.6296039819717407,2.6434552669525146,2.5581419467926025,0.2602739632129669
0,,,,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4379480481147766,0.0139064472168684,0.18566729128360748,0.06805548071861267,0.8195657134056091,0.0,0.0,1.3222523927688599,0.9528902173042297,0.35145387053489685,0.9741095900535583,0.9559773206710815,0.9783145785331726,0.7129799127578735,0.0,0.24001817405223846,0.24092215299606323,3.100512742996216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,1e-05,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.552730143070221,0.0,0.3953185975551605,0.243223175406456,0.8496583104133606,0.0,0.979970395565033,0.2789473831653595,1.0,0.9847753643989563,0.9971526265144348,0.8725099563598633,0.5894736647605896,1.7876513004302979,0.5198309421539307,1.7534350156784058,0.33419978618621826,2.5930778980255127,0.41552770137786865,2.237097978591919,0.5776892304420471,1.6416549682617188,0.4309849441051483,0.08520781993865967,1.2970013618469238,2.155003786087036,2.176974058151245,0.33419978618621826,0.5015314817428589,0.0,0.3613227605819702,0.2761465609073639,0.8379461765289307,0.0,0.9555109143257141,0.3374844193458557,1.0,0.995389461517334,0.9636574983596802,0.9278499484062195,0.35118305683135986,2.4181652069091797,0.4710454046726227,1.986839771270752,0.33050230145454407,2.6013126373291016,0.46081221103668213,2.057748556137085,0.4978354871273041,1.7823171615600586,0.4340949058532715,0.07960372418165207,1.2789254188537598,2.192424774169922,2.1523597240448,0.33050230145454407
1,,,,1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4844268262386322,0.0069532236084342,0.25666332244873047,0.1373462826013565,0.8442813754081726,0.0,0.0,1.1160451173782349,0.9701937437057495,0.525284469127655,0.9864349365234375,0.9722331166267395,0.987175464630127,0.833942711353302,0.0,0.06797606498003006,0.44437506794929504,2.0923287868499756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,1e-05,1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,2882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5837324857711792,0.0,0.44895967841148376,0.3186037838459015,0.8473803997039795,0.0,0.9829313158988953,0.30000001192092896,1.0,0.9844040274620056,0.9973424673080444,0.9920318722724915,0.6263157725334167,1.592645525932312,0.5575422644615173,1.5792440176010132,0.3453397750854492,2.7477619647979736,0.47722095251083374,1.9960657358169556,0.6454183459281921,1.38897705078125,0.47391796112060547,0.10867106169462204,1.0605900287628174,1.8825442790985107,2.0464284420013428,0.3453397750854492,0.5275420546531677,0.0,0.3914965093135834,0.3584081530570984,0.8354888558387756,0.0,0.9612854719161987,0.4420921504497528,1.0,0.9951468110084534,0.9635282158851624,0.9754689931869507,0.37359899282455444,2.310380458831787,0.5060957074165344,1.8292144536972046,0.324435830116272,2.7346627712249756,0.5178478956222534,1.8535404205322266,0.5670995712280273,1.5755850076675415,0.46984684467315674,0.11017416417598724,1.055090069770813,1.9097681045532227,2.0369274616241455,0.324435830116272
2,,,,2882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5104233026504517,0.004635482560843229,0.30270665884017944,0.18808841705322266,0.8480870723724365,0.0,0.0,1.0567845106124878,0.9764342904090881,0.5996628999710083,0.9907023310661316,0.9779137969017029,0.9900811910629272,0.8767011761665344,0.0,0.05184518173336983,0.5374367237091064,1.6966344118118286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,1e-05,2883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
