metric,value
test/test-id-class-airport-task-acc,0.08695652335882187
test/test-id-class-airport_hangar-task-acc,0.2601625919342041
test/test-id-class-airport_terminal-task-acc,0.1147540956735611
test/test-id-class-amusement_park-task-acc,0.6649746298789978
test/test-id-class-aquaculture-task-acc,0.695652186870575
test/test-id-class-archaeological_site-task-acc,0.4888888895511627
test/test-id-class-barn-task-acc,0.2763157784938812
test/test-id-class-border_checkpoint-task-acc,0.0625
test/test-id-class-burial_site-task-acc,0.4563758373260498
test/test-id-class-car_dealership-task-acc,0.3014705777168274
test/test-id-class-construction_site-task-acc,0.0892857164144516
test/test-id-class-crop_field-task-acc,0.7955555319786072
test/test-id-class-dam-task-acc,0.4678899049758911
test/test-id-class-debris_or_rubble-task-acc,0.07999999821186066
test/test-id-class-educational_institution-task-acc,0.1340206116437912
test/test-id-class-electric_substation-task-acc,0.35672515630722046
test/test-id-class-factory_or_powerplant-task-acc,0.1855670064687729
test/test-id-class-fire_station-task-acc,0.06818182021379471
test/test-id-class-flooded_road-task-acc,0.0731707289814949
test/test-id-class-fountain-task-acc,0.25120773911476135
test/test-id-class-gas_station-task-acc,0.2857142984867096
test/test-id-class-golf_course-task-acc,0.6293706297874451
test/test-id-class-ground_transportation_station-task-acc,0.38513514399528503
test/test-id-class-helipad-task-acc,0.1011904776096344
test/test-id-class-hospital-task-acc,0.057894736528396606
test/test-id-class-impoverished_settlement-task-acc,0.21311475336551666
test/test-id-class-interchange-task-acc,0.8453608155250549
test/test-id-class-lake_or_pond-task-acc,0.0
test/test-id-class-lighthouse-task-acc,0.7322834730148315
test/test-id-class-military_facility-task-acc,0.23019802570343018
test/test-id-class-multi-unit_residential-task-acc,0.18028168380260468
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.035087719559669495
test/test-id-class-oil_or_gas_facility-task-acc,0.3571428656578064
test/test-id-class-park-task-acc,0.23308271169662476
test/test-id-class-parking_lot_or_garage-task-acc,0.2125237137079239
test/test-id-class-place_of_worship-task-acc,0.5
test/test-id-class-police_station-task-acc,0.05649717524647713
test/test-id-class-port-task-acc,0.1607142835855484
test/test-id-class-prison-task-acc,0.3402777910232544
test/test-id-class-race_track-task-acc,0.718120813369751
test/test-id-class-railway_bridge-task-acc,0.4261363744735718
test/test-id-class-recreational_facility-task-acc,0.6789709329605103
test/test-id-class-road_bridge-task-acc,0.7128713130950928
test/test-id-class-runway-task-acc,0.5555555820465088
test/test-id-class-shipyard-task-acc,0.1428571492433548
test/test-id-class-shopping_mall-task-acc,0.13565891981124878
test/test-id-class-single-unit_residential-task-acc,0.6256157755851746
test/test-id-class-smokestack-task-acc,0.2579185664653778
test/test-id-class-solar_farm-task-acc,0.4878048896789551
test/test-id-class-space_facility-task-acc,0.0
test/test-id-class-stadium-task-acc,0.6121212244033813
test/test-id-class-storage_tank-task-acc,0.5371900796890259
test/test-id-class-surface_mine-task-acc,0.3154761791229248
test/test-id-class-swimming_pool-task-acc,0.7222222089767456
test/test-id-class-toll_booth-task-acc,0.5703703761100769
test/test-id-class-tower-task-acc,0.302325576543808
test/test-id-class-tunnel_opening-task-acc,0.5535714030265808
test/test-id-class-waste_disposal-task-acc,0.15068493783473969
test/test-id-class-water_treatment_facility-task-acc,0.5815602540969849
test/test-id-class-wind_farm-task-acc,0.6122449040412903
test/test-id-class-zoo-task-acc,0.1666666716337204
test/test-id-hr-domain-acc,0.5875341892242432
test/test-id-hr-domain-acc-africa,0.3014354109764099
test/test-id-hr-domain-acc-americas,0.5527156591415405
test/test-id-hr-domain-acc-asia,0.6275334358215332
test/test-id-hr-domain-acc-europe,0.6174757480621338
test/test-id-hr-domain-acc-oceania,0.18807339668273926
test/test-id-region-africa-class-airport-task-acc,0.0
test/test-id-region-africa-class-airport_hangar-task-acc,0.0
test/test-id-region-africa-class-airport_terminal-task-acc,0.3333333432674408
test/test-id-region-africa-class-amusement_park-task-acc,1.0
test/test-id-region-africa-class-archaeological_site-task-acc,0.5
test/test-id-region-africa-class-border_checkpoint-task-acc,0.0
test/test-id-region-africa-class-crop_field-task-acc,0.4285714328289032
test/test-id-region-africa-class-dam-task-acc,0.5454545617103577
test/test-id-region-africa-class-educational_institution-task-acc,0.0
test/test-id-region-africa-class-electric_substation-task-acc,0.3333333432674408
test/test-id-region-africa-class-factory_or_powerplant-task-acc,0.0
test/test-id-region-africa-class-flooded_road-task-acc,0.0
test/test-id-region-africa-class-fountain-task-acc,0.25
test/test-id-region-africa-class-ground_transportation_station-task-acc,0.25
test/test-id-region-africa-class-helipad-task-acc,0.0
test/test-id-region-africa-class-hospital-task-acc,0.0
test/test-id-region-africa-class-interchange-task-acc,0.0
test/test-id-region-africa-class-military_facility-task-acc,0.0
test/test-id-region-africa-class-multi-unit_residential-task-acc,0.0
test/test-id-region-africa-class-office_building-task-acc,0.0
test/test-id-region-africa-class-parking_lot_or_garage-task-acc,0.6666666865348816
test/test-id-region-africa-class-place_of_worship-task-acc,0.8765432238578796
test/test-id-region-africa-class-police_station-task-acc,0.0
test/test-id-region-africa-class-port-task-acc,0.0
test/test-id-region-africa-class-prison-task-acc,0.0
test/test-id-region-africa-class-recreational_facility-task-acc,0.6666666865348816
test/test-id-region-africa-class-runway-task-acc,0.0
test/test-id-region-africa-class-single-unit_residential-task-acc,0.4285714328289032
test/test-id-region-africa-class-stadium-task-acc,0.75
test/test-id-region-africa-class-surface_mine-task-acc,0.3333333432674408
test/test-id-region-africa-class-swimming_pool-task-acc,0.6666666865348816
