metric,value
test/test-id-class-airport-task-acc,0.3913043439388275
test/test-id-class-airport_hangar-task-acc,0.5853658318519592
test/test-id-class-airport_terminal-task-acc,0.4344262182712555
test/test-id-class-amusement_park-task-acc,0.807106614112854
test/test-id-class-aquaculture-task-acc,0.804347813129425
test/test-id-class-archaeological_site-task-acc,0.3444444537162781
test/test-id-class-barn-task-acc,0.6491228342056274
test/test-id-class-border_checkpoint-task-acc,0.0
test/test-id-class-burial_site-task-acc,0.5436241626739502
test/test-id-class-car_dealership-task-acc,0.6176470518112183
test/test-id-class-construction_site-task-acc,0.1339285671710968
test/test-id-class-crop_field-task-acc,0.9185185432434082
test/test-id-class-dam-task-acc,0.6330274939537048
test/test-id-class-debris_or_rubble-task-acc,0.10000000149011612
test/test-id-class-educational_institution-task-acc,0.3170103132724762
test/test-id-class-electric_substation-task-acc,0.5087719559669495
test/test-id-class-factory_or_powerplant-task-acc,0.25773194432258606
test/test-id-class-fire_station-task-acc,0.15909090638160706
test/test-id-class-flooded_road-task-acc,0.25609755516052246
test/test-id-class-fountain-task-acc,0.3671497702598572
test/test-id-class-gas_station-task-acc,0.44285714626312256
test/test-id-class-golf_course-task-acc,0.748251736164093
test/test-id-class-ground_transportation_station-task-acc,0.44594594836235046
test/test-id-class-helipad-task-acc,0.3154761791229248
test/test-id-class-hospital-task-acc,0.30000001192092896
test/test-id-class-impoverished_settlement-task-acc,0.7377049326896667
test/test-id-class-interchange-task-acc,0.8659793734550476
test/test-id-class-lake_or_pond-task-acc,0.05000000074505806
test/test-id-class-lighthouse-task-acc,0.834645688533783
test/test-id-class-military_facility-task-acc,0.4455445408821106
test/test-id-class-multi-unit_residential-task-acc,0.5239436626434326
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.04093567281961441
test/test-id-class-oil_or_gas_facility-task-acc,0.7053571343421936
test/test-id-class-park-task-acc,0.2857142984867096
test/test-id-class-parking_lot_or_garage-task-acc,0.41745731234550476
test/test-id-class-place_of_worship-task-acc,0.49699699878692627
test/test-id-class-police_station-task-acc,0.0903954803943634
test/test-id-class-port-task-acc,0.7857142686843872
test/test-id-class-prison-task-acc,0.3055555522441864
test/test-id-class-race_track-task-acc,0.8590604066848755
test/test-id-class-railway_bridge-task-acc,0.6647727489471436
test/test-id-class-recreational_facility-task-acc,0.790827751159668
test/test-id-class-road_bridge-task-acc,0.6930692791938782
test/test-id-class-runway-task-acc,0.8765432238578796
test/test-id-class-shipyard-task-acc,0.0
test/test-id-class-shopping_mall-task-acc,0.45348837971687317
test/test-id-class-single-unit_residential-task-acc,0.5517241358757019
test/test-id-class-smokestack-task-acc,0.5972850918769836
test/test-id-class-solar_farm-task-acc,0.6341463327407837
test/test-id-class-space_facility-task-acc,0.0
test/test-id-class-stadium-task-acc,0.8606060743331909
test/test-id-class-storage_tank-task-acc,0.6694214940071106
