metric,value
test/test-id-class-airport-task-acc,0.47826087474823
test/test-id-class-airport_hangar-task-acc,0.6260162591934204
test/test-id-class-airport_terminal-task-acc,0.5573770403862
test/test-id-class-amusement_park-task-acc,0.8223350048065186
test/test-id-class-aquaculture-task-acc,0.9347826242446899
test/test-id-class-archaeological_site-task-acc,0.4555555582046509
test/test-id-class-barn-task-acc,0.6184210777282715
test/test-id-class-border_checkpoint-task-acc,0.25
test/test-id-class-burial_site-task-acc,0.463087260723114
test/test-id-class-car_dealership-task-acc,0.5441176295280457
test/test-id-class-construction_site-task-acc,0.1428571492433548
test/test-id-class-crop_field-task-acc,0.9111111164093018
test/test-id-class-dam-task-acc,0.7981651425361633
test/test-id-class-debris_or_rubble-task-acc,0.25999999046325684
test/test-id-class-educational_institution-task-acc,0.27835050225257874
test/test-id-class-electric_substation-task-acc,0.5321637392044067
test/test-id-class-factory_or_powerplant-task-acc,0.3711340129375458
test/test-id-class-fire_station-task-acc,0.21022726595401764
test/test-id-class-flooded_road-task-acc,0.9512194991111755
test/test-id-class-fountain-task-acc,0.40096619725227356
test/test-id-class-gas_station-task-acc,0.6428571343421936
test/test-id-class-golf_course-task-acc,0.692307710647583
test/test-id-class-ground_transportation_station-task-acc,0.5506756901741028
test/test-id-class-helipad-task-acc,0.386904776096344
test/test-id-class-hospital-task-acc,0.3526315689086914
test/test-id-class-impoverished_settlement-task-acc,0.868852436542511
test/test-id-class-interchange-task-acc,0.8350515365600586
test/test-id-class-lake_or_pond-task-acc,0.2750000059604645
test/test-id-class-lighthouse-task-acc,0.834645688533783
test/test-id-class-military_facility-task-acc,0.48514851927757263
test/test-id-class-multi-unit_residential-task-acc,0.7126760482788086
test/test-id-class-nuclear_powerplant-task-acc,1.0
test/test-id-class-office_building-task-acc,0.19883041083812714
test/test-id-class-oil_or_gas_facility-task-acc,0.8928571343421936
test/test-id-class-park-task-acc,0.3308270573616028
test/test-id-class-parking_lot_or_garage-task-acc,0.4250474274158478
test/test-id-class-place_of_worship-task-acc,0.6051051020622253
test/test-id-class-police_station-task-acc,0.1525423675775528
test/test-id-class-port-task-acc,0.625
test/test-id-class-prison-task-acc,0.3263888955116272
test/test-id-class-race_track-task-acc,0.8859060406684875
test/test-id-class-railway_bridge-task-acc,0.625
test/test-id-class-recreational_facility-task-acc,0.7829977869987488
test/test-id-class-road_bridge-task-acc,0.8217821717262268
test/test-id-class-runway-task-acc,0.8518518805503845
test/test-id-class-shipyard-task-acc,0.523809552192688
test/test-id-class-shopping_mall-task-acc,0.44573643803596497
test/test-id-class-single-unit_residential-task-acc,0.6206896305084229
test/test-id-class-smokestack-task-acc,0.5610859990119934
test/test-id-class-solar_farm-task-acc,0.7154471278190613
test/test-id-class-space_facility-task-acc,0.8333333134651184
test/test-id-class-stadium-task-acc,0.7272727489471436
test/test-id-class-storage_tank-task-acc,0.64462810754776
test/test-id-class-surface_mine-task-acc,0.8273809552192688
test/test-id-class-swimming_pool-task-acc,0.800000011920929
test/test-id-class-toll_booth-task-acc,0.8518518805503845
test/test-id-class-tower-task-acc,0.5038759708404541
test/test-id-class-tunnel_opening-task-acc,0.8452380895614624
test/test-id-class-waste_disposal-task-acc,0.3835616409778595
test/test-id-class-water_treatment_facility-task-acc,0.695035457611084
test/test-id-class-wind_farm-task-acc,0.9489796161651611
test/test-id-class-zoo-task-acc,0.25
test/test-id-hr-ablated-task-acc,0.21267767250537872
test/test-id-hr-ablated-worst-group-task-acc,0.18722045421600342
test/test-id-hr-domain-acc,0.7325858473777771
test/test-id-hr-domain-acc-africa,0.30622008442878723
test/test-id-hr-domain-acc-americas,0.7108626365661621
test/test-id-hr-domain-acc-asia,0.686806857585907
test/test-id-hr-domain-acc-europe,0.8120388388633728
test/test-id-hr-domain-acc-oceania,0.14220184087753296
test/test-id-lr-ablated-task-acc,0.030811335891485214
test/test-id-lr-ablated-worst-group-task-acc,0.009569377638399601
test/test-id-lr-domain-acc,0.9890527129173279
test/test-id-lr-domain-acc-africa,0.9330143332481384
test/test-id-lr-domain-acc-americas,0.9824281334877014
test/test-id-lr-domain-acc-asia,0.990439772605896
test/test-id-lr-domain-acc-europe,0.9966990351676941
test/test-id-lr-domain-acc-oceania,0.9587156176567078
test/test-id-region-africa-class-airport-task-acc,0.5
test/test-id-region-africa-class-airport_hangar-task-acc,1.0
test/test-id-region-africa-class-airport_terminal-task-acc,1.0
test/test-id-region-africa-class-amusement_park-task-acc,0.3333333432674408
test/test-id-region-africa-class-archaeological_site-task-acc,0.0
test/test-id-region-africa-class-border_checkpoint-task-acc,1.0
test/test-id-region-africa-class-crop_field-task-acc,0.9285714030265808
test/test-id-region-africa-class-dam-task-acc,0.8181818127632141
test/test-id-region-africa-class-educational_institution-task-acc,0.5
test/test-id-region-africa-class-electric_substation-task-acc,0.3333333432674408
test/test-id-region-africa-class-factory_or_powerplant-task-acc,1.0
test/test-id-region-africa-class-flooded_road-task-acc,1.0
test/test-id-region-africa-class-fountain-task-acc,0.5
test/test-id-region-africa-class-ground_transportation_station-task-acc,0.5
test/test-id-region-africa-class-helipad-task-acc,0.0
test/test-id-region-africa-class-hospital-task-acc,1.0
test/test-id-region-africa-class-interchange-task-acc,1.0
test/test-id-region-africa-class-military_facility-task-acc,0.0
test/test-id-region-africa-class-multi-unit_residential-task-acc,0.5
test/test-id-region-africa-class-office_building-task-acc,0.0
test/test-id-region-africa-class-parking_lot_or_garage-task-acc,1.0
test/test-id-region-africa-class-place_of_worship-task-acc,0.9259259104728699
test/test-id-region-africa-class-police_station-task-acc,0.0
test/test-id-region-africa-class-port-task-acc,1.0
test/test-id-region-africa-class-prison-task-acc,0.5
test/test-id-region-africa-class-recreational_facility-task-acc,0.6666666865348816
test/test-id-region-africa-class-runway-task-acc,1.0
test/test-id-region-africa-class-single-unit_residential-task-acc,0.4285714328289032
test/test-id-region-africa-class-stadium-task-acc,1.0
test/test-id-region-africa-class-surface_mine-task-acc,0.5
test/test-id-region-africa-class-swimming_pool-task-acc,0.3333333432674408
test/test-id-region-africa-class-toll_booth-task-acc,1.0
test/test-id-region-africa-class-tower-task-acc,0.699999988079071
test/test-id-region-africa-class-wind_farm-task-acc,1.0
test/test-id-region-africa-hr-ablated-task-acc,0.42583730816841125
test/test-id-region-africa-lr-ablated-task-acc,0.009569377638399601
test/test-id-region-africa-task-acc,0.7703348994255066
test/test-id-region-africa-task-loss,1.8515329360961914
test/test-id-region-africa-top5-task-acc,0.89952152967453
test/test-id-region-americas-class-airport-task-acc,0.6666666865348816
test/test-id-region-americas-class-airport_hangar-task-acc,0.7083333134651184
test/test-id-region-americas-class-airport_terminal-task-acc,0.7222222089767456
test/test-id-region-americas-class-amusement_park-task-acc,0.7419354915618896
test/test-id-region-americas-class-aquaculture-task-acc,1.0
test/test-id-region-americas-class-archaeological_site-task-acc,0.5
test/test-id-region-americas-class-barn-task-acc,0.3125
test/test-id-region-americas-class-burial_site-task-acc,0.4444444477558136
test/test-id-region-americas-class-car_dealership-task-acc,0.591549277305603
test/test-id-region-americas-class-construction_site-task-acc,0.0
test/test-id-region-americas-class-crop_field-task-acc,0.7272727489471436
test/test-id-region-americas-class-dam-task-acc,0.8333333134651184
test/test-id-region-americas-class-debris_or_rubble-task-acc,0.4000000059604645
test/test-id-region-americas-class-educational_institution-task-acc,0.2934131622314453
test/test-id-region-americas-class-electric_substation-task-acc,0.5384615659713745
test/test-id-region-americas-class-factory_or_powerplant-task-acc,0.2800000011920929
test/test-id-region-americas-class-fire_station-task-acc,0.15094339847564697
test/test-id-region-americas-class-flooded_road-task-acc,0.8461538553237915
test/test-id-region-americas-class-fountain-task-acc,0.46666666865348816
test/test-id-region-americas-class-gas_station-task-acc,0.7460317611694336
test/test-id-region-americas-class-golf_course-task-acc,0.7594936490058899
test/test-id-region-americas-class-ground_transportation_station-task-acc,0.568965494632721
test/test-id-region-americas-class-helipad-task-acc,0.5
test/test-id-region-americas-class-hospital-task-acc,0.2083333283662796
test/test-id-region-americas-class-impoverished_settlement-task-acc,0.9677419066429138
test/test-id-region-americas-class-interchange-task-acc,0.8904109597206116
test/test-id-region-americas-class-lake_or_pond-task-acc,0.3333333432674408
test/test-id-region-americas-class-lighthouse-task-acc,0.9298245906829834
test/test-id-region-americas-class-military_facility-task-acc,0.2222222238779068
test/test-id-region-americas-class-office_building-task-acc,0.26760563254356384
test/test-id-region-americas-class-oil_or_gas_facility-task-acc,0.8181818127632141
test/test-id-region-americas-class-park-task-acc,0.375
test/test-id-region-americas-class-parking_lot_or_garage-task-acc,0.5314285755157471
test/test-id-region-americas-class-place_of_worship-task-acc,0.5811966061592102
test/test-id-region-americas-class-police_station-task-acc,0.0
test/test-id-region-americas-class-port-task-acc,0.8333333134651184
test/test-id-region-americas-class-prison-task-acc,0.44736841320991516
test/test-id-region-americas-class-race_track-task-acc,0.800000011920929
test/test-id-region-americas-class-railway_bridge-task-acc,0.703125
test/test-id-region-americas-class-recreational_facility-task-acc,0.8151447772979736
test/test-id-region-americas-class-road_bridge-task-acc,0.8867924809455872
test/test-id-region-americas-class-runway-task-acc,0.6666666865348816
test/test-id-region-americas-class-shipyard-task-acc,0.6666666865348816
test/test-id-region-americas-class-shopping_mall-task-acc,0.4047619104385376
test/test-id-region-americas-class-single-unit_residential-task-acc,0.5
test/test-id-region-americas-class-smokestack-task-acc,0.0
test/test-id-region-americas-class-solar_farm-task-acc,0.4516128897666931
test/test-id-region-americas-class-space_facility-task-acc,1.0
test/test-id-region-americas-class-stadium-task-acc,0.8333333134651184
test/test-id-region-americas-class-storage_tank-task-acc,0.5
test/test-id-region-americas-class-surface_mine-task-acc,0.8611111044883728
test/test-id-region-americas-class-swimming_pool-task-acc,0.8484848737716675
test/test-id-region-americas-class-toll_booth-task-acc,0.8636363744735718
test/test-id-region-americas-class-tower-task-acc,0.5932203531265259
test/test-id-region-americas-class-waste_disposal-task-acc,0.10000000149011612
test/test-id-region-americas-class-water_treatment_facility-task-acc,0.40740740299224854
test/test-id-region-americas-class-wind_farm-task-acc,1.0
test/test-id-region-americas-class-zoo-task-acc,0.2800000011920929
test/test-id-region-americas-hr-ablated-task-acc,0.18722045421600342
test/test-id-region-americas-lr-ablated-task-acc,0.037699680775403976
test/test-id-region-americas-task-acc,0.6261980533599854
test/test-id-region-americas-task-loss,3.181037187576294
test/test-id-region-americas-top5-task-acc,0.8456869125366211
test/test-id-region-asia-class-airport-task-acc,0.4166666567325592
