metric,value
test/test-id-class-airport-task-acc,0.8695651888847351
test/test-id-class-airport_hangar-task-acc,0.7317073345184326
test/test-id-class-airport_terminal-task-acc,0.46721312403678894
test/test-id-class-amusement_park-task-acc,0.8477157354354858
test/test-id-class-aquaculture-task-acc,0.8478260636329651
test/test-id-class-archaeological_site-task-acc,0.4333333373069763
test/test-id-class-barn-task-acc,0.6447368264198303
test/test-id-class-border_checkpoint-task-acc,0.0625
test/test-id-class-burial_site-task-acc,0.6375839114189148
test/test-id-class-car_dealership-task-acc,0.654411792755127
test/test-id-class-construction_site-task-acc,0.1875
test/test-id-class-crop_field-task-acc,0.9466666579246521
test/test-id-class-dam-task-acc,0.7339449524879456
test/test-id-class-debris_or_rubble-task-acc,0.25999999046325684
test/test-id-class-educational_institution-task-acc,0.25515463948249817
test/test-id-class-electric_substation-task-acc,0.567251443862915
test/test-id-class-factory_or_powerplant-task-acc,0.3505154550075531
test/test-id-class-fire_station-task-acc,0.2954545319080353
test/test-id-class-flooded_road-task-acc,0.9634146094322205
test/test-id-class-fountain-task-acc,0.4492753744125366
test/test-id-class-gas_station-task-acc,0.5142857432365417
test/test-id-class-golf_course-task-acc,0.748251736164093
test/test-id-class-ground_transportation_station-task-acc,0.5135135054588318
test/test-id-class-helipad-task-acc,0.4107142984867096
test/test-id-class-hospital-task-acc,0.36315789818763733
test/test-id-class-impoverished_settlement-task-acc,1.0
test/test-id-class-interchange-task-acc,0.876288652420044
test/test-id-class-lake_or_pond-task-acc,0.2750000059604645
test/test-id-class-lighthouse-task-acc,0.9212598204612732
test/test-id-class-military_facility-task-acc,0.48514851927757263
test/test-id-class-multi-unit_residential-task-acc,0.794366180896759
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.08771929889917374
test/test-id-class-oil_or_gas_facility-task-acc,0.875
test/test-id-class-park-task-acc,0.2255639135837555
test/test-id-class-parking_lot_or_garage-task-acc,0.4193548262119293
test/test-id-class-place_of_worship-task-acc,0.5165165066719055
test/test-id-class-police_station-task-acc,0.23728813230991364
test/test-id-class-port-task-acc,0.875
test/test-id-class-prison-task-acc,0.4236111044883728
test/test-id-class-race_track-task-acc,0.8724831938743591
test/test-id-class-railway_bridge-task-acc,0.7897727489471436
test/test-id-class-recreational_facility-task-acc,0.827740490436554
test/test-id-class-road_bridge-task-acc,0.7821782231330872
test/test-id-class-runway-task-acc,0.9012345671653748
test/test-id-class-shipyard-task-acc,0.5714285969734192
test/test-id-class-shopping_mall-task-acc,0.3255814015865326
test/test-id-class-single-unit_residential-task-acc,0.6453201770782471
test/test-id-class-smokestack-task-acc,0.5837104320526123
test/test-id-class-solar_farm-task-acc,0.6910569071769714
test/test-id-class-space_facility-task-acc,0.5
test/test-id-class-stadium-task-acc,0.6727272868156433
test/test-id-class-storage_tank-task-acc,0.7272727489471436
test/test-id-class-surface_mine-task-acc,0.8273809552192688
test/test-id-class-swimming_pool-task-acc,0.8296296000480652
test/test-id-class-toll_booth-task-acc,0.8888888955116272
test/test-id-class-tower-task-acc,0.604651153087616
test/test-id-class-tunnel_opening-task-acc,0.9285714030265808
test/test-id-class-waste_disposal-task-acc,0.34246575832366943
test/test-id-class-water_treatment_facility-task-acc,0.7304964661598206
test/test-id-class-wind_farm-task-acc,0.9285714030265808
test/test-id-class-zoo-task-acc,0.2291666716337204
test/test-id-hr-ablated-task-acc,0.20358435809612274
test/test-id-hr-ablated-worst-group-task-acc,0.16097086668014526
test/test-id-hr-domain-acc,0.7419440150260925
test/test-id-hr-domain-acc-africa,0.3253588378429413
test/test-id-hr-domain-acc-americas,0.654632568359375
test/test-id-hr-domain-acc-asia,0.6711280941963196
test/test-id-hr-domain-acc-europe,0.8737863898277283
test/test-id-hr-domain-acc-oceania,0.14678898453712463
test/test-id-lr-ablated-task-acc,0.016509225592017174
test/test-id-lr-ablated-worst-group-task-acc,0.009569377638399601
test/test-id-lr-domain-acc,0.988523006439209
test/test-id-lr-domain-acc-africa,0.9138755798339844
test/test-id-lr-domain-acc-americas,0.9827476143836975
test/test-id-lr-domain-acc-asia,0.9927342534065247
test/test-id-lr-domain-acc-europe,0.9963106513023376
test/test-id-lr-domain-acc-oceania,0.9220183491706848
test/test-id-region-africa-class-airport-task-acc,1.0
test/test-id-region-africa-class-airport_hangar-task-acc,1.0
test/test-id-region-africa-class-airport_terminal-task-acc,0.6666666865348816
test/test-id-region-africa-class-amusement_park-task-acc,0.3333333432674408
test/test-id-region-africa-class-archaeological_site-task-acc,0.5
test/test-id-region-africa-class-border_checkpoint-task-acc,0.0
test/test-id-region-africa-class-crop_field-task-acc,1.0
test/test-id-region-africa-class-dam-task-acc,0.9090909361839294
test/test-id-region-africa-class-educational_institution-task-acc,0.0
test/test-id-region-africa-class-electric_substation-task-acc,1.0
test/test-id-region-africa-class-factory_or_powerplant-task-acc,0.0
test/test-id-region-africa-class-flooded_road-task-acc,1.0
test/test-id-region-africa-class-fountain-task-acc,1.0
test/test-id-region-africa-class-ground_transportation_station-task-acc,0.75
test/test-id-region-africa-class-helipad-task-acc,0.0
