metric,value
test/test-id-class-airport-task-acc,0.695652186870575
test/test-id-class-airport_hangar-task-acc,0.6991869807243347
test/test-id-class-airport_terminal-task-acc,0.5573770403862
test/test-id-class-amusement_park-task-acc,0.8426395654678345
test/test-id-class-aquaculture-task-acc,0.9130434989929199
test/test-id-class-archaeological_site-task-acc,0.46666666865348816
test/test-id-class-barn-task-acc,0.6578947305679321
test/test-id-class-border_checkpoint-task-acc,0.125
test/test-id-class-burial_site-task-acc,0.5436241626739502
test/test-id-class-car_dealership-task-acc,0.720588207244873
test/test-id-class-construction_site-task-acc,0.1607142835855484
test/test-id-class-crop_field-task-acc,0.9066666960716248
test/test-id-class-dam-task-acc,0.7706422209739685
test/test-id-class-debris_or_rubble-task-acc,0.3799999952316284
test/test-id-class-educational_institution-task-acc,0.34020617604255676
test/test-id-class-electric_substation-task-acc,0.5847952961921692
test/test-id-class-factory_or_powerplant-task-acc,0.3195876181125641
test/test-id-class-fire_station-task-acc,0.21022726595401764
test/test-id-class-flooded_road-task-acc,0.9146341681480408
test/test-id-class-fountain-task-acc,0.4106280207633972
test/test-id-class-gas_station-task-acc,0.46190476417541504
test/test-id-class-golf_course-task-acc,0.811188817024231
test/test-id-class-ground_transportation_station-task-acc,0.46621620655059814
test/test-id-class-helipad-task-acc,0.380952388048172
test/test-id-class-hospital-task-acc,0.4578947424888611
test/test-id-class-impoverished_settlement-task-acc,0.9508196711540222
test/test-id-class-interchange-task-acc,0.9278350472450256
test/test-id-class-lake_or_pond-task-acc,0.2750000059604645
test/test-id-class-lighthouse-task-acc,0.9055117964744568
test/test-id-class-military_facility-task-acc,0.5371286869049072
test/test-id-class-multi-unit_residential-task-acc,0.794366180896759
test/test-id-class-nuclear_powerplant-task-acc,1.0
test/test-id-class-office_building-task-acc,0.15789473056793213
test/test-id-class-oil_or_gas_facility-task-acc,0.875
test/test-id-class-park-task-acc,0.27819550037384033
test/test-id-class-parking_lot_or_garage-task-acc,0.5351043939590454
test/test-id-class-place_of_worship-task-acc,0.5510510802268982
test/test-id-class-police_station-task-acc,0.15819208323955536
test/test-id-class-port-task-acc,0.7857142686843872
test/test-id-class-prison-task-acc,0.3402777910232544
test/test-id-class-race_track-task-acc,0.8523489832878113
test/test-id-class-railway_bridge-task-acc,0.7272727489471436
test/test-id-class-recreational_facility-task-acc,0.818791925907135
test/test-id-class-road_bridge-task-acc,0.7376237511634827
test/test-id-class-runway-task-acc,0.8024691343307495
test/test-id-class-shipyard-task-acc,0.095238097012043
test/test-id-class-shopping_mall-task-acc,0.44573643803596497
test/test-id-class-single-unit_residential-task-acc,0.5714285969734192
test/test-id-class-smokestack-task-acc,0.5565611124038696
test/test-id-class-solar_farm-task-acc,0.7317073345184326
test/test-id-class-space_facility-task-acc,0.3333333432674408
test/test-id-class-stadium-task-acc,0.6969696879386902
test/test-id-class-storage_tank-task-acc,0.702479362487793
test/test-id-class-surface_mine-task-acc,0.7797619104385376
test/test-id-class-swimming_pool-task-acc,0.8370370268821716
test/test-id-class-toll_booth-task-acc,0.9111111164093018
test/test-id-class-tower-task-acc,0.5465116500854492
test/test-id-class-tunnel_opening-task-acc,0.8571428656578064
test/test-id-class-waste_disposal-task-acc,0.33561643958091736
test/test-id-class-water_treatment_facility-task-acc,0.6808510422706604
test/test-id-class-wind_farm-task-acc,0.9285714030265808
test/test-id-class-zoo-task-acc,0.2708333432674408
test/test-id-hr-ablated-task-acc,0.18530943989753723
test/test-id-hr-ablated-worst-group-task-acc,0.08133970946073532
test/test-id-hr-domain-acc,0.7446808218955994
test/test-id-hr-domain-acc-africa,0.32057416439056396
test/test-id-hr-domain-acc-americas,0.6862619519233704
test/test-id-hr-domain-acc-asia,0.6340343952178955
test/test-id-hr-domain-acc-europe,0.8801941871643066
test/test-id-hr-domain-acc-oceania,0.13302752375602722
test/test-id-lr-ablated-task-acc,0.05800300091505051
test/test-id-lr-ablated-worst-group-task-acc,0.023961661383509636
