metric,value
test/test-id-class-airport-task-acc,0.47826087474823
test/test-id-class-airport_hangar-task-acc,0.6829268336296082
test/test-id-class-airport_terminal-task-acc,0.4754098355770111
test/test-id-class-amusement_park-task-acc,0.7918781638145447
test/test-id-class-aquaculture-task-acc,0.9130434989929199
test/test-id-class-archaeological_site-task-acc,0.46666666865348816
test/test-id-class-barn-task-acc,0.7456140518188477
test/test-id-class-border_checkpoint-task-acc,0.0625
test/test-id-class-burial_site-task-acc,0.6577181220054626
test/test-id-class-car_dealership-task-acc,0.6911764740943909
test/test-id-class-construction_site-task-acc,0.2946428656578064
test/test-id-class-crop_field-task-acc,0.9511111378669739
test/test-id-class-dam-task-acc,0.7798165082931519
test/test-id-class-debris_or_rubble-task-acc,0.25999999046325684
test/test-id-class-educational_institution-task-acc,0.34536081552505493
test/test-id-class-electric_substation-task-acc,0.5847952961921692
test/test-id-class-factory_or_powerplant-task-acc,0.34020617604255676
test/test-id-class-fire_station-task-acc,0.21590909361839294
test/test-id-class-flooded_road-task-acc,0.9634146094322205
test/test-id-class-fountain-task-acc,0.38164252042770386
test/test-id-class-gas_station-task-acc,0.523809552192688
test/test-id-class-golf_course-task-acc,0.7552447319030762
test/test-id-class-ground_transportation_station-task-acc,0.4493243098258972
test/test-id-class-helipad-task-acc,0.4464285671710968
test/test-id-class-hospital-task-acc,0.378947377204895
test/test-id-class-impoverished_settlement-task-acc,0.8032786846160889
test/test-id-class-interchange-task-acc,0.8659793734550476
test/test-id-class-lake_or_pond-task-acc,0.22499999403953552
test/test-id-class-lighthouse-task-acc,0.8267716765403748
test/test-id-class-military_facility-task-acc,0.5420792102813721
test/test-id-class-multi-unit_residential-task-acc,0.7295774817466736
test/test-id-class-nuclear_powerplant-task-acc,1.0
test/test-id-class-office_building-task-acc,0.08187134563922882
test/test-id-class-oil_or_gas_facility-task-acc,0.8660714030265808
test/test-id-class-park-task-acc,0.3458646535873413
test/test-id-class-parking_lot_or_garage-task-acc,0.5028463006019592
test/test-id-class-place_of_worship-task-acc,0.49399399757385254
test/test-id-class-police_station-task-acc,0.23163841664791107
test/test-id-class-port-task-acc,0.75
test/test-id-class-prison-task-acc,0.375
test/test-id-class-race_track-task-acc,0.9127516746520996
test/test-id-class-railway_bridge-task-acc,0.6363636255264282
test/test-id-class-recreational_facility-task-acc,0.8288590312004089
test/test-id-class-road_bridge-task-acc,0.7574257254600525
test/test-id-class-runway-task-acc,0.8641975522041321
test/test-id-class-shipyard-task-acc,0.190476194024086
test/test-id-class-shopping_mall-task-acc,0.3720930218696594
test/test-id-class-single-unit_residential-task-acc,0.6699507236480713
test/test-id-class-smokestack-task-acc,0.4977375566959381
test/test-id-class-solar_farm-task-acc,0.6666666865348816
test/test-id-class-space_facility-task-acc,0.3333333432674408
test/test-id-class-stadium-task-acc,0.7090908885002136
test/test-id-class-storage_tank-task-acc,0.6776859760284424
test/test-id-class-surface_mine-task-acc,0.761904776096344
test/test-id-class-swimming_pool-task-acc,0.8037037253379822
test/test-id-class-toll_booth-task-acc,0.8962963223457336
test/test-id-class-tower-task-acc,0.5542635917663574
test/test-id-class-tunnel_opening-task-acc,0.9047619104385376
test/test-id-class-waste_disposal-task-acc,0.27397260069847107
test/test-id-class-water_treatment_facility-task-acc,0.6666666865348816
test/test-id-class-wind_farm-task-acc,0.9387755393981934
test/test-id-class-zoo-task-acc,0.2708333432674408
test/test-id-hr-ablated-task-acc,0.15282069146633148
test/test-id-hr-ablated-worst-group-task-acc,0.08256880939006805
test/test-id-hr-domain-acc,0.7430034279823303
test/test-id-hr-domain-acc-africa,0.30622008442878723
