metric,value
test/test-id-class-airport-task-acc,0.0
test/test-id-class-airport_hangar-task-acc,0.6829268336296082
test/test-id-class-airport_terminal-task-acc,0.5
test/test-id-class-amusement_park-task-acc,0.0
test/test-id-class-aquaculture-task-acc,0.8913043737411499
test/test-id-class-archaeological_site-task-acc,0.3888888955116272
test/test-id-class-barn-task-acc,0.6052631735801697
test/test-id-class-border_checkpoint-task-acc,0.0
test/test-id-class-burial_site-task-acc,0.4966442883014679
test/test-id-class-car_dealership-task-acc,0.3602941036224365
test/test-id-class-construction_site-task-acc,0.2232142835855484
test/test-id-class-crop_field-task-acc,0.9496296048164368
test/test-id-class-dam-task-acc,0.7798165082931519
test/test-id-class-debris_or_rubble-task-acc,0.1599999964237213
test/test-id-class-educational_institution-task-acc,0.37371134757995605
test/test-id-class-electric_substation-task-acc,0.6315789222717285
test/test-id-class-factory_or_powerplant-task-acc,0.3195876181125641
test/test-id-class-fire_station-task-acc,0.1931818127632141
test/test-id-class-flooded_road-task-acc,0.9024389982223511
test/test-id-class-fountain-task-acc,0.35748791694641113
test/test-id-class-gas_station-task-acc,0.5
test/test-id-class-golf_course-task-acc,0.7762237787246704
test/test-id-class-ground_transportation_station-task-acc,0.5405405163764954
test/test-id-class-helipad-task-acc,0.125
test/test-id-class-hospital-task-acc,0.2684210538864136
test/test-id-class-impoverished_settlement-task-acc,0.7704917788505554
test/test-id-class-interchange-task-acc,0.0
test/test-id-class-lake_or_pond-task-acc,0.0
test/test-id-class-lighthouse-task-acc,0.6456692814826965
test/test-id-class-military_facility-task-acc,0.4306930601596832
test/test-id-class-multi-unit_residential-task-acc,0.7549296021461487
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.05263157933950424
test/test-id-class-oil_or_gas_facility-task-acc,0.8392857313156128
test/test-id-class-park-task-acc,0.27067670226097107
test/test-id-class-parking_lot_or_garage-task-acc,0.47058823704719543
test/test-id-class-place_of_worship-task-acc,0.5540540814399719
test/test-id-class-police_station-task-acc,0.11299435049295425
test/test-id-class-port-task-acc,0.7678571343421936
test/test-id-class-prison-task-acc,0.3819444477558136
test/test-id-class-race_track-task-acc,0.8657718300819397
test/test-id-class-railway_bridge-task-acc,0.6704545617103577
test/test-id-class-recreational_facility-task-acc,0.863534688949585
test/test-id-class-road_bridge-task-acc,0.8069307208061218
test/test-id-class-runway-task-acc,0.8024691343307495
test/test-id-class-shipyard-task-acc,0.0
test/test-id-class-shopping_mall-task-acc,0.3759689927101135
test/test-id-class-single-unit_residential-task-acc,0.6650246381759644
test/test-id-class-smokestack-task-acc,0.6153846383094788
test/test-id-class-solar_farm-task-acc,0.6097561120986938
test/test-id-class-space_facility-task-acc,0.0
test/test-id-class-stadium-task-acc,0.6727272868156433
test/test-id-class-storage_tank-task-acc,0.7190082669258118
test/test-id-class-surface_mine-task-acc,0.8273809552192688
test/test-id-class-swimming_pool-task-acc,0.8740741014480591
test/test-id-class-toll_booth-task-acc,0.8518518805503845
test/test-id-class-tower-task-acc,0.4689922332763672
test/test-id-class-tunnel_opening-task-acc,0.9107142686843872
test/test-id-class-waste_disposal-task-acc,0.3493150770664215
test/test-id-class-water_treatment_facility-task-acc,0.716312050819397
test/test-id-class-wind_farm-task-acc,0.9285714030265808
test/test-id-class-zoo-task-acc,0.2916666567325592
test/test-id-hr-ablated-task-acc,0.24834465980529785
test/test-id-hr-ablated-worst-group-task-acc,0.2083067148923874
test/test-id-hr-domain-acc,0.6498631834983826
test/test-id-hr-domain-acc-africa,0.16267941892147064
test/test-id-hr-domain-acc-americas,0.5661342144012451
test/test-id-hr-domain-acc-asia,0.4611854553222656
test/test-id-hr-domain-acc-europe,0.8444660305976868
test/test-id-hr-domain-acc-oceania,0.0
test/test-id-lr-ablated-task-acc,0.4806215167045593
test/test-id-lr-ablated-worst-group-task-acc,0.4485659599304199
test/test-id-lr-domain-acc,0.048821400851011276
test/test-id-lr-domain-acc-africa,0.4449760913848877
test/test-id-lr-domain-acc-americas,0.10926517844200134
test/test-id-lr-domain-acc-asia,0.03938814625144005
test/test-id-lr-domain-acc-europe,0.002135922433808446
test/test-id-lr-domain-acc-oceania,0.0
test/test-id-region-africa-class-airport-task-acc,0.0
test/test-id-region-africa-class-airport_hangar-task-acc,1.0
test/test-id-region-africa-class-airport_terminal-task-acc,1.0
test/test-id-region-africa-class-amusement_park-task-acc,0.0
test/test-id-region-africa-class-archaeological_site-task-acc,0.5
test/test-id-region-africa-class-border_checkpoint-task-acc,0.0
test/test-id-region-africa-class-crop_field-task-acc,0.8571428656578064
test/test-id-region-africa-class-dam-task-acc,1.0
test/test-id-region-africa-class-educational_institution-task-acc,0.0
test/test-id-region-africa-class-electric_substation-task-acc,1.0
test/test-id-region-africa-class-factory_or_powerplant-task-acc,0.0
test/test-id-region-africa-class-flooded_road-task-acc,0.0
test/test-id-region-africa-class-fountain-task-acc,0.25
test/test-id-region-africa-class-ground_transportation_station-task-acc,1.0
test/test-id-region-africa-class-helipad-task-acc,0.0
test/test-id-region-africa-class-hospital-task-acc,0.3333333432674408
test/test-id-region-africa-class-interchange-task-acc,0.0
test/test-id-region-africa-class-military_facility-task-acc,1.0
test/test-id-region-africa-class-multi-unit_residential-task-acc,0.5
test/test-id-region-africa-class-office_building-task-acc,0.0
test/test-id-region-africa-class-parking_lot_or_garage-task-acc,1.0
test/test-id-region-africa-class-place_of_worship-task-acc,0.9506173133850098
test/test-id-region-africa-class-police_station-task-acc,0.0
test/test-id-region-africa-class-port-task-acc,1.0
test/test-id-region-africa-class-prison-task-acc,0.0
test/test-id-region-africa-class-recreational_facility-task-acc,0.6666666865348816
test/test-id-region-africa-class-runway-task-acc,0.75
test/test-id-region-africa-class-single-unit_residential-task-acc,0.7142857313156128
test/test-id-region-africa-class-stadium-task-acc,1.0
test/test-id-region-africa-class-surface_mine-task-acc,0.6666666865348816
test/test-id-region-africa-class-swimming_pool-task-acc,0.6666666865348816
test/test-id-region-africa-class-toll_booth-task-acc,1.0
test/test-id-region-africa-class-tower-task-acc,0.6000000238418579
test/test-id-region-africa-class-wind_farm-task-acc,1.0
test/test-id-region-africa-hr-ablated-task-acc,0.4354066848754883
test/test-id-region-africa-lr-ablated-task-acc,0.6985645890235901
test/test-id-region-africa-task-acc,0.7655502557754517
test/test-id-region-africa-task-loss,1.1213090419769287
test/test-id-region-africa-top5-task-acc,0.8899521827697754
test/test-id-region-americas-class-airport-task-acc,0.0
test/test-id-region-americas-class-airport_hangar-task-acc,0.7916666865348816
test/test-id-region-americas-class-airport_terminal-task-acc,0.6666666865348816
test/test-id-region-americas-class-amusement_park-task-acc,0.0
test/test-id-region-americas-class-aquaculture-task-acc,0.9523809552192688
test/test-id-region-americas-class-archaeological_site-task-acc,1.0
test/test-id-region-americas-class-barn-task-acc,0.28125
test/test-id-region-americas-class-burial_site-task-acc,0.4444444477558136
test/test-id-region-americas-class-car_dealership-task-acc,0.4084506928920746
test/test-id-region-americas-class-construction_site-task-acc,0.0555555559694767
test/test-id-region-americas-class-crop_field-task-acc,0.9090909361839294
test/test-id-region-americas-class-dam-task-acc,0.8500000238418579
