metric,value
test/test-id-class-airport-task-acc,0.47826087474823
test/test-id-class-airport_hangar-task-acc,0.6178861856460571
test/test-id-class-airport_terminal-task-acc,0.5327869057655334
test/test-id-class-amusement_park-task-acc,0.817258894443512
test/test-id-class-aquaculture-task-acc,0.804347813129425
test/test-id-class-archaeological_site-task-acc,0.3888888955116272
test/test-id-class-barn-task-acc,0.5438596606254578
test/test-id-class-border_checkpoint-task-acc,0.1875
test/test-id-class-burial_site-task-acc,0.536912739276886
test/test-id-class-car_dealership-task-acc,0.5661764740943909
test/test-id-class-construction_site-task-acc,0.125
test/test-id-class-crop_field-task-acc,0.9155555367469788
test/test-id-class-dam-task-acc,0.6972476840019226
test/test-id-class-debris_or_rubble-task-acc,0.07999999821186066
test/test-id-class-educational_institution-task-acc,0.2680412232875824
test/test-id-class-electric_substation-task-acc,0.46783626079559326
test/test-id-class-factory_or_powerplant-task-acc,0.36082473397254944
test/test-id-class-fire_station-task-acc,0.2613636255264282
test/test-id-class-flooded_road-task-acc,0.39024388790130615
test/test-id-class-fountain-task-acc,0.49275362491607666
test/test-id-class-gas_station-task-acc,0.5190476179122925
test/test-id-class-golf_course-task-acc,0.7202796936035156
test/test-id-class-ground_transportation_station-task-acc,0.5912162065505981
test/test-id-class-helipad-task-acc,0.3273809552192688
test/test-id-class-hospital-task-acc,0.41578948497772217
test/test-id-class-impoverished_settlement-task-acc,0.8032786846160889
test/test-id-class-interchange-task-acc,0.8659793734550476
test/test-id-class-lake_or_pond-task-acc,0.07500000298023224
test/test-id-class-lighthouse-task-acc,0.834645688533783
test/test-id-class-military_facility-task-acc,0.5074257254600525
test/test-id-class-multi-unit_residential-task-acc,0.45352113246917725
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.035087719559669495
test/test-id-class-oil_or_gas_facility-task-acc,0.6875
test/test-id-class-park-task-acc,0.33834585547447205
test/test-id-class-parking_lot_or_garage-task-acc,0.38140416145324707
test/test-id-class-place_of_worship-task-acc,0.5885885953903198
test/test-id-class-police_station-task-acc,0.12994350492954254
test/test-id-class-port-task-acc,0.6071428656578064
test/test-id-class-prison-task-acc,0.3680555522441864
test/test-id-class-race_track-task-acc,0.8859060406684875
test/test-id-class-railway_bridge-task-acc,0.6136363744735718
test/test-id-class-recreational_facility-task-acc,0.7975391745567322
test/test-id-class-road_bridge-task-acc,0.8168317079544067
test/test-id-class-runway-task-acc,0.8271604776382446
test/test-id-class-shipyard-task-acc,0.3333333432674408
test/test-id-class-shopping_mall-task-acc,0.43023255467414856
test/test-id-class-single-unit_residential-task-acc,0.6453201770782471
test/test-id-class-smokestack-task-acc,0.5837104320526123
test/test-id-class-solar_farm-task-acc,0.6747967600822449
test/test-id-class-space_facility-task-acc,0.1666666716337204
test/test-id-class-stadium-task-acc,0.7515151500701904
test/test-id-class-storage_tank-task-acc,0.6776859760284424
test/test-id-class-surface_mine-task-acc,0.7678571343421936
test/test-id-class-swimming_pool-task-acc,0.7185184955596924
test/test-id-class-toll_booth-task-acc,0.8962963223457336
test/test-id-class-tower-task-acc,0.5232558250427246
test/test-id-class-tunnel_opening-task-acc,0.8035714030265808
test/test-id-class-waste_disposal-task-acc,0.3219178020954132
test/test-id-class-water_treatment_facility-task-acc,0.7234042286872864
test/test-id-class-wind_farm-task-acc,0.8571428656578064
test/test-id-class-zoo-task-acc,0.25
test/test-id-hr-domain-acc,0.7537741661071777
test/test-id-hr-domain-acc-africa,0.339712917804718
test/test-id-hr-domain-acc-americas,0.7575079798698425
test/test-id-hr-domain-acc-asia,0.7250478267669678
test/test-id-hr-domain-acc-europe,0.8073786497116089
test/test-id-hr-domain-acc-oceania,0.19266055524349213
test/test-id-lr-domain-acc,0.16977134346961975
test/test-id-lr-domain-acc-africa,0.0
test/test-id-lr-domain-acc-americas,0.41469648480415344
test/test-id-lr-domain-acc-asia,0.19043977558612823
test/test-id-lr-domain-acc-europe,0.02388349547982216
test/test-id-lr-domain-acc-oceania,0.00917431153357029
test/test-id-region-africa-class-airport-task-acc,0.5
test/test-id-region-africa-class-airport_hangar-task-acc,0.6666666865348816
test/test-id-region-africa-class-airport_terminal-task-acc,1.0
test/test-id-region-africa-class-amusement_park-task-acc,0.3333333432674408
test/test-id-region-africa-class-archaeological_site-task-acc,0.5
test/test-id-region-africa-class-border_checkpoint-task-acc,0.0
test/test-id-region-africa-class-crop_field-task-acc,1.0
test/test-id-region-africa-class-dam-task-acc,0.7272727489471436
test/test-id-region-africa-class-educational_institution-task-acc,0.0
test/test-id-region-africa-class-electric_substation-task-acc,1.0
test/test-id-region-africa-class-factory_or_powerplant-task-acc,0.0
test/test-id-region-africa-class-flooded_road-task-acc,0.0
test/test-id-region-africa-class-fountain-task-acc,0.5
test/test-id-region-africa-class-ground_transportation_station-task-acc,0.5
test/test-id-region-africa-class-helipad-task-acc,0.0
test/test-id-region-africa-class-hospital-task-acc,0.3333333432674408
test/test-id-region-africa-class-interchange-task-acc,1.0
test/test-id-region-africa-class-military_facility-task-acc,0.0
test/test-id-region-africa-class-multi-unit_residential-task-acc,0.375
test/test-id-region-africa-class-office_building-task-acc,0.0
test/test-id-region-africa-class-parking_lot_or_garage-task-acc,0.8333333134651184
test/test-id-region-africa-class-place_of_worship-task-acc,0.9506173133850098
test/test-id-region-africa-class-police_station-task-acc,0.0
test/test-id-region-africa-class-port-task-acc,1.0
test/test-id-region-africa-class-prison-task-acc,0.0
test/test-id-region-africa-class-recreational_facility-task-acc,0.0
test/test-id-region-africa-class-runway-task-acc,1.0
test/test-id-region-africa-class-single-unit_residential-task-acc,0.4285714328289032
test/test-id-region-africa-class-stadium-task-acc,1.0
test/test-id-region-africa-class-surface_mine-task-acc,0.0
test/test-id-region-africa-class-swimming_pool-task-acc,0.1666666716337204
test/test-id-region-africa-class-toll_booth-task-acc,1.0
test/test-id-region-africa-class-tower-task-acc,0.8999999761581421
test/test-id-region-africa-class-wind_farm-task-acc,1.0
test/test-id-region-africa-task-acc,0.7272727489471436
test/test-id-region-africa-task-loss,1.081687331199646
test/test-id-region-africa-top5-task-acc,0.8947368264198303
test/test-id-region-americas-class-airport-task-acc,0.3333333432674408
test/test-id-region-americas-class-airport_hangar-task-acc,0.75
test/test-id-region-americas-class-airport_terminal-task-acc,0.6944444179534912
test/test-id-region-americas-class-amusement_park-task-acc,0.4193548262119293
test/test-id-region-americas-class-aquaculture-task-acc,0.9047619104385376
test/test-id-region-americas-class-archaeological_site-task-acc,0.0
test/test-id-region-americas-class-barn-task-acc,0.40625
test/test-id-region-americas-class-burial_site-task-acc,0.5277777910232544
test/test-id-region-americas-class-car_dealership-task-acc,0.577464759349823
test/test-id-region-americas-class-construction_site-task-acc,0.0
test/test-id-region-americas-class-crop_field-task-acc,0.6818181872367859
test/test-id-region-americas-class-dam-task-acc,0.7666666507720947
test/test-id-region-americas-class-debris_or_rubble-task-acc,0.0
test/test-id-region-americas-class-educational_institution-task-acc,0.34730538725852966
test/test-id-region-americas-class-electric_substation-task-acc,0.5076923370361328
test/test-id-region-americas-class-factory_or_powerplant-task-acc,0.4399999976158142
test/test-id-region-americas-class-fire_station-task-acc,0.18867924809455872
test/test-id-region-americas-class-flooded_road-task-acc,0.1538461595773697
test/test-id-region-americas-class-fountain-task-acc,0.6000000238418579
test/test-id-region-americas-class-gas_station-task-acc,0.60317462682724
test/test-id-region-americas-class-golf_course-task-acc,0.746835470199585
test/test-id-region-americas-class-ground_transportation_station-task-acc,0.6724137663841248
test/test-id-region-americas-class-helipad-task-acc,0.4516128897666931
test/test-id-region-americas-class-hospital-task-acc,0.4166666567325592
test/test-id-region-americas-class-impoverished_settlement-task-acc,0.8709677457809448
test/test-id-region-americas-class-interchange-task-acc,0.9178082346916199
test/test-id-region-americas-class-lake_or_pond-task-acc,0.06666667014360428
test/test-id-region-americas-class-lighthouse-task-acc,0.9122806787490845
test/test-id-region-americas-class-military_facility-task-acc,0.1111111119389534
test/test-id-region-americas-class-office_building-task-acc,0.056338027119636536
test/test-id-region-americas-class-oil_or_gas_facility-task-acc,0.6590909361839294
test/test-id-region-americas-class-park-task-acc,0.42500001192092896
test/test-id-region-americas-class-parking_lot_or_garage-task-acc,0.4514285624027252
test/test-id-region-americas-class-place_of_worship-task-acc,0.632478654384613
test/test-id-region-americas-class-police_station-task-acc,0.03125
test/test-id-region-americas-class-port-task-acc,0.3333333432674408
test/test-id-region-americas-class-prison-task-acc,0.44736841320991516
test/test-id-region-americas-class-race_track-task-acc,0.8666666746139526
test/test-id-region-americas-class-railway_bridge-task-acc,0.71875
test/test-id-region-americas-class-recreational_facility-task-acc,0.846325159072876
test/test-id-region-americas-class-road_bridge-task-acc,0.849056601524353
test/test-id-region-americas-class-runway-task-acc,0.5
test/test-id-region-americas-class-shipyard-task-acc,0.3333333432674408
test/test-id-region-americas-class-shopping_mall-task-acc,0.4285714328289032
test/test-id-region-americas-class-single-unit_residential-task-acc,0.5
test/test-id-region-americas-class-smokestack-task-acc,0.0
test/test-id-region-americas-class-solar_farm-task-acc,0.4838709533214569
test/test-id-region-americas-class-space_facility-task-acc,0.5
test/test-id-region-americas-class-stadium-task-acc,0.7948718070983887
test/test-id-region-americas-class-storage_tank-task-acc,0.5263158082962036
test/test-id-region-americas-class-surface_mine-task-acc,0.8055555820465088
test/test-id-region-americas-class-swimming_pool-task-acc,0.7626262903213501
test/test-id-region-americas-class-toll_booth-task-acc,0.8636363744735718
test/test-id-region-americas-class-tower-task-acc,0.5762711763381958
test/test-id-region-americas-class-waste_disposal-task-acc,0.0
test/test-id-region-americas-class-water_treatment_facility-task-acc,0.40740740299224854
test/test-id-region-americas-class-wind_farm-task-acc,0.6000000238418579
test/test-id-region-americas-class-zoo-task-acc,0.3199999928474426
test/test-id-region-americas-task-acc,0.6060702800750732
test/test-id-region-americas-task-loss,1.4854531288146973
test/test-id-region-americas-top5-task-acc,0.8562300205230713
test/test-id-region-asia-class-airport-task-acc,0.5833333134651184
test/test-id-region-asia-class-airport_hangar-task-acc,0.6666666865348816
test/test-id-region-asia-class-airport_terminal-task-acc,0.625
test/test-id-region-asia-class-amusement_park-task-acc,0.800000011920929
test/test-id-region-asia-class-aquaculture-task-acc,0.8181818127632141
test/test-id-region-asia-class-archaeological_site-task-acc,0.5
test/test-id-region-asia-class-barn-task-acc,0.0
test/test-id-region-asia-class-border_checkpoint-task-acc,0.25
test/test-id-region-asia-class-burial_site-task-acc,0.5
test/test-id-region-asia-class-car_dealership-task-acc,0.0
test/test-id-region-asia-class-construction_site-task-acc,0.10526315867900848
test/test-id-region-asia-class-crop_field-task-acc,0.7951807379722595
test/test-id-region-asia-class-dam-task-acc,0.6071428656578064
test/test-id-region-asia-class-debris_or_rubble-task-acc,0.2666666805744171
test/test-id-region-asia-class-educational_institution-task-acc,0.3211009204387665
test/test-id-region-asia-class-electric_substation-task-acc,0.22580644488334656
test/test-id-region-asia-class-factory_or_powerplant-task-acc,0.125
test/test-id-region-asia-class-fire_station-task-acc,0.0
test/test-id-region-asia-class-fountain-task-acc,0.3529411852359772
test/test-id-region-asia-class-gas_station-task-acc,0.4146341383457184
test/test-id-region-asia-class-golf_course-task-acc,0.38461539149284363
test/test-id-region-asia-class-ground_transportation_station-task-acc,0.4941176474094391
test/test-id-region-asia-class-helipad-task-acc,0.2954545319080353
test/test-id-region-asia-class-hospital-task-acc,0.37037035822868347
test/test-id-region-asia-class-impoverished_settlement-task-acc,0.7333333492279053
test/test-id-region-asia-class-interchange-task-acc,0.6363636255264282
test/test-id-region-asia-class-lake_or_pond-task-acc,0.0
test/test-id-region-asia-class-lighthouse-task-acc,0.949999988079071
test/test-id-region-asia-class-military_facility-task-acc,0.5859872698783875
test/test-id-region-asia-class-multi-unit_residential-task-acc,0.47428572177886963
test/test-id-region-asia-class-office_building-task-acc,0.0
test/test-id-region-asia-class-oil_or_gas_facility-task-acc,0.7358490824699402
