metric,value
test/test-id-class-airport-task-acc,0.0
test/test-id-class-airport_hangar-task-acc,0.13821138441562653
test/test-id-class-airport_terminal-task-acc,0.07377049326896667
test/test-id-class-amusement_park-task-acc,0.17766498029232025
test/test-id-class-aquaculture-task-acc,0.6304348111152649
test/test-id-class-archaeological_site-task-acc,0.011111111380159855
test/test-id-class-barn-task-acc,0.3333333432674408
test/test-id-class-border_checkpoint-task-acc,0.0
test/test-id-class-burial_site-task-acc,0.020134227350354195
test/test-id-class-car_dealership-task-acc,0.13970588147640228
test/test-id-class-construction_site-task-acc,0.0
test/test-id-class-crop_field-task-acc,0.3866666555404663
test/test-id-class-dam-task-acc,0.3761467933654785
test/test-id-class-debris_or_rubble-task-acc,0.019999999552965164
test/test-id-class-educational_institution-task-acc,0.04639175161719322
test/test-id-class-electric_substation-task-acc,0.005847953259944916
test/test-id-class-factory_or_powerplant-task-acc,0.10309278219938278
test/test-id-class-fire_station-task-acc,0.034090910106897354
test/test-id-class-flooded_road-task-acc,0.012195121496915817
test/test-id-class-fountain-task-acc,0.14009661972522736
test/test-id-class-gas_station-task-acc,0.06190476194024086
test/test-id-class-golf_course-task-acc,0.5454545617103577
test/test-id-class-ground_transportation_station-task-acc,0.19594594836235046
test/test-id-class-helipad-task-acc,0.0059523810632526875
test/test-id-class-hospital-task-acc,0.010526316240429878
test/test-id-class-impoverished_settlement-task-acc,0.016393441706895828
test/test-id-class-interchange-task-acc,0.10309278219938278
test/test-id-class-lake_or_pond-task-acc,0.0
test/test-id-class-lighthouse-task-acc,0.6377952694892883
test/test-id-class-military_facility-task-acc,0.03465346619486809
test/test-id-class-multi-unit_residential-task-acc,0.10422535240650177
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.0
test/test-id-class-oil_or_gas_facility-task-acc,0.0357142873108387
test/test-id-class-park-task-acc,0.060150377452373505
test/test-id-class-parking_lot_or_garage-task-acc,0.1442125290632248
test/test-id-class-place_of_worship-task-acc,0.5990990996360779
test/test-id-class-police_station-task-acc,0.0
test/test-id-class-port-task-acc,0.0535714291036129
test/test-id-class-prison-task-acc,0.125
test/test-id-class-race_track-task-acc,0.1409395933151245
test/test-id-class-railway_bridge-task-acc,0.15340909361839294
test/test-id-class-recreational_facility-task-acc,0.5111857056617737
test/test-id-class-road_bridge-task-acc,0.13861386477947235
test/test-id-class-runway-task-acc,0.12345679104328156
test/test-id-class-shipyard-task-acc,0.0
test/test-id-class-shopping_mall-task-acc,0.10852713137865067
test/test-id-class-single-unit_residential-task-acc,0.1034482792019844
test/test-id-class-smokestack-task-acc,0.18552036583423615
test/test-id-class-solar_farm-task-acc,0.22764228284358978
test/test-id-class-space_facility-task-acc,0.0
test/test-id-class-stadium-task-acc,0.4787878692150116
test/test-id-class-storage_tank-task-acc,0.35537189245224
test/test-id-class-surface_mine-task-acc,0.1547619104385376
test/test-id-class-swimming_pool-task-acc,0.3629629611968994
test/test-id-class-toll_booth-task-acc,0.39259257912635803
test/test-id-class-tower-task-acc,0.12403100728988647
test/test-id-class-tunnel_opening-task-acc,0.2083333283662796
test/test-id-class-waste_disposal-task-acc,0.006849315017461777
test/test-id-class-water_treatment_facility-task-acc,0.12056737393140793
test/test-id-class-wind_farm-task-acc,0.27551019191741943
test/test-id-class-zoo-task-acc,0.0
test/test-id-hr-domain-acc,0.5298843383789062
test/test-id-hr-domain-acc-africa,0.0047846888191998005
test/test-id-hr-domain-acc-americas,0.5185303688049316
