epoch,lr-Adam,lr-Adam-1,step,test/test-id-hr-domain-acc,test/test-id-hr-domain-acc-africa,test/test-id-hr-domain-acc-americas,test/test-id-hr-domain-acc-asia,test/test-id-hr-domain-acc-europe,test/test-id-hr-domain-acc-oceania,test/test-id-region-africa-task-acc,test/test-id-region-africa-task-loss,test/test-id-region-americas-task-acc,test/test-id-region-americas-task-loss,test/test-id-region-asia-task-acc,test/test-id-region-asia-task-loss,test/test-id-region-europe-task-acc,test/test-id-region-europe-task-loss,test/test-id-region-oceania-task-acc,test/test-id-region-oceania-task-loss,test/test-id-task-acc,test/test-id-task-ece,test/test-id-task-entropy-correct,test/test-id-task-entropy-incorrect,test/test-id-task-loss,test/test-id-worst-group-task-acc,test/test-od-hr-domain-acc,test/test-od-hr-domain-acc-africa,test/test-od-hr-domain-acc-americas,test/test-od-hr-domain-acc-asia,test/test-od-hr-domain-acc-europe,test/test-od-hr-domain-acc-oceania,test/test-od-region-africa-task-acc,test/test-od-region-africa-task-loss,test/test-od-region-americas-task-acc,test/test-od-region-americas-task-loss,test/test-od-region-asia-task-acc,test/test-od-region-asia-task-loss,test/test-od-region-europe-task-acc,test/test-od-region-europe-task-loss,test/test-od-region-oceania-task-acc,test/test-od-region-oceania-task-loss,test/test-od-task-acc,test/test-od-task-ece,test/test-od-task-entropy-correct,test/test-od-task-entropy-incorrect,test/test-od-task-loss,test/test-od-worst-group-task-acc,train/train-hr-domain-acc,train/train-hr-domain-acc-africa,train/train-hr-domain-acc-americas,train/train-hr-domain-acc-asia,train/train-hr-domain-acc-europe,train/train-hr-domain-acc-oceania,train/train-hr-domain-acc-other,train/train-hr-domain-loss,train/train-task-acc,train/train-task-loss,val/val-id-hr-domain-acc,val/val-id-hr-domain-acc-africa,val/val-id-hr-domain-acc-americas,val/val-id-hr-domain-acc-asia,val/val-id-hr-domain-acc-europe,val/val-id-hr-domain-acc-oceania,val/val-id-region-africa-task-acc,val/val-id-region-africa-task-loss,val/val-id-region-americas-task-acc,val/val-id-region-americas-task-loss,val/val-id-region-asia-task-acc,val/val-id-region-asia-task-loss,val/val-id-region-europe-task-acc,val/val-id-region-europe-task-loss,val/val-id-region-oceania-task-acc,val/val-id-region-oceania-task-loss,val/val-id-task-acc,val/val-id-task-ece,val/val-id-task-entropy-correct,val/val-id-task-entropy-incorrect,val/val-id-task-loss,val/val-id-worst-group-task-acc,val/val-od-hr-domain-acc,val/val-od-hr-domain-acc-africa,val/val-od-hr-domain-acc-americas,val/val-od-hr-domain-acc-asia,val/val-od-hr-domain-acc-europe,val/val-od-hr-domain-acc-oceania,val/val-od-region-africa-task-acc,val/val-od-region-africa-task-loss,val/val-od-region-americas-task-acc,val/val-od-region-americas-task-loss,val/val-od-region-asia-task-acc,val/val-od-region-asia-task-loss,val/val-od-region-europe-task-acc,val/val-od-region-europe-task-loss,val/val-od-region-oceania-task-acc,val/val-od-region-oceania-task-loss,val/val-od-task-acc,val/val-od-task-ece,val/val-od-task-entropy-correct,val/val-od-task-entropy-incorrect,val/val-od-task-loss,val/val-od-worst-group-task-acc
,2.0000000000000003e-06,1.0000000000000002e-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3452930450439453,0.015789473429322243,0.14856956899166107,0.23876717686653137,0.5402429699897766,0.06374502182006836,0.4894736707210541,2.161930799484253,0.33452534675598145,2.7041196823120117,0.31414780020713806,2.8462986946105957,0.32403188943862915,2.7519280910491943,0.28286853432655334,2.6726226806640625,0.32656970620155334,0.11391469836235046,2.9656286239624023,3.586817741394043,2.7495474815368652,0.28286853432655334,0.30243533849716187,0.024906599894165993,0.1536117047071457,0.24290220439434052,0.5122866034507751,0.0476190485060215,0.26151931285858154,2.7662360668182373,0.3291679322719574,2.740715503692627,0.3392380475997925,2.8152384757995605,0.39627522230148315,2.5364699363708496,0.29581528902053833,2.6926791667938232,0.3534521758556366,0.12194176763296127,2.893488883972168,3.574666976928711,2.6762938499450684,0.26151931285858154
0,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2576662302017212,0.02338811568915844,0.0761931985616684,0.4247290790081024,0.30078125,0.07251676172018051,0.3571428656578064,1.7248331308364868,0.22047019004821777,3.3005757331848145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0000000000000003e-06,1.0000000000000002e-06,1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3704606890678406,0.021052632480859756,0.24544863402843475,0.07389528304338455,0.6245254278182983,0.023904383182525635,0.5631579160690308,1.797857403755188,0.4752925932407379,2.1917572021484375,0.44262903928756714,2.299544095993042,0.43925589323043823,2.257329225540161,0.41434264183044434,2.104365587234497,0.45136287808418274,0.16297787427902222,2.624922752380371,3.325389862060547,2.2384591102600098,0.41434264183044434,0.32242029905319214,0.04234122112393379,0.23514172434806824,0.06915797293186188,0.5883342027664185,0.014430014416575432,0.37733498215675354,2.333409309387207,0.45489180088043213,2.2502694129943848,0.467847615480423,2.30916428565979,0.5091826319694519,2.0295932292938232,0.4444444477558136,2.1248841285705566,0.47516947984695435,0.16914157569408417,2.5754435062408447,3.310645341873169,2.1757917404174805,0.37733498215675354
1,,,2401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3086985945701599,0.02022756077349186,0.14904877543449402,0.2864001393318176,0.44192326068878174,0.045703839510679245,0.190476194024086,1.554552435874939,0.40461599826812744,2.470745086669922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0000000000000003e-06,1.0000000000000002e-06,2402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4131324589252472,0.021052632480859756,0.3130689263343811,0.08317860960960388,0.6742596626281738,0.0039840638637542725,0.5894736647605896,1.6276627779006958,0.5403121113777161,1.8972347974777222,0.5038989782333374,2.0130741596221924,0.5032270550727844,1.9946558475494385,0.5219123363494873,1.8234373331069946,0.515283465385437,0.16164174675941467,2.3300375938415527,3.12471342086792,1.9628753662109375,0.5032270550727844,0.36610594391822815,0.01494396012276411,0.2913745939731598,0.08104828745126724,0.6501551866531372,0.008658008649945259,0.4308841824531555,2.042954444885254,0.5128009915351868,1.9789659976959229,0.5042465329170227,2.040125608444214,0.5585876703262329,1.7773356437683105,0.4978354871273041,1.8526026010513306,0.5249811410903931,0.155842125415802,2.267127513885498,3.111804485321045,1.9115161895751953,0.4308841824531555
2,,,3602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33450859785079956,0.021913189440965652,0.19825489819049835,0.22320175170898438,0.5021350383758545,0.033922404050827026,0.1349206417798996,1.4698772430419922,0.49223944544792175,2.0838470458984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0000000000000003e-06,1.0000000000000002e-06,3603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
