metric,value
test/test-id-class-airport-task-acc,0.5652173757553101
test/test-id-class-airport_hangar-task-acc,0.642276406288147
test/test-id-class-airport_terminal-task-acc,0.5327869057655334
test/test-id-class-amusement_park-task-acc,0.8426395654678345
test/test-id-class-aquaculture-task-acc,0.782608687877655
test/test-id-class-archaeological_site-task-acc,0.36666667461395264
test/test-id-class-barn-task-acc,0.609649121761322
test/test-id-class-border_checkpoint-task-acc,0.0
test/test-id-class-burial_site-task-acc,0.4966442883014679
test/test-id-class-car_dealership-task-acc,0.7058823704719543
test/test-id-class-construction_site-task-acc,0.2142857164144516
test/test-id-class-crop_field-task-acc,0.9140740633010864
test/test-id-class-dam-task-acc,0.7064220309257507
test/test-id-class-debris_or_rubble-task-acc,0.18000000715255737
test/test-id-class-educational_institution-task-acc,0.27577319741249084
test/test-id-class-electric_substation-task-acc,0.6023392081260681
test/test-id-class-factory_or_powerplant-task-acc,0.3814432919025421
test/test-id-class-fire_station-task-acc,0.17613635957241058
test/test-id-class-flooded_road-task-acc,0.5365853905677795
test/test-id-class-fountain-task-acc,0.40096619725227356
test/test-id-class-gas_station-task-acc,0.49047619104385376
test/test-id-class-golf_course-task-acc,0.7552447319030762
test/test-id-class-ground_transportation_station-task-acc,0.5033783912658691
test/test-id-class-helipad-task-acc,0.4761904776096344
test/test-id-class-hospital-task-acc,0.35789474844932556
test/test-id-class-impoverished_settlement-task-acc,0.9508196711540222
test/test-id-class-interchange-task-acc,0.876288652420044
test/test-id-class-lake_or_pond-task-acc,0.22499999403953552
test/test-id-class-lighthouse-task-acc,0.8661417365074158
test/test-id-class-military_facility-task-acc,0.4529702961444855
test/test-id-class-multi-unit_residential-task-acc,0.5521126985549927
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.07017543911933899
test/test-id-class-oil_or_gas_facility-task-acc,0.8214285969734192
test/test-id-class-park-task-acc,0.31578946113586426
test/test-id-class-parking_lot_or_garage-task-acc,0.46299809217453003
test/test-id-class-place_of_worship-task-acc,0.5360360145568848
test/test-id-class-police_station-task-acc,0.20338982343673706
test/test-id-class-port-task-acc,0.6428571343421936
test/test-id-class-prison-task-acc,0.4027777910232544
test/test-id-class-race_track-task-acc,0.8657718300819397
test/test-id-class-railway_bridge-task-acc,0.5965909361839294
test/test-id-class-recreational_facility-task-acc,0.8255033493041992
test/test-id-class-road_bridge-task-acc,0.7574257254600525
test/test-id-class-runway-task-acc,0.8765432238578796
test/test-id-class-shipyard-task-acc,0.3333333432674408
test/test-id-class-shopping_mall-task-acc,0.3759689927101135
test/test-id-class-single-unit_residential-task-acc,0.6009852290153503
test/test-id-class-smokestack-task-acc,0.5656108856201172
test/test-id-class-solar_farm-task-acc,0.6260162591934204
test/test-id-class-space_facility-task-acc,0.5
test/test-id-class-stadium-task-acc,0.7454545497894287
test/test-id-class-storage_tank-task-acc,0.6776859760284424
test/test-id-class-surface_mine-task-acc,0.8333333134651184
test/test-id-class-swimming_pool-task-acc,0.7740740776062012
test/test-id-class-toll_booth-task-acc,0.8888888955116272
test/test-id-class-tower-task-acc,0.4728682041168213
test/test-id-class-tunnel_opening-task-acc,0.8392857313156128
test/test-id-class-waste_disposal-task-acc,0.3904109597206116
test/test-id-class-water_treatment_facility-task-acc,0.7304964661598206
