metric,value
test/test-id-class-airport-task-acc,0.0
test/test-id-class-airport_hangar-task-acc,0.23577235639095306
test/test-id-class-airport_terminal-task-acc,0.13114753365516663
test/test-id-class-amusement_park-task-acc,0.19796954095363617
test/test-id-class-aquaculture-task-acc,0.8695651888847351
test/test-id-class-archaeological_site-task-acc,0.21111111342906952
test/test-id-class-barn-task-acc,0.5438596606254578
test/test-id-class-border_checkpoint-task-acc,0.0
test/test-id-class-burial_site-task-acc,0.11409395933151245
test/test-id-class-car_dealership-task-acc,0.1985294073820114
test/test-id-class-construction_site-task-acc,0.1696428507566452
test/test-id-class-crop_field-task-acc,0.765925943851471
test/test-id-class-dam-task-acc,0.17431192100048065
test/test-id-class-debris_or_rubble-task-acc,0.23999999463558197
test/test-id-class-educational_institution-task-acc,0.17268040776252747
test/test-id-class-electric_substation-task-acc,0.06432748585939407
test/test-id-class-factory_or_powerplant-task-acc,0.020618556067347527
test/test-id-class-fire_station-task-acc,0.022727273404598236
test/test-id-class-flooded_road-task-acc,0.9512194991111755
test/test-id-class-fountain-task-acc,0.05314009636640549
test/test-id-class-gas_station-task-acc,0.009523809887468815
test/test-id-class-golf_course-task-acc,0.0559440553188324
test/test-id-class-ground_transportation_station-task-acc,0.11148648709058762
test/test-id-class-helipad-task-acc,0.1071428582072258
test/test-id-class-hospital-task-acc,0.17894737422466278
test/test-id-class-impoverished_settlement-task-acc,0.688524603843689
test/test-id-class-interchange-task-acc,0.0824742242693901
test/test-id-class-lake_or_pond-task-acc,0.0
test/test-id-class-lighthouse-task-acc,0.6771653294563293
test/test-id-class-military_facility-task-acc,0.46039605140686035
test/test-id-class-multi-unit_residential-task-acc,0.608450710773468
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.04093567281961441
test/test-id-class-oil_or_gas_facility-task-acc,0.8035714030265808
test/test-id-class-park-task-acc,0.03759398311376572
test/test-id-class-parking_lot_or_garage-task-acc,0.2713472545146942
test/test-id-class-place_of_worship-task-acc,0.3888888955116272
test/test-id-class-police_station-task-acc,0.0
test/test-id-class-port-task-acc,0.0
test/test-id-class-prison-task-acc,0.0069444444961845875
test/test-id-class-race_track-task-acc,0.12751677632331848
test/test-id-class-railway_bridge-task-acc,0.11931817978620529
test/test-id-class-recreational_facility-task-acc,0.390380322933197
test/test-id-class-road_bridge-task-acc,0.0891089141368866
test/test-id-class-runway-task-acc,0.14814814925193787
test/test-id-class-shipyard-task-acc,0.0476190485060215
test/test-id-class-shopping_mall-task-acc,0.09689922630786896
test/test-id-class-single-unit_residential-task-acc,0.5812807679176331
test/test-id-class-smokestack-task-acc,0.23076923191547394
test/test-id-class-solar_farm-task-acc,0.31707316637039185
test/test-id-class-space_facility-task-acc,0.3333333432674408
test/test-id-class-stadium-task-acc,0.11515151709318161
test/test-id-class-storage_tank-task-acc,0.14049586653709412
test/test-id-class-surface_mine-task-acc,0.2142857164144516
test/test-id-class-swimming_pool-task-acc,0.7518518567085266
test/test-id-class-toll_booth-task-acc,0.2074074000120163
test/test-id-class-tower-task-acc,0.12790697813034058
test/test-id-class-tunnel_opening-task-acc,0.886904776096344
test/test-id-class-waste_disposal-task-acc,0.0890410989522934
test/test-id-class-water_treatment_facility-task-acc,0.08510638028383255
test/test-id-class-wind_farm-task-acc,0.8061224222183228
test/test-id-class-zoo-task-acc,0.0
test/test-id-lr-domain-acc,0.9599187970161438
test/test-id-lr-domain-acc-africa,0.6507176756858826
test/test-id-lr-domain-acc-americas,0.9523961544036865
test/test-id-lr-domain-acc-asia,0.9583173990249634
test/test-id-lr-domain-acc-europe,0.9897087216377258
test/test-id-lr-domain-acc-oceania,0.7018348574638367
test/test-id-region-africa-class-airport-task-acc,0.0
test/test-id-region-africa-class-airport_hangar-task-acc,0.6666666865348816
test/test-id-region-africa-class-airport_terminal-task-acc,0.0
test/test-id-region-africa-class-amusement_park-task-acc,0.0
test/test-id-region-africa-class-archaeological_site-task-acc,0.0
test/test-id-region-africa-class-border_checkpoint-task-acc,0.0
test/test-id-region-africa-class-crop_field-task-acc,0.7142857313156128
test/test-id-region-africa-class-dam-task-acc,0.8181818127632141
test/test-id-region-africa-class-educational_institution-task-acc,0.0
test/test-id-region-africa-class-electric_substation-task-acc,0.0
test/test-id-region-africa-class-factory_or_powerplant-task-acc,0.0
test/test-id-region-africa-class-flooded_road-task-acc,1.0
test/test-id-region-africa-class-fountain-task-acc,0.0
test/test-id-region-africa-class-ground_transportation_station-task-acc,0.25
test/test-id-region-africa-class-helipad-task-acc,0.0
test/test-id-region-africa-class-hospital-task-acc,0.0
test/test-id-region-africa-class-interchange-task-acc,0.0
test/test-id-region-africa-class-military_facility-task-acc,1.0
test/test-id-region-africa-class-multi-unit_residential-task-acc,0.0
test/test-id-region-africa-class-office_building-task-acc,0.0
test/test-id-region-africa-class-parking_lot_or_garage-task-acc,0.8333333134651184
test/test-id-region-africa-class-place_of_worship-task-acc,0.9629629850387573
test/test-id-region-africa-class-police_station-task-acc,0.0
