metric,value
test/test-id-class-airport-task-acc,0.8260869383811951
test/test-id-class-airport_hangar-task-acc,0.6747967600822449
test/test-id-class-airport_terminal-task-acc,0.6557376980781555
test/test-id-class-amusement_park-task-acc,0.9086294174194336
test/test-id-class-aquaculture-task-acc,0.9347826242446899
test/test-id-class-archaeological_site-task-acc,0.5777778029441833
test/test-id-class-barn-task-acc,0.6842105388641357
test/test-id-class-border_checkpoint-task-acc,0.375
test/test-id-class-burial_site-task-acc,0.7382550239562988
test/test-id-class-car_dealership-task-acc,0.8308823704719543
test/test-id-class-construction_site-task-acc,0.2857142984867096
test/test-id-class-crop_field-task-acc,0.9274073839187622
test/test-id-class-dam-task-acc,0.9082568883895874
test/test-id-class-debris_or_rubble-task-acc,0.2800000011920929
test/test-id-class-educational_institution-task-acc,0.5128865838050842
test/test-id-class-electric_substation-task-acc,0.8538011908531189
test/test-id-class-factory_or_powerplant-task-acc,0.5257731676101685
test/test-id-class-fire_station-task-acc,0.35227271914482117
test/test-id-class-flooded_road-task-acc,0.5975610017776489
test/test-id-class-fountain-task-acc,0.6280193328857422
test/test-id-class-gas_station-task-acc,0.6857143044471741
test/test-id-class-golf_course-task-acc,0.8601398468017578
test/test-id-class-ground_transportation_station-task-acc,0.6081081032752991
test/test-id-class-helipad-task-acc,0.5595238208770752
test/test-id-class-hospital-task-acc,0.410526305437088
test/test-id-class-impoverished_settlement-task-acc,0.8524590134620667
test/test-id-class-interchange-task-acc,0.9175257682800293
test/test-id-class-lake_or_pond-task-acc,0.4749999940395355
test/test-id-class-lighthouse-task-acc,0.9291338324546814
test/test-id-class-military_facility-task-acc,0.5643564462661743
test/test-id-class-multi-unit_residential-task-acc,0.5830985903739929
test/test-id-class-nuclear_powerplant-task-acc,1.0
test/test-id-class-office_building-task-acc,0.12865497171878815
test/test-id-class-oil_or_gas_facility-task-acc,0.9285714030265808
test/test-id-class-park-task-acc,0.49624061584472656
test/test-id-class-parking_lot_or_garage-task-acc,0.5654649138450623
test/test-id-class-place_of_worship-task-acc,0.5720720887184143
test/test-id-class-police_station-task-acc,0.2598870098590851
test/test-id-class-port-task-acc,0.6964285969734192
test/test-id-class-prison-task-acc,0.4513888955116272
test/test-id-class-race_track-task-acc,0.899328887462616
test/test-id-class-railway_bridge-task-acc,0.6875
test/test-id-class-recreational_facility-task-acc,0.8624160885810852
test/test-id-class-road_bridge-task-acc,0.8613861203193665
test/test-id-class-runway-task-acc,0.9629629850387573
test/test-id-class-shipyard-task-acc,0.761904776096344
test/test-id-class-shopping_mall-task-acc,0.44186046719551086
test/test-id-class-single-unit_residential-task-acc,0.7142857313156128
test/test-id-class-smokestack-task-acc,0.6651583909988403
test/test-id-class-solar_farm-task-acc,0.6747967600822449
test/test-id-class-space_facility-task-acc,0.6666666865348816
test/test-id-class-stadium-task-acc,0.7878788113594055
test/test-id-class-storage_tank-task-acc,0.7768595218658447
test/test-id-class-surface_mine-task-acc,0.851190447807312
test/test-id-class-swimming_pool-task-acc,0.8074073791503906
test/test-id-class-toll_booth-task-acc,0.9185185432434082
test/test-id-class-tower-task-acc,0.5232558250427246
test/test-id-class-tunnel_opening-task-acc,0.8392857313156128
test/test-id-class-waste_disposal-task-acc,0.5068492889404297
test/test-id-class-water_treatment_facility-task-acc,0.8014184236526489
test/test-id-class-wind_farm-task-acc,0.8979591727256775
test/test-id-class-zoo-task-acc,0.4583333432674408
test/test-id-hr-domain-acc,0.7268473505973816
test/test-id-hr-domain-acc-africa,0.2918660342693329
test/test-id-hr-domain-acc-americas,0.669329047203064
test/test-id-hr-domain-acc-asia,0.5789675116539001
test/test-id-hr-domain-acc-europe,0.8803883790969849
test/test-id-hr-domain-acc-oceania,0.13302752375602722
test/test-id-region-africa-class-airport-task-acc,0.6666666865348816
test/test-id-region-africa-class-airport_hangar-task-acc,0.6666666865348816
test/test-id-region-africa-class-airport_terminal-task-acc,1.0
test/test-id-region-africa-class-amusement_park-task-acc,0.6666666865348816
