metric,value
test/test-id-class-airport-task-acc,0.0
test/test-id-class-airport_hangar-task-acc,0.4390243887901306
test/test-id-class-airport_terminal-task-acc,0.3852458894252777
test/test-id-class-amusement_park-task-acc,0.3350253701210022
test/test-id-class-aquaculture-task-acc,0.8478260636329651
test/test-id-class-archaeological_site-task-acc,0.2777777910232544
test/test-id-class-barn-task-acc,0.5438596606254578
test/test-id-class-border_checkpoint-task-acc,0.0
test/test-id-class-burial_site-task-acc,0.10067114233970642
test/test-id-class-car_dealership-task-acc,0.22794117033481598
test/test-id-class-construction_site-task-acc,0.1071428582072258
test/test-id-class-crop_field-task-acc,0.800000011920929
test/test-id-class-dam-task-acc,0.3211009204387665
test/test-id-class-debris_or_rubble-task-acc,0.18000000715255737
test/test-id-class-educational_institution-task-acc,0.12113402038812637
test/test-id-class-electric_substation-task-acc,0.023391813039779663
test/test-id-class-factory_or_powerplant-task-acc,0.04123711213469505
test/test-id-class-fire_station-task-acc,0.017045455053448677
test/test-id-class-flooded_road-task-acc,0.9268292784690857
test/test-id-class-fountain-task-acc,0.019323671236634254
test/test-id-class-gas_station-task-acc,0.0
test/test-id-class-golf_course-task-acc,0.1958041936159134
test/test-id-class-ground_transportation_station-task-acc,0.19594594836235046
test/test-id-class-helipad-task-acc,0.1547619104385376
test/test-id-class-hospital-task-acc,0.031578946858644485
test/test-id-class-impoverished_settlement-task-acc,0.49180328845977783
test/test-id-class-interchange-task-acc,0.14432989060878754
test/test-id-class-lake_or_pond-task-acc,0.0
test/test-id-class-lighthouse-task-acc,0.9055117964744568
test/test-id-class-military_facility-task-acc,0.3663366436958313
test/test-id-class-multi-unit_residential-task-acc,0.6985915303230286
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.0
test/test-id-class-oil_or_gas_facility-task-acc,0.8214285969734192
test/test-id-class-park-task-acc,0.06766917556524277
test/test-id-class-parking_lot_or_garage-task-acc,0.2732447683811188
test/test-id-class-place_of_worship-task-acc,0.4054054021835327
test/test-id-class-police_station-task-acc,0.016949152573943138
test/test-id-class-port-task-acc,0.4107142984867096
test/test-id-class-prison-task-acc,0.0486111119389534
test/test-id-class-race_track-task-acc,0.21476510167121887
test/test-id-class-railway_bridge-task-acc,0.022727273404598236
test/test-id-class-recreational_facility-task-acc,0.5413870215415955
test/test-id-class-road_bridge-task-acc,0.039603959769010544
test/test-id-class-runway-task-acc,0.32098764181137085
test/test-id-class-shipyard-task-acc,0.0
test/test-id-class-shopping_mall-task-acc,0.12403100728988647
test/test-id-class-single-unit_residential-task-acc,0.5566502213478088
test/test-id-class-smokestack-task-acc,0.35746607184410095
test/test-id-class-solar_farm-task-acc,0.2926829159259796
test/test-id-class-space_facility-task-acc,0.0
test/test-id-class-stadium-task-acc,0.09696969389915466
test/test-id-class-storage_tank-task-acc,0.13223139941692352
test/test-id-class-surface_mine-task-acc,0.375
test/test-id-class-swimming_pool-task-acc,0.8148148059844971
test/test-id-class-toll_booth-task-acc,0.2666666805744171
test/test-id-class-tower-task-acc,0.24031007289886475
test/test-id-class-tunnel_opening-task-acc,0.875
test/test-id-class-waste_disposal-task-acc,0.09589041024446487
test/test-id-class-water_treatment_facility-task-acc,0.1560283750295639
test/test-id-class-wind_farm-task-acc,0.8265306353569031
test/test-id-class-zoo-task-acc,0.0
test/test-id-lr-domain-acc,0.9670698046684265
test/test-id-lr-domain-acc-africa,0.6746411323547363
test/test-id-lr-domain-acc-americas,0.965495228767395
test/test-id-lr-domain-acc-asia,0.9674952030181885
test/test-id-lr-domain-acc-europe,0.9949514269828796
test/test-id-lr-domain-acc-oceania,0.6284403800964355
test/test-id-region-africa-class-airport-task-acc,0.0
test/test-id-region-africa-class-airport_hangar-task-acc,0.6666666865348816
test/test-id-region-africa-class-airport_terminal-task-acc,0.3333333432674408
test/test-id-region-africa-class-amusement_park-task-acc,0.0
test/test-id-region-africa-class-archaeological_site-task-acc,0.0
test/test-id-region-africa-class-border_checkpoint-task-acc,0.0
test/test-id-region-africa-class-crop_field-task-acc,0.9285714030265808
test/test-id-region-africa-class-dam-task-acc,1.0
test/test-id-region-africa-class-educational_institution-task-acc,0.0
test/test-id-region-africa-class-electric_substation-task-acc,0.3333333432674408
test/test-id-region-africa-class-factory_or_powerplant-task-acc,0.0
test/test-id-region-africa-class-flooded_road-task-acc,1.0
test/test-id-region-africa-class-fountain-task-acc,0.0
test/test-id-region-africa-class-ground_transportation_station-task-acc,0.0
test/test-id-region-africa-class-helipad-task-acc,0.0
test/test-id-region-africa-class-hospital-task-acc,0.0
test/test-id-region-africa-class-interchange-task-acc,0.0
test/test-id-region-africa-class-military_facility-task-acc,0.0
test/test-id-region-africa-class-multi-unit_residential-task-acc,0.0
test/test-id-region-africa-class-office_building-task-acc,0.0
test/test-id-region-africa-class-parking_lot_or_garage-task-acc,0.8333333134651184
test/test-id-region-africa-class-place_of_worship-task-acc,0.9259259104728699
test/test-id-region-africa-class-police_station-task-acc,0.0
test/test-id-region-africa-class-port-task-acc,0.0
test/test-id-region-africa-class-prison-task-acc,0.0
test/test-id-region-africa-class-recreational_facility-task-acc,0.0
test/test-id-region-africa-class-runway-task-acc,0.5
test/test-id-region-africa-class-single-unit_residential-task-acc,0.1428571492433548
test/test-id-region-africa-class-stadium-task-acc,0.0
test/test-id-region-africa-class-surface_mine-task-acc,0.1666666716337204
test/test-id-region-africa-class-swimming_pool-task-acc,0.3333333432674408
test/test-id-region-africa-class-toll_booth-task-acc,0.0
test/test-id-region-africa-class-tower-task-acc,0.20000000298023224
test/test-id-region-africa-class-wind_farm-task-acc,0.0
test/test-id-region-africa-task-acc,0.559808611869812
test/test-id-region-africa-task-loss,1.6742160320281982
test/test-id-region-africa-top5-task-acc,0.7990430593490601
test/test-id-region-americas-class-airport-task-acc,0.0
test/test-id-region-americas-class-airport_hangar-task-acc,0.5416666865348816
test/test-id-region-americas-class-airport_terminal-task-acc,0.1666666716337204
test/test-id-region-americas-class-amusement_park-task-acc,0.0
test/test-id-region-americas-class-aquaculture-task-acc,0.9523809552192688
test/test-id-region-americas-class-archaeological_site-task-acc,0.5
test/test-id-region-americas-class-barn-task-acc,0.15625
test/test-id-region-americas-class-burial_site-task-acc,0.0
test/test-id-region-americas-class-car_dealership-task-acc,0.19718310236930847
test/test-id-region-americas-class-construction_site-task-acc,0.0
test/test-id-region-americas-class-crop_field-task-acc,0.6363636255264282
test/test-id-region-americas-class-dam-task-acc,0.2666666805744171
test/test-id-region-americas-class-debris_or_rubble-task-acc,0.20000000298023224
test/test-id-region-americas-class-educational_institution-task-acc,0.13772454857826233
test/test-id-region-americas-class-electric_substation-task-acc,0.0
test/test-id-region-americas-class-factory_or_powerplant-task-acc,0.03999999910593033
test/test-id-region-americas-class-fire_station-task-acc,0.0
test/test-id-region-americas-class-flooded_road-task-acc,0.7692307829856873
