metric,value
test/test-id-class-airport-task-acc,0.0
test/test-id-class-airport_hangar-task-acc,0.4471544623374939
test/test-id-class-airport_terminal-task-acc,0.3360655605792999
test/test-id-class-amusement_park-task-acc,0.2690355181694031
test/test-id-class-aquaculture-task-acc,0.8695651888847351
test/test-id-class-archaeological_site-task-acc,0.41111111640930176
test/test-id-class-barn-task-acc,0.5263158082962036
test/test-id-class-border_checkpoint-task-acc,0.0
test/test-id-class-burial_site-task-acc,0.10067114233970642
test/test-id-class-car_dealership-task-acc,0.2647058963775635
test/test-id-class-construction_site-task-acc,0.1339285671710968
test/test-id-class-crop_field-task-acc,0.8355555534362793
test/test-id-class-dam-task-acc,0.4403669834136963
test/test-id-class-debris_or_rubble-task-acc,0.23999999463558197
test/test-id-class-educational_institution-task-acc,0.13144329190254211
test/test-id-class-electric_substation-task-acc,0.05263157933950424
test/test-id-class-factory_or_powerplant-task-acc,0.09278350323438644
test/test-id-class-fire_station-task-acc,0.08522727340459824
test/test-id-class-flooded_road-task-acc,0.9634146094322205
test/test-id-class-fountain-task-acc,0.07246376574039459
test/test-id-class-gas_station-task-acc,0.02380952425301075
test/test-id-class-golf_course-task-acc,0.23076923191547394
test/test-id-class-ground_transportation_station-task-acc,0.11148648709058762
test/test-id-class-helipad-task-acc,0.2142857164144516
test/test-id-class-hospital-task-acc,0.22631579637527466
test/test-id-class-impoverished_settlement-task-acc,0.6557376980781555
test/test-id-class-interchange-task-acc,0.22680412232875824
test/test-id-class-lake_or_pond-task-acc,0.20000000298023224
test/test-id-class-lighthouse-task-acc,0.834645688533783
test/test-id-class-military_facility-task-acc,0.5297029614448547
test/test-id-class-multi-unit_residential-task-acc,0.6197183132171631
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.02923976629972458
test/test-id-class-oil_or_gas_facility-task-acc,0.8035714030265808
test/test-id-class-park-task-acc,0.09774436056613922
test/test-id-class-parking_lot_or_garage-task-acc,0.2713472545146942
test/test-id-class-place_of_worship-task-acc,0.42192190885543823
test/test-id-class-police_station-task-acc,0.016949152573943138
test/test-id-class-port-task-acc,0.1428571492433548
test/test-id-class-prison-task-acc,0.013888888992369175
test/test-id-class-race_track-task-acc,0.16778524219989777
test/test-id-class-railway_bridge-task-acc,0.05681818351149559
test/test-id-class-recreational_facility-task-acc,0.40044742822647095
test/test-id-class-road_bridge-task-acc,0.1435643583536148
test/test-id-class-runway-task-acc,0.14814814925193787
test/test-id-class-shipyard-task-acc,0.0
test/test-id-class-shopping_mall-task-acc,0.10077519714832306
test/test-id-class-single-unit_residential-task-acc,0.5714285969734192
test/test-id-class-smokestack-task-acc,0.27149322628974915
test/test-id-class-solar_farm-task-acc,0.3333333432674408
test/test-id-class-space_facility-task-acc,0.6666666865348816
test/test-id-class-stadium-task-acc,0.13333334028720856
test/test-id-class-storage_tank-task-acc,0.28925618529319763
test/test-id-class-surface_mine-task-acc,0.3571428656578064
test/test-id-class-swimming_pool-task-acc,0.7592592835426331
test/test-id-class-toll_booth-task-acc,0.2518518567085266
test/test-id-class-tower-task-acc,0.1434108465909958
test/test-id-class-tunnel_opening-task-acc,0.8928571343421936
test/test-id-class-waste_disposal-task-acc,0.10273972898721695
test/test-id-class-water_treatment_facility-task-acc,0.09929078072309494
test/test-id-class-wind_farm-task-acc,0.8367347121238708
test/test-id-class-zoo-task-acc,0.0
test/test-id-lr-domain-acc,0.14363908767700195
test/test-id-lr-domain-acc-africa,0.17703349888324738
test/test-id-lr-domain-acc-americas,0.2376996874809265
test/test-id-lr-domain-acc-asia,0.19961759448051453
test/test-id-lr-domain-acc-europe,0.05262136086821556
test/test-id-lr-domain-acc-oceania,0.2431192696094513
test/test-id-region-africa-class-airport-task-acc,0.0
test/test-id-region-africa-class-airport_hangar-task-acc,0.6666666865348816
test/test-id-region-africa-class-airport_terminal-task-acc,0.3333333432674408
test/test-id-region-africa-class-amusement_park-task-acc,0.0
test/test-id-region-africa-class-archaeological_site-task-acc,0.5
test/test-id-region-africa-class-border_checkpoint-task-acc,0.0
test/test-id-region-africa-class-crop_field-task-acc,0.6428571343421936
test/test-id-region-africa-class-dam-task-acc,1.0
test/test-id-region-africa-class-educational_institution-task-acc,0.0
test/test-id-region-africa-class-electric_substation-task-acc,0.3333333432674408
test/test-id-region-africa-class-factory_or_powerplant-task-acc,0.0
test/test-id-region-africa-class-flooded_road-task-acc,0.0
test/test-id-region-africa-class-fountain-task-acc,0.0
test/test-id-region-africa-class-ground_transportation_station-task-acc,0.0
test/test-id-region-africa-class-helipad-task-acc,0.0
test/test-id-region-africa-class-hospital-task-acc,1.0
test/test-id-region-africa-class-interchange-task-acc,0.0
test/test-id-region-africa-class-military_facility-task-acc,0.0
test/test-id-region-africa-class-multi-unit_residential-task-acc,0.0
test/test-id-region-africa-class-office_building-task-acc,0.0
test/test-id-region-africa-class-parking_lot_or_garage-task-acc,0.8333333134651184
test/test-id-region-africa-class-place_of_worship-task-acc,0.9506173133850098
test/test-id-region-africa-class-police_station-task-acc,0.0
test/test-id-region-africa-class-port-task-acc,0.3333333432674408
test/test-id-region-africa-class-prison-task-acc,0.0
test/test-id-region-africa-class-recreational_facility-task-acc,0.0
test/test-id-region-africa-class-runway-task-acc,0.0
test/test-id-region-africa-class-single-unit_residential-task-acc,0.2857142984867096
test/test-id-region-africa-class-stadium-task-acc,0.25
test/test-id-region-africa-class-surface_mine-task-acc,0.6666666865348816
test/test-id-region-africa-class-swimming_pool-task-acc,0.5
test/test-id-region-africa-class-toll_booth-task-acc,0.0
test/test-id-region-africa-class-tower-task-acc,0.699999988079071
test/test-id-region-africa-class-wind_farm-task-acc,0.0
test/test-id-region-africa-task-acc,0.6124401688575745
test/test-id-region-africa-task-loss,1.5935379266738892
test/test-id-region-africa-top5-task-acc,0.7751196026802063
test/test-id-region-americas-class-airport-task-acc,0.0
test/test-id-region-americas-class-airport_hangar-task-acc,0.5416666865348816
test/test-id-region-americas-class-airport_terminal-task-acc,0.1944444477558136
test/test-id-region-americas-class-amusement_park-task-acc,0.0
test/test-id-region-americas-class-aquaculture-task-acc,0.9523809552192688
test/test-id-region-americas-class-archaeological_site-task-acc,1.0
test/test-id-region-americas-class-barn-task-acc,0.34375
test/test-id-region-americas-class-burial_site-task-acc,0.0
test/test-id-region-americas-class-car_dealership-task-acc,0.2957746386528015
test/test-id-region-americas-class-construction_site-task-acc,0.0
test/test-id-region-americas-class-crop_field-task-acc,0.5909090638160706
test/test-id-region-americas-class-dam-task-acc,0.4000000059604645
test/test-id-region-americas-class-debris_or_rubble-task-acc,0.3499999940395355
test/test-id-region-americas-class-educational_institution-task-acc,0.16167664527893066
test/test-id-region-americas-class-electric_substation-task-acc,0.0615384615957737
test/test-id-region-americas-class-factory_or_powerplant-task-acc,0.07999999821186066
test/test-id-region-americas-class-fire_station-task-acc,0.01886792480945587
test/test-id-region-americas-class-flooded_road-task-acc,0.9230769276618958
test/test-id-region-americas-class-fountain-task-acc,0.03333333507180214
test/test-id-region-americas-class-gas_station-task-acc,0.0476190485060215
test/test-id-region-americas-class-golf_course-task-acc,0.3164556920528412
test/test-id-region-americas-class-ground_transportation_station-task-acc,0.17241379618644714
test/test-id-region-americas-class-helipad-task-acc,0.19354838132858276
test/test-id-region-americas-class-hospital-task-acc,0.2916666567325592
test/test-id-region-americas-class-impoverished_settlement-task-acc,0.9032257795333862
test/test-id-region-americas-class-interchange-task-acc,0.30136987566947937
test/test-id-region-americas-class-lake_or_pond-task-acc,0.5333333611488342
test/test-id-region-americas-class-lighthouse-task-acc,0.9122806787490845
test/test-id-region-americas-class-military_facility-task-acc,0.0
test/test-id-region-americas-class-office_building-task-acc,0.0
test/test-id-region-americas-class-oil_or_gas_facility-task-acc,0.7727272510528564
test/test-id-region-americas-class-park-task-acc,0.15000000596046448
test/test-id-region-americas-class-parking_lot_or_garage-task-acc,0.2571428716182709
test/test-id-region-americas-class-place_of_worship-task-acc,0.41025641560554504
test/test-id-region-americas-class-police_station-task-acc,0.0
test/test-id-region-americas-class-port-task-acc,0.0
test/test-id-region-americas-class-prison-task-acc,0.05263157933950424
test/test-id-region-americas-class-race_track-task-acc,0.03333333507180214
test/test-id-region-americas-class-railway_bridge-task-acc,0.09375
test/test-id-region-americas-class-recreational_facility-task-acc,0.48997771739959717
test/test-id-region-americas-class-road_bridge-task-acc,0.09433962404727936
test/test-id-region-americas-class-runway-task-acc,0.0
test/test-id-region-americas-class-shipyard-task-acc,0.0
test/test-id-region-americas-class-shopping_mall-task-acc,0.1666666716337204
test/test-id-region-americas-class-single-unit_residential-task-acc,0.5
test/test-id-region-americas-class-smokestack-task-acc,0.0
test/test-id-region-americas-class-solar_farm-task-acc,0.032258063554763794
test/test-id-region-americas-class-space_facility-task-acc,1.0
test/test-id-region-americas-class-stadium-task-acc,0.23076923191547394
test/test-id-region-americas-class-storage_tank-task-acc,0.10526315867900848
test/test-id-region-americas-class-surface_mine-task-acc,0.3888888955116272
test/test-id-region-americas-class-swimming_pool-task-acc,0.808080792427063
test/test-id-region-americas-class-toll_booth-task-acc,0.0
test/test-id-region-americas-class-tower-task-acc,0.033898305147886276
test/test-id-region-americas-class-waste_disposal-task-acc,0.0
test/test-id-region-americas-class-water_treatment_facility-task-acc,0.1111111119389534
test/test-id-region-americas-class-wind_farm-task-acc,0.800000011920929
test/test-id-region-americas-class-zoo-task-acc,0.0
test/test-id-region-americas-task-acc,0.32076677680015564
test/test-id-region-americas-task-loss,2.8307971954345703
test/test-id-region-americas-top5-task-acc,0.5642172694206238
test/test-id-region-asia-class-airport-task-acc,0.0
test/test-id-region-asia-class-airport_hangar-task-acc,0.3333333432674408
test/test-id-region-asia-class-airport_terminal-task-acc,0.4166666567325592
test/test-id-region-asia-class-amusement_park-task-acc,0.0
test/test-id-region-asia-class-aquaculture-task-acc,0.9090909361839294
test/test-id-region-asia-class-archaeological_site-task-acc,0.5769230723381042
test/test-id-region-asia-class-barn-task-acc,0.0
test/test-id-region-asia-class-border_checkpoint-task-acc,0.0
test/test-id-region-asia-class-burial_site-task-acc,0.0
test/test-id-region-asia-class-car_dealership-task-acc,0.0
test/test-id-region-asia-class-construction_site-task-acc,0.3684210479259491
test/test-id-region-asia-class-crop_field-task-acc,0.5060241222381592
test/test-id-region-asia-class-dam-task-acc,0.2857142984867096
test/test-id-region-asia-class-debris_or_rubble-task-acc,0.3333333432674408
test/test-id-region-asia-class-educational_institution-task-acc,0.19266055524349213
test/test-id-region-asia-class-electric_substation-task-acc,0.032258063554763794
test/test-id-region-asia-class-factory_or_powerplant-task-acc,0.0
test/test-id-region-asia-class-fire_station-task-acc,0.0
test/test-id-region-asia-class-fountain-task-acc,0.05882352963089943
test/test-id-region-asia-class-gas_station-task-acc,0.024390242993831635
test/test-id-region-asia-class-golf_course-task-acc,0.0
test/test-id-region-asia-class-ground_transportation_station-task-acc,0.16470588743686676
