epoch,lr-Adam,lr-Adam-1,step,test/test-id-lr-domain-acc,test/test-id-lr-domain-acc-africa,test/test-id-lr-domain-acc-americas,test/test-id-lr-domain-acc-asia,test/test-id-lr-domain-acc-europe,test/test-id-lr-domain-acc-oceania,test/test-id-region-africa-task-acc,test/test-id-region-africa-task-loss,test/test-id-region-americas-task-acc,test/test-id-region-americas-task-loss,test/test-id-region-asia-task-acc,test/test-id-region-asia-task-loss,test/test-id-region-europe-task-acc,test/test-id-region-europe-task-loss,test/test-id-region-oceania-task-acc,test/test-id-region-oceania-task-loss,test/test-id-task-acc,test/test-id-task-ece,test/test-id-task-entropy-correct,test/test-id-task-entropy-incorrect,test/test-id-task-loss,test/test-id-worst-group-task-acc,test/test-od-lr-domain-acc,test/test-od-lr-domain-acc-africa,test/test-od-lr-domain-acc-americas,test/test-od-lr-domain-acc-asia,test/test-od-lr-domain-acc-europe,test/test-od-lr-domain-acc-oceania,test/test-od-region-africa-task-acc,test/test-od-region-africa-task-loss,test/test-od-region-americas-task-acc,test/test-od-region-americas-task-loss,test/test-od-region-asia-task-acc,test/test-od-region-asia-task-loss,test/test-od-region-europe-task-acc,test/test-od-region-europe-task-loss,test/test-od-region-oceania-task-acc,test/test-od-region-oceania-task-loss,test/test-od-task-acc,test/test-od-task-ece,test/test-od-task-entropy-correct,test/test-od-task-entropy-incorrect,test/test-od-task-loss,test/test-od-worst-group-task-acc,train/train-lr-domain-acc,train/train-lr-domain-acc-africa,train/train-lr-domain-acc-americas,train/train-lr-domain-acc-asia,train/train-lr-domain-acc-europe,train/train-lr-domain-acc-oceania,train/train-lr-domain-acc-other,train/train-lr-domain-loss,train/train-task-acc,train/train-task-loss,val/val-id-lr-domain-acc,val/val-id-lr-domain-acc-africa,val/val-id-lr-domain-acc-americas,val/val-id-lr-domain-acc-asia,val/val-id-lr-domain-acc-europe,val/val-id-lr-domain-acc-oceania,val/val-id-region-africa-task-acc,val/val-id-region-africa-task-loss,val/val-id-region-americas-task-acc,val/val-id-region-americas-task-loss,val/val-id-region-asia-task-acc,val/val-id-region-asia-task-loss,val/val-id-region-europe-task-acc,val/val-id-region-europe-task-loss,val/val-id-region-oceania-task-acc,val/val-id-region-oceania-task-loss,val/val-id-task-acc,val/val-id-task-ece,val/val-id-task-entropy-correct,val/val-id-task-entropy-incorrect,val/val-id-task-loss,val/val-id-worst-group-task-acc,val/val-od-lr-domain-acc,val/val-od-lr-domain-acc-africa,val/val-od-lr-domain-acc-americas,val/val-od-lr-domain-acc-asia,val/val-od-lr-domain-acc-europe,val/val-od-lr-domain-acc-oceania,val/val-od-region-africa-task-acc,val/val-od-region-africa-task-loss,val/val-od-region-americas-task-acc,val/val-od-region-americas-task-loss,val/val-od-region-asia-task-acc,val/val-od-region-asia-task-loss,val/val-od-region-europe-task-acc,val/val-od-region-europe-task-loss,val/val-od-region-oceania-task-acc,val/val-od-region-oceania-task-loss,val/val-od-task-acc,val/val-od-task-ece,val/val-od-task-entropy-correct,val/val-od-task-entropy-incorrect,val/val-od-task-loss,val/val-od-worst-group-task-acc
,2e-05,1e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9548027515411377,0.0,0.995123565196991,0.9910880327224731,0.9935459494590759,0.0,0.4263157844543457,2.8083038330078125,0.1739271730184555,3.7541308403015137,0.17452655732631683,3.8479464054107666,0.1600227802991867,4.129017353057861,0.011952191591262817,3.729541540145874,0.16824871301651,0.28324639797210693,1.9706951379776,2.3866472244262695,3.932178497314453,0.011952191591262817,0.9067537188529968,0.0,0.9907040596008301,0.9951468110084534,0.9643042087554932,0.0,0.19178082048892975,3.9470505714416504,0.13989637792110443,3.9159605503082275,0.18878912925720215,3.770022392272949,0.20240558683872223,4.16417932510376,0.02308802306652069,3.866290807723999,0.17228220403194427,0.273966908454895,1.8776376247406006,2.484649896621704,3.981955051422119,0.02308802306652069
0,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8513458967208862,0.0594184584915638,0.8760787844657898,0.8273906707763672,0.9190889000892639,0.14259597659111023,0.02380952425301075,0.7335705757141113,0.14684568345546722,3.7631800174713135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9660367369651794,0.0,1.0,0.9944300055503845,0.995823860168457,0.37051793932914734,0.43157893419265747,2.853883981704712,0.16807542741298676,3.8536903858184814,0.17935387790203094,3.9340169429779053,0.1681852638721466,4.071238040924072,0.17131474614143372,3.5377626419067383,0.17512844502925873,0.31478869915008545,1.7056455612182617,2.122926712036133,3.9488563537597656,0.16807542741298676,0.9123775959014893,0.0,0.995428204536438,0.9951468110084534,0.9610708951950073,0.15295815467834473,0.18430884182453156,4.102284908294678,0.139439195394516,4.03883695602417,0.20528997480869293,3.83735728263855,0.2070615589618683,4.115627288818359,0.0634920671582222,3.883432149887085,0.17845845222473145,0.3113747239112854,1.6294752359390259,2.1911683082580566,4.024514198303223,0.0634920671582222
1,,,1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9040630459785461,0.04646017774939537,0.9343441724777222,0.9051603078842163,0.9555520415306091,0.2623400390148163,0.011904762126505375,0.24239477515220642,0.19157461822032928,3.4882421493530273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9676913619041443,0.0,1.0,0.9936873316764832,0.9960136413574219,0.4501992166042328,0.43157893419265747,2.9124209880828857,0.17067620158195496,3.901296377182007,0.18640920519828796,3.942955255508423,0.17236143350601196,4.0867204666137695,0.2868525981903076,3.4842121601104736,0.1819210946559906,0.32138997316360474,1.6258052587509155,2.030025005340576,3.9704506397247314,0.17067620158195496,0.921315610408783,0.0,0.995428204536438,0.9951468110084534,0.9597775340080261,0.42424243688583374,0.18430884182453156,4.20395565032959,0.1400487720966339,4.099492073059082,0.21451103687286377,3.8510522842407227,0.2077082246541977,4.161448001861572,0.1269841343164444,3.977571964263916,0.18302786350250244,0.3245921730995178,1.526994228363037,2.0683910846710205,4.0725908279418945,0.1269841343164444
2,,,1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9239686131477356,0.05604719743132591,0.954687774181366,0.9322627186775208,0.9686734080314636,0.3530367612838745,0.007936508394777775,0.1599002629518509,0.20185264945030212,3.4046478271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
