metric,value
test/test-id-class-airport-task-acc,0.17391304671764374
test/test-id-class-airport_hangar-task-acc,0.47154471278190613
test/test-id-class-airport_terminal-task-acc,0.32786884903907776
test/test-id-class-amusement_park-task-acc,0.700507640838623
test/test-id-class-aquaculture-task-acc,0.9130434989929199
test/test-id-class-archaeological_site-task-acc,0.25555557012557983
test/test-id-class-barn-task-acc,0.5614035129547119
test/test-id-class-border_checkpoint-task-acc,0.0
test/test-id-class-burial_site-task-acc,0.268456369638443
test/test-id-class-car_dealership-task-acc,0.595588207244873
test/test-id-class-construction_site-task-acc,0.1339285671710968
test/test-id-class-crop_field-task-acc,0.8562963008880615
test/test-id-class-dam-task-acc,0.5412843823432922
test/test-id-class-debris_or_rubble-task-acc,0.14000000059604645
test/test-id-class-educational_institution-task-acc,0.2319587618112564
test/test-id-class-electric_substation-task-acc,0.2222222238779068
test/test-id-class-factory_or_powerplant-task-acc,0.1649484485387802
test/test-id-class-fire_station-task-acc,0.17613635957241058
test/test-id-class-flooded_road-task-acc,0.8292682766914368
test/test-id-class-fountain-task-acc,0.256038635969162
test/test-id-class-gas_station-task-acc,0.2809523940086365
test/test-id-class-golf_course-task-acc,0.5804196000099182
test/test-id-class-ground_transportation_station-task-acc,0.33445945382118225
test/test-id-class-helipad-task-acc,0.2083333283662796
test/test-id-class-hospital-task-acc,0.21578946709632874
test/test-id-class-impoverished_settlement-task-acc,0.7377049326896667
test/test-id-class-interchange-task-acc,0.8247422575950623
test/test-id-class-lake_or_pond-task-acc,0.0
test/test-id-class-lighthouse-task-acc,0.8110235929489136
test/test-id-class-military_facility-task-acc,0.5148515105247498
test/test-id-class-multi-unit_residential-task-acc,0.6507042050361633
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.02923976629972458
test/test-id-class-oil_or_gas_facility-task-acc,0.7946428656578064
test/test-id-class-park-task-acc,0.2030075192451477
test/test-id-class-parking_lot_or_garage-task-acc,0.34535104036331177
test/test-id-class-place_of_worship-task-acc,0.4519519507884979
test/test-id-class-police_station-task-acc,0.11299435049295425
test/test-id-class-port-task-acc,0.6964285969734192
test/test-id-class-prison-task-acc,0.2777777910232544
test/test-id-class-race_track-task-acc,0.6442952752113342
test/test-id-class-railway_bridge-task-acc,0.5056818127632141
test/test-id-class-recreational_facility-task-acc,0.7069351077079773
test/test-id-class-road_bridge-task-acc,0.5247524976730347
test/test-id-class-runway-task-acc,0.7160493731498718
test/test-id-class-shipyard-task-acc,0.2380952388048172
test/test-id-class-shopping_mall-task-acc,0.3255814015865326
test/test-id-class-single-unit_residential-task-acc,0.5812807679176331
test/test-id-class-smokestack-task-acc,0.4072398245334625
test/test-id-class-solar_farm-task-acc,0.5934959053993225
test/test-id-class-space_facility-task-acc,0.1666666716337204
test/test-id-class-stadium-task-acc,0.6424242258071899
test/test-id-class-storage_tank-task-acc,0.5371900796890259
test/test-id-class-surface_mine-task-acc,0.6190476417541504
test/test-id-class-swimming_pool-task-acc,0.7851851582527161
test/test-id-class-toll_booth-task-acc,0.6370370388031006
