metric,value
test/test-id-class-airport-task-acc,0.21739129722118378
test/test-id-class-airport_hangar-task-acc,0.5040650367736816
test/test-id-class-airport_terminal-task-acc,0.2950819730758667
test/test-id-class-amusement_park-task-acc,0.6649746298789978
test/test-id-class-aquaculture-task-acc,0.8260869383811951
test/test-id-class-archaeological_site-task-acc,0.2888889014720917
test/test-id-class-barn-task-acc,0.5087719559669495
test/test-id-class-border_checkpoint-task-acc,0.0
test/test-id-class-burial_site-task-acc,0.2281879186630249
test/test-id-class-car_dealership-task-acc,0.5808823704719543
test/test-id-class-construction_site-task-acc,0.1964285671710968
test/test-id-class-crop_field-task-acc,0.8666666746139526
test/test-id-class-dam-task-acc,0.6330274939537048
test/test-id-class-debris_or_rubble-task-acc,0.1599999964237213
test/test-id-class-educational_institution-task-acc,0.21391752362251282
test/test-id-class-electric_substation-task-acc,0.2514619827270508
test/test-id-class-factory_or_powerplant-task-acc,0.2164948433637619
test/test-id-class-fire_station-task-acc,0.21022726595401764
test/test-id-class-flooded_road-task-acc,0.7560975551605225
test/test-id-class-fountain-task-acc,0.1835748851299286
test/test-id-class-gas_station-task-acc,0.24761904776096344
test/test-id-class-golf_course-task-acc,0.559440553188324
test/test-id-class-ground_transportation_station-task-acc,0.27702704071998596
test/test-id-class-helipad-task-acc,0.190476194024086
test/test-id-class-hospital-task-acc,0.22631579637527466
test/test-id-class-impoverished_settlement-task-acc,0.7377049326896667
test/test-id-class-interchange-task-acc,0.8041236996650696
test/test-id-class-lake_or_pond-task-acc,0.05000000074505806
test/test-id-class-lighthouse-task-acc,0.8503937125205994
test/test-id-class-military_facility-task-acc,0.4381188154220581
test/test-id-class-multi-unit_residential-task-acc,0.5830985903739929
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.04093567281961441
test/test-id-class-oil_or_gas_facility-task-acc,0.7767857313156128
test/test-id-class-park-task-acc,0.18045112490653992
test/test-id-class-parking_lot_or_garage-task-acc,0.36622390151023865
test/test-id-class-place_of_worship-task-acc,0.41291290521621704
test/test-id-class-police_station-task-acc,0.12994350492954254
test/test-id-class-port-task-acc,0.7142857313156128
test/test-id-class-prison-task-acc,0.25
test/test-id-class-race_track-task-acc,0.6510066986083984
test/test-id-class-railway_bridge-task-acc,0.5113636255264282
test/test-id-class-recreational_facility-task-acc,0.6700223684310913
test/test-id-class-road_bridge-task-acc,0.4752475321292877
test/test-id-class-runway-task-acc,0.7530864477157593
test/test-id-class-shipyard-task-acc,0.2857142984867096
test/test-id-class-shopping_mall-task-acc,0.26356589794158936
test/test-id-class-single-unit_residential-task-acc,0.5566502213478088
test/test-id-class-smokestack-task-acc,0.33484163880348206
test/test-id-class-solar_farm-task-acc,0.6097561120986938
test/test-id-class-space_facility-task-acc,0.3333333432674408
test/test-id-class-stadium-task-acc,0.5575757622718811
test/test-id-class-storage_tank-task-acc,0.5950413346290588
test/test-id-class-surface_mine-task-acc,0.6071428656578064
test/test-id-class-swimming_pool-task-acc,0.7555555701255798
test/test-id-class-toll_booth-task-acc,0.585185170173645
test/test-id-class-tower-task-acc,0.26744186878204346
test/test-id-class-tunnel_opening-task-acc,0.863095223903656
test/test-id-class-waste_disposal-task-acc,0.2054794579744339
test/test-id-class-water_treatment_facility-task-acc,0.4964539110660553
test/test-id-class-wind_farm-task-acc,0.8469387888908386
test/test-id-class-zoo-task-acc,0.0625
test/test-id-lr-domain-acc,0.05712015554308891
test/test-id-lr-domain-acc-africa,0.0047846888191998005
test/test-id-lr-domain-acc-americas,0.03258785977959633
test/test-id-lr-domain-acc-asia,0.10554493218660355
test/test-id-lr-domain-acc-europe,0.024854369461536407
test/test-id-lr-domain-acc-oceania,0.642201840877533
test/test-id-region-africa-class-airport-task-acc,0.1666666716337204
test/test-id-region-africa-class-airport_hangar-task-acc,0.3333333432674408
test/test-id-region-africa-class-airport_terminal-task-acc,0.3333333432674408
test/test-id-region-africa-class-amusement_park-task-acc,0.3333333432674408
test/test-id-region-africa-class-archaeological_site-task-acc,0.5
test/test-id-region-africa-class-border_checkpoint-task-acc,0.0
test/test-id-region-africa-class-crop_field-task-acc,0.7142857313156128
test/test-id-region-africa-class-dam-task-acc,0.5454545617103577
test/test-id-region-africa-class-educational_institution-task-acc,0.5
test/test-id-region-africa-class-electric_substation-task-acc,0.0
test/test-id-region-africa-class-factory_or_powerplant-task-acc,0.0
test/test-id-region-africa-class-flooded_road-task-acc,0.0
test/test-id-region-africa-class-fountain-task-acc,0.75
test/test-id-region-africa-class-ground_transportation_station-task-acc,0.0
test/test-id-region-africa-class-helipad-task-acc,0.0
test/test-id-region-africa-class-hospital-task-acc,0.6666666865348816
test/test-id-region-africa-class-interchange-task-acc,0.0
test/test-id-region-africa-class-military_facility-task-acc,0.0
test/test-id-region-africa-class-multi-unit_residential-task-acc,0.125
