epoch,lr-Adam,lr-Adam-1,step,test/test-id-lr-domain-acc,test/test-id-lr-domain-acc-africa,test/test-id-lr-domain-acc-americas,test/test-id-lr-domain-acc-asia,test/test-id-lr-domain-acc-europe,test/test-id-lr-domain-acc-oceania,test/test-id-region-africa-task-acc,test/test-id-region-africa-task-loss,test/test-id-region-americas-task-acc,test/test-id-region-americas-task-loss,test/test-id-region-asia-task-acc,test/test-id-region-asia-task-loss,test/test-id-region-europe-task-acc,test/test-id-region-europe-task-loss,test/test-id-region-oceania-task-acc,test/test-id-region-oceania-task-loss,test/test-id-task-acc,test/test-id-task-ece,test/test-id-task-entropy-correct,test/test-id-task-entropy-incorrect,test/test-id-task-loss,test/test-id-worst-group-task-acc,test/test-od-lr-domain-acc,test/test-od-lr-domain-acc-africa,test/test-od-lr-domain-acc-americas,test/test-od-lr-domain-acc-asia,test/test-od-lr-domain-acc-europe,test/test-od-lr-domain-acc-oceania,test/test-od-region-africa-task-acc,test/test-od-region-africa-task-loss,test/test-od-region-americas-task-acc,test/test-od-region-americas-task-loss,test/test-od-region-asia-task-acc,test/test-od-region-asia-task-loss,test/test-od-region-europe-task-acc,test/test-od-region-europe-task-loss,test/test-od-region-oceania-task-acc,test/test-od-region-oceania-task-loss,test/test-od-task-acc,test/test-od-task-ece,test/test-od-task-entropy-correct,test/test-od-task-entropy-incorrect,test/test-od-task-loss,test/test-od-worst-group-task-acc,train/train-lr-domain-acc,train/train-lr-domain-acc-africa,train/train-lr-domain-acc-americas,train/train-lr-domain-acc-asia,train/train-lr-domain-acc-europe,train/train-lr-domain-acc-oceania,train/train-lr-domain-acc-other,train/train-lr-domain-loss,train/train-task-acc,train/train-task-loss,val/val-id-lr-domain-acc,val/val-id-lr-domain-acc-africa,val/val-id-lr-domain-acc-americas,val/val-id-lr-domain-acc-asia,val/val-id-lr-domain-acc-europe,val/val-id-lr-domain-acc-oceania,val/val-id-region-africa-task-acc,val/val-id-region-africa-task-loss,val/val-id-region-americas-task-acc,val/val-id-region-americas-task-loss,val/val-id-region-asia-task-acc,val/val-id-region-asia-task-loss,val/val-id-region-europe-task-acc,val/val-id-region-europe-task-loss,val/val-id-region-oceania-task-acc,val/val-id-region-oceania-task-loss,val/val-id-task-acc,val/val-id-task-ece,val/val-id-task-entropy-correct,val/val-id-task-entropy-incorrect,val/val-id-task-loss,val/val-id-worst-group-task-acc,val/val-od-lr-domain-acc,val/val-od-lr-domain-acc-africa,val/val-od-lr-domain-acc-americas,val/val-od-lr-domain-acc-asia,val/val-od-lr-domain-acc-europe,val/val-od-lr-domain-acc-oceania,val/val-od-region-africa-task-acc,val/val-od-region-africa-task-loss,val/val-od-region-americas-task-acc,val/val-od-region-americas-task-loss,val/val-od-region-asia-task-acc,val/val-od-region-asia-task-loss,val/val-od-region-europe-task-acc,val/val-od-region-europe-task-loss,val/val-od-region-oceania-task-acc,val/val-od-region-oceania-task-loss,val/val-od-task-acc,val/val-od-task-ece,val/val-od-task-entropy-correct,val/val-od-task-entropy-incorrect,val/val-od-task-loss,val/val-od-worst-group-task-acc
,2e-05,1e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050422362983226776,0.942105233669281,0.035760726779699326,0.0040846639312803745,0.052201975136995316,0.01593625545501709,0.44736841320991516,2.233091115951538,0.2587776184082031,3.0679638385772705,0.2799851596355438,2.8567590713500977,0.23082764446735382,3.090930938720703,0.2310757040977478,3.0943660736083984,0.2535051703453064,0.05144648253917694,2.804757595062256,3.512195110321045,3.015310049057007,0.23082764446735382,0.06346974521875381,0.8729763627052307,0.02148735150694847,0.0029119146056473255,0.051215726882219315,0.020202020183205605,0.20049813389778137,3.1254501342773438,0.22173118591308594,3.1938467025756836,0.24727007746696472,3.0522704124450684,0.2687532305717468,2.9622457027435303,0.20923520624637604,3.1017916202545166,0.24393673241138458,0.018003439530730247,2.6245174407958984,3.436067581176758,3.0690295696258545,0.20049813389778137
0,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057765115052461624,0.9431099891662598,0.027416201308369637,0.0028637205250561237,0.06586052477359772,0.01767215132713318,0.0,2.0041141510009766,0.18458816409111023,3.407303810119629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059653401374816895,0.8947368264198303,0.05396619066596031,0.00111399928573519,0.06529992073774338,0.007968127727508545,0.47894737124443054,2.0288760662078857,0.32152146100997925,2.6956193447113037,0.3538804352283478,2.542137384414673,0.31302201747894287,2.72786545753479,0.350597620010376,2.536945104598999,0.3286597430706024,0.06019800901412964,2.4346535205841064,3.2858803272247314,2.6594655513763428,0.31302201747894287,0.06738638877868652,0.7758405804634094,0.036117035895586014,0.0004853190912399441,0.06001034751534462,0.02308802306652069,0.26899129152297974,2.916081190109253,0.2740018367767334,2.8815948963165283,0.30283913016319275,2.771049976348877,0.3435074985027313,2.6020843982696533,0.32900431752204895,2.6702144145965576,0.30861160159111023,0.030249889940023422,2.353248357772827,3.24892520904541,2.744591474533081,0.26899129152297974
1,,,1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05703004077076912,0.9077117443084717,0.039121728390455246,0.0024987366050481796,0.05886661261320114,0.020109688863158226,0.0,2.0418827533721924,0.3007689118385315,2.802159070968628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06975529342889786,0.9157894849777222,0.058842651546001434,0.0,0.08447228372097015,0.0039840638637542725,0.5157894492149353,1.8817044496536255,0.366059809923172,2.462545394897461,0.3906424045562744,2.347769021987915,0.3638952076435089,2.5078060626983643,0.5019920468330383,2.1996967792510986,0.37646955251693726,0.06342358887195587,2.209134817123413,3.131732225418091,2.4406518936157227,0.3638952076435089,0.07366307079792023,0.7285180687904358,0.0385553203523159,0.00024265954561997205,0.07915157824754715,0.02308802306652069,0.2752179205417633,2.7624075412750244,0.31362390518188477,2.6946730613708496,0.333414226770401,2.6237540245056152,0.3905845880508423,2.3808648586273193,0.3722943663597107,2.446690559387207,0.34802913665771484,0.030163610354065895,2.135453701019287,3.0962133407592773,2.552610158920288,0.2752179205417633
2,,,1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05959087237715721,0.8862199783325195,0.04699693247675896,0.001946581294760108,0.060853246599435806,0.023969125002622604,0.0,2.0443809032440186,0.3656635880470276,2.4924323558807373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
