metric,value
test/test-id-class-airport-task-acc,0.260869562625885
test/test-id-class-airport_hangar-task-acc,0.5121951103210449
test/test-id-class-airport_terminal-task-acc,0.3196721374988556
test/test-id-class-amusement_park-task-acc,0.6446700692176819
test/test-id-class-aquaculture-task-acc,0.8478260636329651
test/test-id-class-archaeological_site-task-acc,0.31111112236976624
test/test-id-class-barn-task-acc,0.6052631735801697
test/test-id-class-border_checkpoint-task-acc,0.0
test/test-id-class-burial_site-task-acc,0.23489932715892792
test/test-id-class-car_dealership-task-acc,0.595588207244873
test/test-id-class-construction_site-task-acc,0.1696428507566452
test/test-id-class-crop_field-task-acc,0.8799999952316284
test/test-id-class-dam-task-acc,0.5963302850723267
test/test-id-class-debris_or_rubble-task-acc,0.1599999964237213
test/test-id-class-educational_institution-task-acc,0.24742268025875092
test/test-id-class-electric_substation-task-acc,0.19883041083812714
test/test-id-class-factory_or_powerplant-task-acc,0.17525772750377655
test/test-id-class-fire_station-task-acc,0.15909090638160706
test/test-id-class-flooded_road-task-acc,0.7439024448394775
test/test-id-class-fountain-task-acc,0.2222222238779068
test/test-id-class-gas_station-task-acc,0.3095238208770752
test/test-id-class-golf_course-task-acc,0.5314685106277466
test/test-id-class-ground_transportation_station-task-acc,0.3513513505458832
test/test-id-class-helipad-task-acc,0.2023809552192688
test/test-id-class-hospital-task-acc,0.2526315748691559
test/test-id-class-impoverished_settlement-task-acc,0.7704917788505554
test/test-id-class-interchange-task-acc,0.8350515365600586
test/test-id-class-lake_or_pond-task-acc,0.05000000074505806
test/test-id-class-lighthouse-task-acc,0.748031497001648
test/test-id-class-military_facility-task-acc,0.4554455578327179
test/test-id-class-multi-unit_residential-task-acc,0.6056337952613831
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.05847953259944916
test/test-id-class-oil_or_gas_facility-task-acc,0.7946428656578064
test/test-id-class-park-task-acc,0.19548872113227844
test/test-id-class-parking_lot_or_garage-task-acc,0.37760910391807556
test/test-id-class-place_of_worship-task-acc,0.4564564526081085
test/test-id-class-police_station-task-acc,0.10169491171836853
test/test-id-class-port-task-acc,0.6428571343421936
test/test-id-class-prison-task-acc,0.2569444477558136
test/test-id-class-race_track-task-acc,0.6308724880218506
test/test-id-class-railway_bridge-task-acc,0.5056818127632141
test/test-id-class-recreational_facility-task-acc,0.6856823563575745
test/test-id-class-road_bridge-task-acc,0.5247524976730347
test/test-id-class-runway-task-acc,0.654321014881134
test/test-id-class-shipyard-task-acc,0.1428571492433548
test/test-id-class-shopping_mall-task-acc,0.2984496057033539
test/test-id-class-single-unit_residential-task-acc,0.5369458198547363
test/test-id-class-smokestack-task-acc,0.4072398245334625
test/test-id-class-solar_farm-task-acc,0.5365853905677795
test/test-id-class-space_facility-task-acc,0.3333333432674408
test/test-id-class-stadium-task-acc,0.6424242258071899
test/test-id-class-storage_tank-task-acc,0.6033057570457458
