metric,value
test/test-id-class-airport-task-acc,0.5652173757553101
test/test-id-class-airport_hangar-task-acc,0.5528455376625061
test/test-id-class-airport_terminal-task-acc,0.4508196711540222
test/test-id-class-amusement_park-task-acc,0.710659921169281
test/test-id-class-aquaculture-task-acc,0.8260869383811951
test/test-id-class-archaeological_site-task-acc,0.42222222685813904
test/test-id-class-barn-task-acc,0.6710526347160339
test/test-id-class-border_checkpoint-task-acc,0.125
test/test-id-class-burial_site-task-acc,0.4429530203342438
test/test-id-class-car_dealership-task-acc,0.6397058963775635
test/test-id-class-construction_site-task-acc,0.125
test/test-id-class-crop_field-task-acc,0.9200000166893005
test/test-id-class-dam-task-acc,0.6605504751205444
test/test-id-class-debris_or_rubble-task-acc,0.23999999463558197
test/test-id-class-educational_institution-task-acc,0.4149484634399414
test/test-id-class-electric_substation-task-acc,0.4912280738353729
test/test-id-class-factory_or_powerplant-task-acc,0.1649484485387802
test/test-id-class-fire_station-task-acc,0.16477273404598236
test/test-id-class-flooded_road-task-acc,0.7439024448394775
test/test-id-class-fountain-task-acc,0.37681159377098083
test/test-id-class-gas_station-task-acc,0.46666666865348816
test/test-id-class-golf_course-task-acc,0.6643356680870056
test/test-id-class-ground_transportation_station-task-acc,0.41554054617881775
test/test-id-class-helipad-task-acc,0.3392857015132904
test/test-id-class-hospital-task-acc,0.33157894015312195
test/test-id-class-impoverished_settlement-task-acc,0.8032786846160889
test/test-id-class-interchange-task-acc,0.9175257682800293
test/test-id-class-lake_or_pond-task-acc,0.125
test/test-id-class-lighthouse-task-acc,0.8267716765403748
test/test-id-class-military_facility-task-acc,0.5668317079544067
test/test-id-class-multi-unit_residential-task-acc,0.6056337952613831
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.10526315867900848
test/test-id-class-oil_or_gas_facility-task-acc,0.7946428656578064
test/test-id-class-park-task-acc,0.30075186491012573
test/test-id-class-parking_lot_or_garage-task-acc,0.4800758957862854
test/test-id-class-place_of_worship-task-acc,0.5660660862922668
test/test-id-class-police_station-task-acc,0.09604519605636597
test/test-id-class-port-task-acc,0.7321428656578064
test/test-id-class-prison-task-acc,0.5138888955116272
test/test-id-class-race_track-task-acc,0.7315436005592346
test/test-id-class-railway_bridge-task-acc,0.6761363744735718
test/test-id-class-recreational_facility-task-acc,0.8143176436424255
test/test-id-class-road_bridge-task-acc,0.6386138796806335
test/test-id-class-runway-task-acc,0.7777777910232544
test/test-id-class-shipyard-task-acc,0.2857142984867096
test/test-id-class-shopping_mall-task-acc,0.43023255467414856
