metric,value
test/test-id-class-airport-task-acc,0.3478260934352875
test/test-id-class-airport_hangar-task-acc,0.577235758304596
test/test-id-class-airport_terminal-task-acc,0.5163934230804443
test/test-id-class-amusement_park-task-acc,0.710659921169281
test/test-id-class-aquaculture-task-acc,0.9347826242446899
test/test-id-class-archaeological_site-task-acc,0.4444444477558136
test/test-id-class-barn-task-acc,0.6666666865348816
test/test-id-class-border_checkpoint-task-acc,0.0625
test/test-id-class-burial_site-task-acc,0.4563758373260498
test/test-id-class-car_dealership-task-acc,0.654411792755127
test/test-id-class-construction_site-task-acc,0.2321428507566452
test/test-id-class-crop_field-task-acc,0.8770370483398438
test/test-id-class-dam-task-acc,0.6880733966827393
test/test-id-class-debris_or_rubble-task-acc,0.25999999046325684
test/test-id-class-educational_institution-task-acc,0.3659793734550476
test/test-id-class-electric_substation-task-acc,0.4853801131248474
test/test-id-class-factory_or_powerplant-task-acc,0.17525772750377655
test/test-id-class-fire_station-task-acc,0.2443181872367859
test/test-id-class-flooded_road-task-acc,0.9146341681480408
test/test-id-class-fountain-task-acc,0.3526569902896881
test/test-id-class-gas_station-task-acc,0.5047619342803955
test/test-id-class-golf_course-task-acc,0.6503496766090393
test/test-id-class-ground_transportation_station-task-acc,0.42905405163764954
test/test-id-class-helipad-task-acc,0.2857142984867096
test/test-id-class-hospital-task-acc,0.3368421196937561
test/test-id-class-impoverished_settlement-task-acc,0.7704917788505554
test/test-id-class-interchange-task-acc,0.9175257682800293
test/test-id-class-lake_or_pond-task-acc,0.20000000298023224
test/test-id-class-lighthouse-task-acc,0.8976377844810486
test/test-id-class-military_facility-task-acc,0.5099009871482849
test/test-id-class-multi-unit_residential-task-acc,0.7183098793029785
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.05847953259944916
test/test-id-class-oil_or_gas_facility-task-acc,0.8035714030265808
test/test-id-class-park-task-acc,0.4060150384902954
test/test-id-class-parking_lot_or_garage-task-acc,0.3643263876438141
test/test-id-class-place_of_worship-task-acc,0.5675675868988037
test/test-id-class-police_station-task-acc,0.10734463483095169
test/test-id-class-port-task-acc,0.8035714030265808
test/test-id-class-prison-task-acc,0.3055555522441864
test/test-id-class-race_track-task-acc,0.7986577153205872
test/test-id-class-railway_bridge-task-acc,0.6136363744735718
test/test-id-class-recreational_facility-task-acc,0.7561521530151367
test/test-id-class-road_bridge-task-acc,0.7178217768669128
test/test-id-class-runway-task-acc,0.790123462677002
test/test-id-class-shipyard-task-acc,0.1428571492433548
test/test-id-class-shopping_mall-task-acc,0.43023255467414856
test/test-id-class-single-unit_residential-task-acc,0.6009852290153503
test/test-id-class-smokestack-task-acc,0.3936651647090912
test/test-id-class-solar_farm-task-acc,0.6666666865348816
test/test-id-class-space_facility-task-acc,0.5
test/test-id-class-stadium-task-acc,0.7575757503509521
test/test-id-class-storage_tank-task-acc,0.702479362487793
test/test-id-class-surface_mine-task-acc,0.6964285969734192
test/test-id-class-swimming_pool-task-acc,0.8370370268821716
test/test-id-class-toll_booth-task-acc,0.7925925850868225
test/test-id-class-tower-task-acc,0.4689922332763672
test/test-id-class-tunnel_opening-task-acc,0.9702380895614624
test/test-id-class-waste_disposal-task-acc,0.3493150770664215
test/test-id-class-water_treatment_facility-task-acc,0.5531914830207825
test/test-id-class-wind_farm-task-acc,0.8673469424247742
test/test-id-class-zoo-task-acc,0.2708333432674408
test/test-id-lr-domain-acc,0.9547100067138672
test/test-id-lr-domain-acc-africa,0.6124401688575745
test/test-id-lr-domain-acc-americas,0.9539936184883118
test/test-id-lr-domain-acc-asia,0.9640535116195679
test/test-id-lr-domain-acc-europe,0.9778640866279602
test/test-id-lr-domain-acc-oceania,0.6559633016586304
test/test-id-region-africa-class-airport-task-acc,0.3333333432674408
test/test-id-region-africa-class-airport_hangar-task-acc,0.6666666865348816
test/test-id-region-africa-class-airport_terminal-task-acc,0.0
test/test-id-region-africa-class-amusement_park-task-acc,0.3333333432674408
test/test-id-region-africa-class-archaeological_site-task-acc,1.0
test/test-id-region-africa-class-border_checkpoint-task-acc,0.0
test/test-id-region-africa-class-crop_field-task-acc,0.7142857313156128
test/test-id-region-africa-class-dam-task-acc,0.9090909361839294
test/test-id-region-africa-class-educational_institution-task-acc,0.5
test/test-id-region-africa-class-electric_substation-task-acc,1.0
test/test-id-region-africa-class-factory_or_powerplant-task-acc,0.0
test/test-id-region-africa-class-flooded_road-task-acc,0.0
test/test-id-region-africa-class-fountain-task-acc,0.0
test/test-id-region-africa-class-ground_transportation_station-task-acc,0.75
test/test-id-region-africa-class-helipad-task-acc,0.0
test/test-id-region-africa-class-hospital-task-acc,1.0
test/test-id-region-africa-class-interchange-task-acc,0.0
test/test-id-region-africa-class-military_facility-task-acc,0.0
test/test-id-region-africa-class-multi-unit_residential-task-acc,0.0
test/test-id-region-africa-class-office_building-task-acc,0.0
test/test-id-region-africa-class-parking_lot_or_garage-task-acc,1.0
test/test-id-region-africa-class-place_of_worship-task-acc,0.8765432238578796
test/test-id-region-africa-class-police_station-task-acc,0.0
test/test-id-region-africa-class-port-task-acc,0.6666666865348816
test/test-id-region-africa-class-prison-task-acc,0.0
test/test-id-region-africa-class-recreational_facility-task-acc,0.3333333432674408
test/test-id-region-africa-class-runway-task-acc,0.75
test/test-id-region-africa-class-single-unit_residential-task-acc,0.1428571492433548
test/test-id-region-africa-class-stadium-task-acc,1.0
test/test-id-region-africa-class-surface_mine-task-acc,0.5
test/test-id-region-africa-class-swimming_pool-task-acc,0.5
test/test-id-region-africa-class-toll_booth-task-acc,1.0
test/test-id-region-africa-class-tower-task-acc,0.5
test/test-id-region-africa-class-wind_farm-task-acc,0.0
test/test-id-region-africa-task-acc,0.6555023789405823
test/test-id-region-africa-task-loss,1.3008209466934204
test/test-id-region-africa-top5-task-acc,0.8564593195915222
test/test-id-region-americas-class-airport-task-acc,0.6666666865348816
test/test-id-region-americas-class-airport_hangar-task-acc,0.6388888955116272
test/test-id-region-americas-class-airport_terminal-task-acc,0.6666666865348816
test/test-id-region-americas-class-amusement_park-task-acc,0.29032257199287415
test/test-id-region-americas-class-aquaculture-task-acc,0.9523809552192688
test/test-id-region-americas-class-archaeological_site-task-acc,1.0
test/test-id-region-americas-class-barn-task-acc,0.5
test/test-id-region-americas-class-burial_site-task-acc,0.2777777910232544
test/test-id-region-americas-class-car_dealership-task-acc,0.7323943376541138
test/test-id-region-americas-class-construction_site-task-acc,0.0555555559694767
test/test-id-region-americas-class-crop_field-task-acc,0.5909090638160706
test/test-id-region-americas-class-dam-task-acc,0.75
test/test-id-region-americas-class-debris_or_rubble-task-acc,0.3499999940395355
test/test-id-region-americas-class-educational_institution-task-acc,0.4071856141090393
test/test-id-region-americas-class-electric_substation-task-acc,0.5384615659713745
test/test-id-region-americas-class-factory_or_powerplant-task-acc,0.11999999731779099
test/test-id-region-americas-class-fire_station-task-acc,0.30188679695129395
test/test-id-region-americas-class-flooded_road-task-acc,0.8461538553237915
test/test-id-region-americas-class-fountain-task-acc,0.44999998807907104
test/test-id-region-americas-class-gas_station-task-acc,0.5396825671195984
test/test-id-region-americas-class-golf_course-task-acc,0.6455696225166321
test/test-id-region-americas-class-ground_transportation_station-task-acc,0.48275861144065857
