metric,value
test/test-id-class-airport-task-acc,0.782608687877655
test/test-id-class-airport_hangar-task-acc,0.5934959053993225
test/test-id-class-airport_terminal-task-acc,0.4836065471172333
test/test-id-class-amusement_park-task-acc,0.8680202960968018
test/test-id-class-aquaculture-task-acc,0.804347813129425
test/test-id-class-archaeological_site-task-acc,0.3888888955116272
test/test-id-class-barn-task-acc,0.6973684430122375
test/test-id-class-border_checkpoint-task-acc,0.0625
test/test-id-class-burial_site-task-acc,0.5436241626739502
test/test-id-class-car_dealership-task-acc,0.6617646813392639
test/test-id-class-construction_site-task-acc,0.1696428507566452
test/test-id-class-crop_field-task-acc,0.9437037110328674
test/test-id-class-dam-task-acc,0.7614678740501404
test/test-id-class-debris_or_rubble-task-acc,0.20000000298023224
test/test-id-class-educational_institution-task-acc,0.2525773048400879
test/test-id-class-electric_substation-task-acc,0.5438596606254578
test/test-id-class-factory_or_powerplant-task-acc,0.19587628543376923
test/test-id-class-fire_station-task-acc,0.11363636702299118
test/test-id-class-flooded_road-task-acc,0.8658536672592163
test/test-id-class-fountain-task-acc,0.34299516677856445
test/test-id-class-gas_station-task-acc,0.4476190507411957
test/test-id-class-golf_course-task-acc,0.7972028255462646
test/test-id-class-ground_transportation_station-task-acc,0.5405405163764954
test/test-id-class-helipad-task-acc,0.386904776096344
test/test-id-class-hospital-task-acc,0.34736841917037964
test/test-id-class-impoverished_settlement-task-acc,0.9508196711540222
test/test-id-class-interchange-task-acc,0.8865979313850403
test/test-id-class-lake_or_pond-task-acc,0.15000000596046448
test/test-id-class-lighthouse-task-acc,0.913385808467865
test/test-id-class-military_facility-task-acc,0.5445544719696045
test/test-id-class-multi-unit_residential-task-acc,0.7436619997024536
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.05263157933950424
test/test-id-class-oil_or_gas_facility-task-acc,0.8303571343421936
test/test-id-class-park-task-acc,0.25563910603523254
test/test-id-class-parking_lot_or_garage-task-acc,0.41745731234550476
test/test-id-class-place_of_worship-task-acc,0.5540540814399719
test/test-id-class-police_station-task-acc,0.1525423675775528
test/test-id-class-port-task-acc,0.8035714030265808
test/test-id-class-prison-task-acc,0.3680555522441864
test/test-id-class-race_track-task-acc,0.8657718300819397
test/test-id-class-railway_bridge-task-acc,0.6534090638160706
test/test-id-class-recreational_facility-task-acc,0.8255033493041992
test/test-id-class-road_bridge-task-acc,0.7425742745399475
test/test-id-class-runway-task-acc,0.8888888955116272
test/test-id-class-shipyard-task-acc,0.3333333432674408
test/test-id-class-shopping_mall-task-acc,0.5
test/test-id-class-single-unit_residential-task-acc,0.6945812702178955
test/test-id-class-smokestack-task-acc,0.6289592981338501
