metric,value
test/test-id-class-airport-task-acc,0.95652174949646
test/test-id-class-airport_hangar-task-acc,0.6585366129875183
test/test-id-class-airport_terminal-task-acc,0.4344262182712555
test/test-id-class-amusement_park-task-acc,0.8883248567581177
test/test-id-class-aquaculture-task-acc,0.8695651888847351
test/test-id-class-archaeological_site-task-acc,0.41111111640930176
test/test-id-class-barn-task-acc,0.7017543911933899
test/test-id-class-border_checkpoint-task-acc,0.1875
test/test-id-class-burial_site-task-acc,0.5771812200546265
test/test-id-class-car_dealership-task-acc,0.6617646813392639
test/test-id-class-construction_site-task-acc,0.2232142835855484
test/test-id-class-crop_field-task-acc,0.9422222375869751
test/test-id-class-dam-task-acc,0.7614678740501404
test/test-id-class-debris_or_rubble-task-acc,0.2800000011920929
test/test-id-class-educational_institution-task-acc,0.280927836894989
test/test-id-class-electric_substation-task-acc,0.5789473652839661
test/test-id-class-factory_or_powerplant-task-acc,0.3814432919025421
test/test-id-class-fire_station-task-acc,0.27272728085517883
test/test-id-class-flooded_road-task-acc,0.9146341681480408
test/test-id-class-fountain-task-acc,0.4589371979236603
test/test-id-class-gas_station-task-acc,0.46190476417541504
test/test-id-class-golf_course-task-acc,0.748251736164093
test/test-id-class-ground_transportation_station-task-acc,0.537162184715271
test/test-id-class-helipad-task-acc,0.4642857015132904
test/test-id-class-hospital-task-acc,0.3263157904148102
test/test-id-class-impoverished_settlement-task-acc,0.9180327653884888
test/test-id-class-interchange-task-acc,0.8865979313850403
test/test-id-class-lake_or_pond-task-acc,0.10000000149011612
test/test-id-class-lighthouse-task-acc,0.7716535329818726
test/test-id-class-military_facility-task-acc,0.5693069100379944
test/test-id-class-multi-unit_residential-task-acc,0.7070422768592834
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.07017543911933899
test/test-id-class-oil_or_gas_facility-task-acc,0.8839285969734192
test/test-id-class-park-task-acc,0.36090224981307983
test/test-id-class-parking_lot_or_garage-task-acc,0.464895635843277
test/test-id-class-place_of_worship-task-acc,0.4909909963607788
test/test-id-class-police_station-task-acc,0.18644067645072937
test/test-id-class-port-task-acc,0.8214285969734192
test/test-id-class-prison-task-acc,0.4583333432674408
test/test-id-class-race_track-task-acc,0.9060402512550354
test/test-id-class-railway_bridge-task-acc,0.6647727489471436
test/test-id-class-recreational_facility-task-acc,0.8299776315689087
test/test-id-class-road_bridge-task-acc,0.8415841460227966
test/test-id-class-runway-task-acc,0.8888888955116272
test/test-id-class-shipyard-task-acc,0.5714285969734192
test/test-id-class-shopping_mall-task-acc,0.3798449635505676
test/test-id-class-single-unit_residential-task-acc,0.6945812702178955
test/test-id-class-smokestack-task-acc,0.5972850918769836
test/test-id-class-solar_farm-task-acc,0.7235772609710693
test/test-id-class-space_facility-task-acc,1.0
test/test-id-class-stadium-task-acc,0.7151514887809753
test/test-id-class-storage_tank-task-acc,0.6776859760284424
test/test-id-class-surface_mine-task-acc,0.8214285969734192
test/test-id-class-swimming_pool-task-acc,0.7851851582527161
test/test-id-class-toll_booth-task-acc,0.8888888955116272
test/test-id-class-tower-task-acc,0.4883720874786377
test/test-id-class-tunnel_opening-task-acc,0.863095223903656
test/test-id-class-waste_disposal-task-acc,0.33561643958091736
test/test-id-class-water_treatment_facility-task-acc,0.73758864402771
test/test-id-class-wind_farm-task-acc,0.9489796161651611
test/test-id-class-zoo-task-acc,0.3125
test/test-id-hr-domain-acc,0.7327623963356018
test/test-id-hr-domain-acc-africa,0.2870813310146332
test/test-id-hr-domain-acc-americas,0.6690095663070679
test/test-id-hr-domain-acc-asia,0.6481835842132568
test/test-id-hr-domain-acc-europe,0.8611650466918945
test/test-id-hr-domain-acc-oceania,0.07339449226856232
test/test-id-lr-domain-acc,0.986315906047821
test/test-id-lr-domain-acc-africa,0.9090909361839294
test/test-id-lr-domain-acc-americas,0.9792332053184509
test/test-id-lr-domain-acc-asia,0.9908221960067749
test/test-id-lr-domain-acc-europe,0.9943689107894897
test/test-id-lr-domain-acc-oceania,0.9357798099517822
test/test-id-region-africa-class-airport-task-acc,1.0
test/test-id-region-africa-class-airport_hangar-task-acc,1.0
test/test-id-region-africa-class-airport_terminal-task-acc,0.3333333432674408
test/test-id-region-africa-class-amusement_park-task-acc,0.3333333432674408
test/test-id-region-africa-class-archaeological_site-task-acc,0.5
test/test-id-region-africa-class-border_checkpoint-task-acc,1.0
test/test-id-region-africa-class-crop_field-task-acc,0.9285714030265808
test/test-id-region-africa-class-dam-task-acc,0.9090909361839294
test/test-id-region-africa-class-educational_institution-task-acc,0.0
test/test-id-region-africa-class-electric_substation-task-acc,1.0
test/test-id-region-africa-class-factory_or_powerplant-task-acc,0.0
test/test-id-region-africa-class-flooded_road-task-acc,1.0
test/test-id-region-africa-class-fountain-task-acc,1.0
test/test-id-region-africa-class-ground_transportation_station-task-acc,0.75
test/test-id-region-africa-class-helipad-task-acc,0.0
test/test-id-region-africa-class-hospital-task-acc,1.0
test/test-id-region-africa-class-interchange-task-acc,0.0
test/test-id-region-africa-class-military_facility-task-acc,0.0
test/test-id-region-africa-class-multi-unit_residential-task-acc,0.375
test/test-id-region-africa-class-office_building-task-acc,0.0
test/test-id-region-africa-class-parking_lot_or_garage-task-acc,1.0
test/test-id-region-africa-class-place_of_worship-task-acc,0.8641975522041321
test/test-id-region-africa-class-police_station-task-acc,0.0
test/test-id-region-africa-class-port-task-acc,1.0
test/test-id-region-africa-class-prison-task-acc,1.0
test/test-id-region-africa-class-recreational_facility-task-acc,0.3333333432674408
test/test-id-region-africa-class-runway-task-acc,1.0
test/test-id-region-africa-class-single-unit_residential-task-acc,0.7142857313156128
test/test-id-region-africa-class-stadium-task-acc,1.0
test/test-id-region-africa-class-surface_mine-task-acc,0.5
