metric,value
test/test-id-class-airport-task-acc,0.9130434989929199
test/test-id-class-airport_hangar-task-acc,0.6178861856460571
test/test-id-class-airport_terminal-task-acc,0.44262295961380005
test/test-id-class-amusement_park-task-acc,0.8781725764274597
test/test-id-class-aquaculture-task-acc,0.9130434989929199
test/test-id-class-archaeological_site-task-acc,0.4444444477558136
test/test-id-class-barn-task-acc,0.6929824352264404
test/test-id-class-border_checkpoint-task-acc,0.125
test/test-id-class-burial_site-task-acc,0.6577181220054626
test/test-id-class-car_dealership-task-acc,0.7647058963775635
test/test-id-class-construction_site-task-acc,0.1071428582072258
test/test-id-class-crop_field-task-acc,0.9066666960716248
test/test-id-class-dam-task-acc,0.6972476840019226
test/test-id-class-debris_or_rubble-task-acc,0.25999999046325684
test/test-id-class-educational_institution-task-acc,0.24226804077625275
test/test-id-class-electric_substation-task-acc,0.6432748436927795
test/test-id-class-factory_or_powerplant-task-acc,0.2886597812175751
test/test-id-class-fire_station-task-acc,0.27840909361839294
test/test-id-class-flooded_road-task-acc,0.9146341681480408
test/test-id-class-fountain-task-acc,0.43478259444236755
test/test-id-class-gas_station-task-acc,0.5047619342803955
test/test-id-class-golf_course-task-acc,0.7972028255462646
test/test-id-class-ground_transportation_station-task-acc,0.3986486494541168
test/test-id-class-helipad-task-acc,0.3452380895614624
test/test-id-class-hospital-task-acc,0.4578947424888611
test/test-id-class-impoverished_settlement-task-acc,0.9016393423080444
test/test-id-class-interchange-task-acc,0.8453608155250549
test/test-id-class-lake_or_pond-task-acc,0.20000000298023224
test/test-id-class-lighthouse-task-acc,0.9527559280395508
test/test-id-class-military_facility-task-acc,0.5
test/test-id-class-multi-unit_residential-task-acc,0.6760563254356384
test/test-id-class-nuclear_powerplant-task-acc,1.0
test/test-id-class-office_building-task-acc,0.1111111119389534
test/test-id-class-oil_or_gas_facility-task-acc,0.8571428656578064
test/test-id-class-park-task-acc,0.23308271169662476
test/test-id-class-parking_lot_or_garage-task-acc,0.4402277171611786
test/test-id-class-place_of_worship-task-acc,0.5345345139503479
test/test-id-class-police_station-task-acc,0.20338982343673706
test/test-id-class-port-task-acc,0.7857142686843872
test/test-id-class-prison-task-acc,0.3402777910232544
test/test-id-class-race_track-task-acc,0.8859060406684875
test/test-id-class-railway_bridge-task-acc,0.6875
test/test-id-class-recreational_facility-task-acc,0.8143176436424255
test/test-id-class-road_bridge-task-acc,0.8415841460227966
test/test-id-class-runway-task-acc,0.9135802388191223
test/test-id-class-shipyard-task-acc,0.380952388048172
test/test-id-class-shopping_mall-task-acc,0.41860464215278625
test/test-id-class-single-unit_residential-task-acc,0.6403940916061401
test/test-id-class-smokestack-task-acc,0.4841628968715668
test/test-id-class-solar_farm-task-acc,0.6991869807243347
test/test-id-class-space_facility-task-acc,0.6666666865348816
test/test-id-class-stadium-task-acc,0.7575757503509521
test/test-id-class-storage_tank-task-acc,0.6694214940071106
test/test-id-class-surface_mine-task-acc,0.7202380895614624
test/test-id-class-swimming_pool-task-acc,0.8148148059844971
test/test-id-class-toll_booth-task-acc,0.8814814686775208
test/test-id-class-tower-task-acc,0.5581395626068115
test/test-id-class-tunnel_opening-task-acc,0.886904776096344
test/test-id-class-waste_disposal-task-acc,0.33561643958091736
test/test-id-class-water_treatment_facility-task-acc,0.6453900933265686
test/test-id-class-wind_farm-task-acc,0.918367326259613
test/test-id-class-zoo-task-acc,0.375
test/test-id-hr-domain-acc,0.7488301992416382
test/test-id-hr-domain-acc-africa,0.3014354109764099
test/test-id-hr-domain-acc-americas,0.6769968271255493
test/test-id-hr-domain-acc-asia,0.7036328911781311
test/test-id-hr-domain-acc-europe,0.8613592386245728
test/test-id-hr-domain-acc-oceania,0.11009174585342407
test/test-id-lr-domain-acc,0.9841087460517883
test/test-id-lr-domain-acc-africa,0.8899521827697754
test/test-id-lr-domain-acc-americas,0.9821086525917053
test/test-id-lr-domain-acc-asia,0.9827916026115417
test/test-id-lr-domain-acc-europe,0.9928155541419983
test/test-id-lr-domain-acc-oceania,0.9311926364898682
test/test-id-region-africa-class-airport-task-acc,1.0
test/test-id-region-africa-class-airport_hangar-task-acc,1.0
test/test-id-region-africa-class-airport_terminal-task-acc,0.3333333432674408
test/test-id-region-africa-class-amusement_park-task-acc,0.3333333432674408
test/test-id-region-africa-class-archaeological_site-task-acc,0.5
test/test-id-region-africa-class-border_checkpoint-task-acc,0.0
test/test-id-region-africa-class-crop_field-task-acc,1.0
test/test-id-region-africa-class-dam-task-acc,0.9090909361839294
test/test-id-region-africa-class-educational_institution-task-acc,0.0
test/test-id-region-africa-class-electric_substation-task-acc,0.6666666865348816
test/test-id-region-africa-class-factory_or_powerplant-task-acc,0.0
test/test-id-region-africa-class-flooded_road-task-acc,1.0
test/test-id-region-africa-class-fountain-task-acc,0.25
test/test-id-region-africa-class-ground_transportation_station-task-acc,0.75
test/test-id-region-africa-class-helipad-task-acc,0.0
test/test-id-region-africa-class-hospital-task-acc,1.0
