epoch,lr-Adam,lr-Adam-1,lr-Adam-2,step,train/d3g-consistency-loss,train/train-hr-domain-acc,train/train-hr-domain-acc-africa,train/train-hr-domain-acc-americas,train/train-hr-domain-acc-asia,train/train-hr-domain-acc-europe,train/train-hr-domain-acc-oceania,train/train-hr-domain-acc-other,train/train-hr-domain-loss,train/train-lr-domain-acc,train/train-lr-domain-acc-africa,train/train-lr-domain-acc-americas,train/train-lr-domain-acc-asia,train/train-lr-domain-acc-europe,train/train-lr-domain-acc-oceania,train/train-lr-domain-acc-other,train/train-lr-domain-loss,train/train-task-acc,train/train-task-loss,val/val-id-hr-domain-acc,val/val-id-hr-domain-acc-africa,val/val-id-hr-domain-acc-americas,val/val-id-hr-domain-acc-asia,val/val-id-hr-domain-acc-europe,val/val-id-hr-domain-acc-oceania,val/val-id-lr-domain-acc,val/val-id-lr-domain-acc-africa,val/val-id-lr-domain-acc-americas,val/val-id-lr-domain-acc-asia,val/val-id-lr-domain-acc-europe,val/val-id-lr-domain-acc-oceania,val/val-id-region-africa-task-acc,val/val-id-region-africa-task-loss,val/val-id-region-africa-top5-task-acc,val/val-id-region-americas-task-acc,val/val-id-region-americas-task-loss,val/val-id-region-americas-top5-task-acc,val/val-id-region-asia-task-acc,val/val-id-region-asia-task-loss,val/val-id-region-asia-top5-task-acc,val/val-id-region-europe-task-acc,val/val-id-region-europe-task-loss,val/val-id-region-europe-top5-task-acc,val/val-id-region-oceania-task-acc,val/val-id-region-oceania-task-loss,val/val-id-region-oceania-top5-task-acc,val/val-id-task-acc,val/val-id-task-ece,val/val-id-task-entropy-correct,val/val-id-task-entropy-incorrect,val/val-id-task-loss,val/val-id-top5-task-acc,val/val-id-worst-group-task-acc,val/val-id-worst-group-top5-task-acc,val/val-od-hr-domain-acc,val/val-od-hr-domain-acc-africa,val/val-od-hr-domain-acc-americas,val/val-od-hr-domain-acc-asia,val/val-od-hr-domain-acc-europe,val/val-od-hr-domain-acc-oceania,val/val-od-lr-domain-acc,val/val-od-lr-domain-acc-africa,val/val-od-lr-domain-acc-americas,val/val-od-lr-domain-acc-asia,val/val-od-lr-domain-acc-europe,val/val-od-lr-domain-acc-oceania,val/val-od-region-africa-task-acc,val/val-od-region-africa-task-loss,val/val-od-region-africa-top5-task-acc,val/val-od-region-americas-task-acc,val/val-od-region-americas-task-loss,val/val-od-region-americas-top5-task-acc,val/val-od-region-asia-task-acc,val/val-od-region-asia-task-loss,val/val-od-region-asia-top5-task-acc,val/val-od-region-europe-task-acc,val/val-od-region-europe-task-loss,val/val-od-region-europe-top5-task-acc,val/val-od-region-oceania-task-acc,val/val-od-region-oceania-task-loss,val/val-od-region-oceania-top5-task-acc,val/val-od-task-acc,val/val-od-task-ece,val/val-od-task-entropy-correct,val/val-od-task-entropy-incorrect,val/val-od-task-loss,val/val-od-top5-task-acc,val/val-od-worst-group-task-acc,val/val-od-worst-group-top5-task-acc
,2e-05,1e-05,1e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,960,,,,,,,,,,,,,,,,,,,,0.4834102690219879,0.0,0.14239272475242615,0.08540660887956619,0.9269172549247742,0.0,0.6534006595611572,0.0,0.6716514825820923,0.6331229209899902,0.7084282636642456,0.0,0.015789473429322243,4.15415620803833,0.057894736528396606,0.014954485930502415,4.176551342010498,0.06989596784114838,0.04233197122812271,4.139609336853027,0.12736724317073822,0.006643887609243393,4.222075939178467,0.055239178240299225,0.05179283022880554,4.099705219268799,0.12350597977638245,0.018374988809227943,0.019227949902415276,4.066684246063232,4.062617778778076,4.186700820922852,0.07776713371276855,0.006643887609243393,0.055239178240299225,0.4158674478530884,0.0,0.11718988418579102,0.07304052263498306,0.9327470064163208,0.0,0.6224454045295715,0.0348692387342453,0.6894239783287048,0.5622421503067017,0.7148215174674988,0.0,0.004981319885700941,4.269820213317871,0.04109589010477066,0.013562938198447227,4.190694808959961,0.0748247504234314,0.05459839850664139,4.147873878479004,0.13346275687217712,0.0075012934394180775,4.20542573928833,0.06570098549127579,0.017316017299890518,4.152974605560303,0.07215007394552231,0.019482802599668503,0.017642907798290253,4.067208290100098,4.06350564956665,4.1894850730896,0.08194828033447266,0.004981319885700941,0.04109589010477066
0,,,,960,261.7558898925781,0.42834654450416565,0.0,0.16115958988666534,0.05261384695768356,0.8207433223724365,0.019500304013490677,0.0,1.3009896278381348,0.31402626633644104,0.07711756974458694,0.32832691073417664,0.3632994592189789,0.30396944284439087,0.045703839510679245,0.02380952425301075,1.6473795175552368,0.01606754958629608,4.213155269622803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,1e-05,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,1921,,,,,,,,,,,,,,,,,,,,0.5544718503952026,0.0,0.3289986848831177,0.19717787206172943,0.9157175421714783,0.0,0.7950013279914856,0.0,0.8927178382873535,0.5688822865486145,0.9208428263664246,0.0,0.010526316240429878,4.122664928436279,0.07894736528396606,0.012678803876042366,4.18472957611084,0.06729518622159958,0.04158930480480194,4.132765293121338,0.12662458419799805,0.008731966838240623,4.20771598815918,0.06169324368238449,0.039840638637542725,4.1151323318481445,0.1155378520488739,0.018200818449258804,0.017388977110385895,4.072676658630371,4.0701518058776855,4.1804938316345215,0.07994426786899567,0.008731966838240623,0.06169324368238449,0.4801405966281891,0.0,0.26714417338371277,0.16937635838985443,0.9196844100952148,0.0,0.7265880107879639,0.0,0.8133190870285034,0.4790099561214447,0.9258924126625061,0.0,0.004981319885700941,4.22127103805542,0.05728518217802048,0.012648582458496094,4.199057102203369,0.076348677277565,0.05459839850664139,4.140047550201416,0.13637466728687286,0.008535954169929028,4.186511039733887,0.06983962655067444,0.01587301678955555,4.15233039855957,0.07070706784725189,0.01953301578760147,0.01574544794857502,4.075540065765381,4.070459842681885,4.181267261505127,0.08526236563920975,0.004981319885700941,0.05728518217802048
1,,,,1921,35.35491180419922,0.46695420145988464,0.0,0.18395079672336578,0.0838901698589325,0.876708984375,0.009750152006745338,0.0,1.1413788795471191,0.42582255601882935,0.06415928900241852,0.46841177344322205,0.4180470407009125,0.4398408830165863,0.027726994827389717,0.011904762126505375,1.3349146842956543,0.01673106662929058,4.214639663696289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,1e-05,1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,2882,,,,,,,,,,,,,,,,,,,,0.5898284316062927,0.0,0.4460338056087494,0.23505383729934692,0.9050872921943665,0.0,0.8635374307632446,0.0,0.8917425274848938,0.7619754672050476,0.9720956683158875,0.0,0.005263158120214939,4.1544036865234375,0.06315789371728897,0.01332899834960699,4.185086727142334,0.0708712637424469,0.04084663838148117,4.125599384307861,0.13070924580097198,0.007972665131092072,4.189598560333252,0.06719817966222763,0.039840638637542725,4.151302814483643,0.10358566045761108,0.017765391618013382,0.017485879361629486,4.077324867248535,4.072505950927734,4.171901226043701,0.08386310189962387,0.005263158120214939,0.06315789371728897,0.5201606750488281,0.0,0.3779335618019104,0.20771656930446625,0.9083031415939331,0.0,0.7618880271911621,0.0037359900306910276,0.8026516437530518,0.6301868557929993,0.9449042677879333,0.0,0.004981319885700941,4.219626426696777,0.04483187943696976,0.012648582458496094,4.199235439300537,0.07223407179117203,0.052657123655080795,4.124627113342285,0.14486774802207947,0.009441282600164413,4.1670145988464355,0.07152095437049866,0.012987012974917889,4.1764960289001465,0.06637806445360184,0.019382374361157417,0.015471316874027252,4.075937271118164,4.073198318481445,4.171363353729248,0.08566407114267349,0.004981319885700941,0.04483187943696976
2,,,,2882,10.973241806030273,0.4966585636138916,0.0,0.23250529170036316,0.1227094903588295,0.8933345079421997,0.006500101648271084,0.0,1.078229308128357,0.5058524012565613,0.05667930841445923,0.5612930655479431,0.4663934111595154,0.5365923643112183,0.01909404806792736,0.007936508394777775,1.1276404857635498,0.017654787749052048,4.201993465423584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2e-05,1e-05,1e-05,2883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
